model,training_size,sensitivity,distribution,solver,step_size,hamiltonian_error,reversibility_error,time,ess
HMC,0.1,autograd,banana,SynchronousLeapfrog,0.1,"[0.9315841  0.97505283 0.9895402  0.88189495 0.9145527  0.95317006
 0.88885784 0.9277111  0.93437946 0.8675902  0.922449   0.73181057
 0.94769394 0.7256314  0.94378424 0.942289   0.95050704 0.9175948
 0.90937585 0.95226574 0.9857851  0.96298444 0.90701187 0.9011582
 0.94877446 0.971753   0.9518914  0.86306703 0.9212159  0.9241593
 0.9693564  0.92591393 0.87739086 0.95191336 0.8977663  0.9352948
 0.9281346  0.925249   0.96053666 0.9676199  0.9721936  0.9700273
 0.9834647  0.85175145 0.8980441  0.8603572  0.8226694  0.9410335
 0.8845817  0.9604908  0.90224075 0.9031088  0.98338526 0.83377516
 0.9325588  0.9491247  0.9188387  0.8764872  0.93491477 0.9032328
 0.9192444  0.92650336 0.9121436  0.95884025 0.9479832  0.9451167
 0.97579545 0.9724616  0.9596882  0.8499643  0.8900142  0.9613123
 0.95666015 0.8656142  0.9090959  0.8990178  0.9454934  0.98877734
 0.89140546 0.86229897 0.9620111  0.9490273  0.91794765 0.9584629
 0.97280616 0.96417797 0.7731897  0.83827245 0.9985547  0.9474861
 0.92945164 0.93996966 0.9261141  0.84026307 0.8851347  0.9899394
 0.94073075 0.9476875  0.9355185  0.8314795 ]",3.783798e-13,20.364065170288086,1.4962419769826643
NNgHMC,0.1,autograd,banana,SynchronousLeapfrog,0.1,"[0.9378333  0.9159462  0.8892471  0.30792558 0.7153911  0.97152394
 0.26826268 0.79692096 0.9586532  0.1856724  0.91308796 0.38722953
 0.75800216 2.1906219  0.9296907  0.94931984 0.6756675  0.73239654
 0.6415446  0.86378646 0.9662273  0.75790423 0.8815848  0.9040588
 0.86674047 0.9663696  0.8568127  0.8313267  0.879189   0.69427454
 0.95393723 0.5544121  0.44367012 0.6107764  0.88801086 0.5328876
 0.7514894  0.49783656 0.8914224  0.9086081  0.95986795 0.9704156
 0.9840535  0.5669291  0.8880625  0.08586397 0.1665252  0.8329937
 0.9118292  0.5407755  0.5030205  0.28128627 0.98309076 0.5351761
 0.93644047 0.7813112  0.5068211  1.293756   0.47481775 0.7783747
 0.06292488 0.8599911  0.85224473 0.5914543  0.7931098  0.13973923
 0.9631009  0.91725445 0.86357856 0.9578473  0.8848672  0.91584605
 0.95113677 0.8491933  0.1635397  0.8817415  0.85719085 0.9919681
 0.88071966 0.27769077 0.975701   0.94717836 0.9101696  0.75881547
 0.97259486 0.9684064  0.75033396 0.87383497 0.9969041  0.92237484
 0.08185615 0.59097034 0.17615536 0.8458686  0.5530549  0.9963864
 0.9599911  0.37347627 0.9572587  0.0234958 ]",5.647149e-15,15.781933546066284,6.764561299551193
NNODEgHMC,0.1,autograd,banana,SynchronousLeapfrog,0.1,"[0.93707556 0.9551398  0.9368581  0.4675417  0.7994477  0.9584214
 0.03184184 0.70613927 0.9646107  0.31190616 0.91246337 0.3238631
 0.8671133  1.8580875  0.9583721  0.94898355 0.74824715 0.8502988
 0.70722795 0.9099083  0.9836949  0.86758965 0.88528574 0.93219376
 0.77895373 0.9677552  0.8058175  0.8295671  0.85358256 0.5939455
 0.95342416 0.65922004 0.19938819 0.7513591  0.88844955 0.66182965
 0.6383027  0.603668   0.904264   0.9547384  0.9712693  0.97032523
 0.9844467  0.32459915 0.889446   0.0668675  0.256351   0.74652004
 0.92904586 0.70711017 0.5833996  0.49477208 0.98318756 0.6289868
 0.9166064  0.82608485 0.59476644 0.9028408  0.6610666  0.6873943
 0.29427457 0.79953754 0.83414    0.6949536  0.64465344 0.38973945
 0.9645121  0.8589736  0.79002225 0.6861094  0.8853806  0.95268196
 0.9483534  0.8503232  0.3742342  0.9142002  0.7690071  0.99103916
 0.8818134  0.08806058 0.94341993 0.94665194 0.9108138  0.8665382
 0.9727601  0.96751297 0.8181542  0.89972305 0.99833363 0.87500685
 0.13360399 0.74765223 0.38369936 0.7877302  0.41340446 0.993266
 0.9282496  0.5522233  0.9158467  0.34105104]",2.7379219e-11,27.278611421585083,1.4009386937627035
Explicit NNODEgHMC,0.1,autograd,banana,SynchronousLeapfrog,0.1,"[0.93041253 0.9763345  0.97646856 0.6005966  0.8987767  0.95598555
 0.1170581  0.44792756 0.90251386 0.45330152 0.9141512  0.26375133
 0.8322791  1.4124477  0.9579505  0.9422908  0.81391877 0.91058916
 0.760945   0.95075    0.98059285 0.87430334 0.8932451  0.94635856
 0.53058076 0.96356666 0.7537458  0.8345968  0.82654655 0.43378696
 0.9631227  0.7966027  0.2544498  0.79610765 0.87882537 0.7763412
 0.36145782 0.7408206  0.9350985  0.9692048  0.97472686 0.96997166
 0.98149145 0.03166823 0.8851332  0.27249816 0.37897986 0.57863665
 0.9073877  0.6943034  0.6601152  0.45031732 0.9829302  0.73716545
 0.8542773  0.88583946 0.68361825 1.0531977  0.551191   0.41185957
 0.35418305 0.6609629  0.8130202  0.8317332  0.65446895 0.24625616
 0.9682921  0.71374595 0.6616496  0.24948439 0.8835901  0.9603919
 0.9433111  0.8475189  0.45000488 0.9208703  0.4892157  0.9808339
 0.8788451  0.24162887 0.79925144 0.9447907  0.9083244  0.91169655
 0.9718456  0.9638254  0.8504652  0.9050306  0.99828166 0.6849922
 0.4294146  0.6899573  0.4760178  0.8243579  0.06709141 0.9877615
 0.82222885 0.65741843 0.7353131  0.20631222]",7.566526e-11,47.88624906539917,1.5324654633263477
SymplecticNNgHMC,0.1,autograd,banana,SynchronousLeapfrog,0.1,"[  303.66116   2901.4792    3569.4702      37.522667  4928.986
    18.9519      48.206326  2641.8286     288.8052     719.474
  5427.9976    5708.582       37.061012   555.5697    2075.5679
  1307.601     3893.5137    4790.335     4663.8623    1057.0807
  1616.8689      43.268425 15296.6045    2127.0942     919.8446
  4331.709     3907.25      3771.9023    7359.3125    2104.0918
  7793.0312    4384.7954      25.489859   106.10342    723.24866
  2426.3638    1722.908     2615.08      3830.8289      99.94682
  7262.323    10689.857     3406.727      391.1512    1231.1165
  5411.91       573.63306   2028.7644    3304.8306     158.89267
  2849.7566     264.28625   6819.949     1878.7808    3462.5242
   251.03806   2120.227      173.26807     58.01632   1100.5576
   110.703064  3685.4707    5103.9434    4785.1655      22.388388
    37.660313  6096.9834    1439.6189    1117.251     1508.4789
  1550.2891    3658.3037    9848.25      3108.522      240.93652
  6168.203     1427.3256    2667.5054    3954.6538    6181.6123
   897.53723  10954.891     6636.3984     319.28827   7522.0938
  2672.602       25.594452  1452.5668    6464.5874    1070.4131
   848.9975     149.68016    774.8347      50.28524   1620.6498
  4996.503     2159.3237     422.6413     980.5802      18.385305]",570.5365,59.19239354133606,5700.0
GSymplecticNNgHMC,0.1,autograd,banana,SynchronousLeapfrog,0.1,"[0.93121564 0.9709116  0.96563214 0.6277035  0.84251106 0.92078173
 0.19575334 0.6583111  0.9473214  0.4753296  0.91090316 0.28364992
 0.9151432  1.6379713  0.96771514 0.9413341  0.803648   0.9129528
 0.7574426  0.93478656 0.98620594 0.9239789  0.8982314  0.9457113
 0.7137167  0.9653486  0.7688358  0.8314991  0.8287813  0.5200114
 0.959578   0.7369451  0.1378696  0.8368143  0.877252   0.7755054
 0.5902466  0.6844918  0.9307493  0.96950996 0.97246855 0.9695961
 0.9805937  0.17401993 0.8833535  0.21696095 0.395025   0.6988144
 0.9280826  0.82067955 0.64128983 0.66683215 0.982799   0.6932184
 0.86083734 0.88683385 0.65733683 0.51001537 0.7546797  0.6072039
 0.46190295 0.75530785 0.81232184 0.7806453  0.52230805 0.54927945
 0.96918666 0.8047418  0.726725   0.42712134 0.88184583 0.9664835
 0.9425875  0.84729815 0.52907515 0.92598975 0.71906203 0.98297405
 0.87833357 0.11742224 0.9055359  0.94416445 0.9084298  0.93040943
 0.97182196 0.964826   0.8411936  0.9044568  0.9981505  0.8235036
 0.3095606  0.84651136 0.5466271  0.71775216 0.3251755  0.9871273
 0.8997716  0.6810765  0.87670374 0.4474334 ]",0.002250972,7.622072458267212,2.520191311386677
GradSymplecticNNgHMC,0.1,autograd,banana,SynchronousLeapfrog,0.1,"[3.65677834e+00 9.39207649e+00 9.09810448e+00 1.61290985e+02
 1.19635544e+02 3.52079163e+01 4.46652832e+01 1.06548576e+01
 1.96419964e+01 4.46374750e+00 1.25420511e+00 2.59532881e+00
 3.84653625e+01 1.24119930e+01 6.28996944e+00 3.91356587e-01
 7.82906342e+00 2.06661339e+01 1.03176117e+01 6.51216459e+00
 4.88618660e+00 3.22854614e+01 1.93247162e+02 3.75359726e+00
 1.02206192e+01 5.57478905e-01 1.01126003e+00 8.65411162e-01
 2.23560600e+01 3.86724520e+00 2.40579491e+01 4.03226852e+01
 3.59340019e+01 2.69361877e+01 1.98577404e-01 6.96406588e-02
 5.41022015e+00 6.47104979e+00 2.17580006e-01 1.64769304e+00
 3.38246002e+01 4.81340561e+01 5.38519263e-01 1.41354246e+01
 3.08210701e-01 6.65035095e+01 3.63438797e+00 4.05275106e+00
 1.66982498e+01 2.61816921e+01 2.58121395e+00 2.88108978e+01
 6.33884716e+00 4.09693909e+00 6.48204684e-01 7.96397328e-02
 2.58330631e+00 3.17618694e+01 4.15310287e+01 9.02875805e+00
 2.54938545e+01 1.34036617e+01 8.82560909e-01 4.88562698e+01
 3.61785507e+01 4.66385612e+01 4.40480661e+00 6.44919348e+00
 7.32629585e+00 1.93531780e+01 6.71449602e-02 3.10485287e+01
 3.71850433e+01 6.70660019e-01 2.16284466e+01 1.04207031e+02
 9.10684681e+00 5.76518536e-01 8.17610443e-01 1.64861740e+02
 1.03250484e+01 5.03899231e+01 4.47954559e+00 2.02678375e+01
 1.32677307e+01 4.06486653e-02 2.60000572e+01 6.02689934e+00
 7.33121252e+00 1.01145868e+01 1.27591171e+01 3.06757202e+01
 2.60916557e+01 4.22474022e+01 6.39725256e+00 1.04989529e+00
 4.72979307e+00 1.82604446e+01 9.71310997e+00 3.79155846e+01]",98.50697,81.27584886550903,5700.0
GradGSymplecticNNgHMC,0.1,autograd,banana,SynchronousLeapfrog,0.1,"[0.9345031  0.9713606  0.9652164  0.5717341  0.8194908  0.88934344
 0.44077903 0.6284467  0.93628633 0.43093562 0.9105977  0.23513743
 0.935583   1.6855824  0.96750563 0.93405426 0.8007447  0.91478395
 0.75417554 0.94477975 0.98412454 0.93005174 0.8905718  0.94598246
 0.6491406  0.96705574 0.73563623 0.82765627 0.824918   0.45460698
 0.9593893  0.7125943  0.0041906  0.8414637  0.8603138  0.7664897
 0.5184519  0.6791319  0.9282602  0.97108305 0.97246933 0.97091854
 0.9787187  0.15570596 0.8752493  0.14530174 0.35170364 0.6416248
 0.9300103  0.796013   0.6481286  0.6000415  0.98347014 0.70465374
 0.8638444  0.8704886  0.67101526 0.71492213 0.80365294 0.5581249
 0.44955784 0.74055904 0.79922503 0.7508782  0.40317893 0.5716466
 0.9694102  0.76632184 0.66159105 0.5366062  0.88409966 0.9654087
 0.9432645  0.84804535 0.50166094 0.9251003  0.6860046  0.98509264
 0.87629217 0.01100529 0.8790555  0.94611186 0.908461   0.9251525
 0.9729699  0.9620248  0.8582567  0.9085947  0.99794364 0.8064846
 0.27105892 0.8127208  0.4795955  0.65805304 0.24739045 0.98439926
 0.8820307  0.6565499  0.8503369  0.59439933]",0.00019428424,8.079496622085571,1.3085682030144807
HMC,0.1,autograd,gaussian,SynchronousLeapfrog,0.3,"[0.9295777  0.9480586  0.90053487 0.93221253 0.9545288  0.94226754
 0.8826067  0.95544976 0.9377103  0.9430876  0.9418678  0.947579
 0.93138826 0.9405047  0.9514595  0.93400353 0.9454624  0.92316425
 0.95363176 0.940684   0.959943   0.8467283  0.949753   0.9248292
 0.9091935  0.95776147 0.91827    0.953067   0.94338584 0.93946093
 0.94311017 0.9546461  0.94478273 0.89734185 0.9426106  0.96149063
 0.91903365 0.93462294 0.90937823 0.94596577 0.94409007 0.9288943
 0.9398154  0.9121455  0.93738985 0.9468918  0.9271323  0.9583293
 0.9506954  0.94980997 0.9340304  0.9467532  0.9403877  0.9439618
 0.9565557  0.94238544 0.9306842  0.922086   0.9557309  0.9609653
 0.9504077  0.94316596 0.938924   0.961709   0.93522406 0.94644994
 0.92578    0.93640155 0.9462621  0.9336506  0.9294679  0.9579896
 0.93810767 0.93891066 0.9537193  0.9586641  0.94882905 0.9229078
 0.9026828  0.9450201  0.9350831  0.94388247 0.93987644 0.95585936
 0.9270012  0.9239828  0.9230856  0.9419149  0.95777607 0.91753507
 0.9380516  0.9463259  0.94406265 0.957963   0.9375652  0.958835
 0.9149911  0.9436691  0.93987364 0.96229213]",4.61529e-15,17.339128732681274,2722.399408710577
NNgHMC,0.1,autograd,gaussian,SynchronousLeapfrog,0.3,"[0.92829555 0.94862986 0.8967078  0.93310773 0.9552736  0.9420726
 0.87947226 0.9557743  0.93787116 0.9444601  0.9419946  0.94767565
 0.9311284  0.9412718  0.95149535 0.9342408  0.94517577 0.92362165
 0.954324   0.9409379  0.96036637 0.84084433 0.94970465 0.92453027
 0.9067025  0.9580411  0.9173886  0.95406437 0.9433912  0.94027466
 0.9427339  0.95479715 0.94461477 0.8966832  0.9426421  0.96162766
 0.91647995 0.93427575 0.9071924  0.9466723  0.9437791  0.92934453
 0.9397572  0.91234934 0.9382061  0.94700694 0.9257476  0.9587285
 0.9507375  0.9497446  0.9342269  0.94662565 0.9408385  0.9455284
 0.95660484 0.94240826 0.92949283 0.9208869  0.955557   0.9608365
 0.95087045 0.944368   0.93903625 0.96188563 0.93499005 0.9468233
 0.92544734 0.93638515 0.9461273  0.9332797  0.9296207  0.95792353
 0.9377068  0.9388249  0.95399666 0.9587407  0.948856   0.9231586
 0.9014524  0.94558764 0.9343369  0.94432753 0.9396714  0.95577955
 0.92734516 0.9223547  0.92353964 0.9423419  0.9581604  0.91684836
 0.9389786  0.94674444 0.9442756  0.95794713 0.9381126  0.959064
 0.9158219  0.9435622  0.9395127  0.9624278 ]",5.2696274e-15,16.13714361190796,2707.023161442358
