model,training_size,distribution,step_size,reversibility_error,time,ess
RMHMC,0.25,banana,0.05,8.021412e-05,54.07085418701172,4.851040976343266
NNODEgRMHMC,0.25,banana,0.05,0.025062216,15.686462640762329,1.3177417282088686
Explicit NNODEgRMHMC,0.25,banana,0.05,2.4746672e-11,28.46811270713806,9.290009322317282
GSymplecticNNgRMHMC,0.25,banana,0.05,0.30290726,11.236313581466675,9.755590170824986
RMHMC,0.25,normal_normal,0.1,11.120531,168.83376812934875,71.82435117019293
NNODEgRMHMC,0.25,normal_normal,0.1,0.074373536,37.15381693840027,7.482638795596347
Explicit NNODEgRMHMC,0.25,normal_normal,0.1,1.2287018e-06,49.897773027420044,38.48054048370507
GSymplecticNNgRMHMC,0.25,normal_normal,0.1,0.2794679,32.624428272247314,54.18034896036476
RMHMC,0.5,banana,0.05,0.043704774,53.35952162742615,6.61866797515983
NNODEgRMHMC,0.5,banana,0.05,0.0067549855,21.14375591278076,25.87899287510664
Explicit NNODEgRMHMC,0.5,banana,0.05,2.9549163e-10,29.20075821876526,38.146661786289364
GSymplecticNNgRMHMC,0.5,banana,0.05,0.0085633295,17.28250789642334,12.709923421574949
RMHMC,0.5,normal_normal,0.1,0.06433314,168.6475751399994,63.186723989267826
NNODEgRMHMC,0.5,normal_normal,0.1,0.027525058,56.14070153236389,19.431188942008227
Explicit NNODEgRMHMC,0.5,normal_normal,0.1,1.5284444e-05,67.53884696960449,13.366953188464429
GSymplecticNNgRMHMC,0.5,normal_normal,0.1,0.033289324,52.090516567230225,35.65528052971349
RMHMC,0.75,banana,0.05,0.026901124,53.26284074783325,5.522834045545753
NNODEgRMHMC,0.75,banana,0.05,0.0053583905,26.743571519851685,1.4600711804590167
Explicit NNODEgRMHMC,0.75,banana,0.05,2.9162894e-12,33.31098508834839,4.644089251382606
GSymplecticNNgRMHMC,0.75,banana,0.05,0.002661105,23.30217933654785,18.80510935799787
RMHMC,0.75,normal_normal,0.1,0.00041345475,168.44973731040955,60.923401855114236
NNODEgRMHMC,0.75,normal_normal,0.1,0.0257572,75.02099275588989,4.762816511150869
Explicit NNODEgRMHMC,0.75,normal_normal,0.1,5.315206e-05,85.21219038963318,46.734666165336364
GSymplecticNNgRMHMC,0.75,normal_normal,0.1,0.01671837,71.73607611656189,28.048200357315686
RMHMC,1.0,banana,0.05,0.01148324,53.332319259643555,4.911361959559037
NNODEgRMHMC,1.0,banana,0.05,0.005528306,32.30115222930908,3.200787497329517
Explicit NNODEgRMHMC,1.0,banana,0.05,2.0376981e-11,41.09188151359558,5.97841348345393
GSymplecticNNgRMHMC,1.0,banana,0.05,0.0017937195,29.126092433929443,5.480851890255144
RMHMC,1.0,normal_normal,0.1,2.2825214e-05,169.40953421592712,44.28061488360083
NNODEgRMHMC,1.0,normal_normal,0.1,0.024209449,94.47170352935791,3.535175908642987
Explicit NNODEgRMHMC,1.0,normal_normal,0.1,3.922098e-06,103.4212441444397,18.81518053796961
GSymplecticNNgRMHMC,1.0,normal_normal,0.1,0.014111171,91.42185091972351,10.090977895101833
