model,training_size,distribution,reversibility_error,hamiltonian_error,time,ess
HMC,0.1,banana,3.783798e-13,"[0.9315841  0.97505283 0.9895402  0.88189495 0.9145527  0.95317006
 0.88885784 0.9277111  0.93437946 0.8675902  0.922449   0.73181057
 0.94769394 0.7256314  0.94378424 0.942289   0.95050704 0.9175948
 0.90937585 0.95226574 0.9857851  0.96298444 0.90701187 0.9011582
 0.94877446 0.971753   0.9518914  0.86306703 0.9212159  0.9241593
 0.9693564  0.92591393 0.87739086 0.95191336 0.8977663  0.9352948
 0.9281346  0.925249   0.96053666 0.9676199  0.9721936  0.9700273
 0.9834647  0.85175145 0.8980441  0.8603572  0.8226694  0.9410335
 0.8845817  0.9604908  0.90224075 0.9031088  0.98338526 0.83377516
 0.9325588  0.9491247  0.9188387  0.8764872  0.93491477 0.9032328
 0.9192444  0.92650336 0.9121436  0.95884025 0.9479832  0.9451167
 0.97579545 0.9724616  0.9596882  0.8499643  0.8900142  0.9613123
 0.95666015 0.8656142  0.9090959  0.8990178  0.9454934  0.98877734
 0.89140546 0.86229897 0.9620111  0.9490273  0.91794765 0.9584629
 0.97280616 0.96417797 0.7731897  0.83827245 0.9985547  0.9474861
 0.92945164 0.93996966 0.9261141  0.84026307 0.8851347  0.9899394
 0.94073075 0.9476875  0.9355185  0.8314795 ]",20.19290852546692,1.4962419769826643
SymplecticNNgHMC,0.1,banana,570.5365,"[  303.66116   2901.4792    3569.4702      37.522667  4928.986
    18.9519      48.206326  2641.8286     288.8052     719.474
  5427.9976    5708.582       37.061012   555.5697    2075.5679
  1307.601     3893.5137    4790.335     4663.8623    1057.0807
  1616.8689      43.268425 15296.6045    2127.0942     919.8446
  4331.709     3907.25      3771.9023    7359.3125    2104.0918
  7793.0312    4384.7954      25.489859   106.10342    723.24866
  2426.3638    1722.908     2615.08      3830.8289      99.94682
  7262.323    10689.857     3406.727      391.1512    1231.1165
  5411.91       573.63306   2028.7644    3304.8306     158.89267
  2849.7566     264.28625   6819.949     1878.7808    3462.5242
   251.03806   2120.227      173.26807     58.01632   1100.5576
   110.703064  3685.4707    5103.9434    4785.1655      22.388388
    37.660313  6096.9834    1439.6189    1117.251     1508.4789
  1550.2891    3658.3037    9848.25      3108.522      240.93652
  6168.203     1427.3256    2667.5054    3954.6538    6181.6123
   897.53723  10954.891     6636.3984     319.28827   7522.0938
  2672.602       25.594452  1452.5668    6464.5874    1070.4131
   848.9975     149.68016    774.8347      50.28524   1620.6498
  4996.503     2159.3237     422.6413     980.5802      18.385305]",58.13251566886902,5700.0
GSymplecticNNgHMC,0.1,banana,0.002250972,"[0.93121564 0.9709116  0.96563214 0.6277035  0.84251106 0.92078173
 0.19575334 0.6583111  0.9473214  0.4753296  0.91090316 0.28364992
 0.9151432  1.6379713  0.96771514 0.9413341  0.803648   0.9129528
 0.7574426  0.93478656 0.98620594 0.9239789  0.8982314  0.9457113
 0.7137167  0.9653486  0.7688358  0.8314991  0.8287813  0.5200114
 0.959578   0.7369451  0.1378696  0.8368143  0.877252   0.7755054
 0.5902466  0.6844918  0.9307493  0.96950996 0.97246855 0.9695961
 0.9805937  0.17401993 0.8833535  0.21696095 0.395025   0.6988144
 0.9280826  0.82067955 0.64128983 0.66683215 0.982799   0.6932184
 0.86083734 0.88683385 0.65733683 0.51001537 0.7546797  0.6072039
 0.46190295 0.75530785 0.81232184 0.7806453  0.52230805 0.54927945
 0.96918666 0.8047418  0.726725   0.42712134 0.88184583 0.9664835
 0.9425875  0.84729815 0.52907515 0.92598975 0.71906203 0.98297405
 0.87833357 0.11742224 0.9055359  0.94416445 0.9084298  0.93040943
 0.97182196 0.964826   0.8411936  0.9044568  0.9981505  0.8235036
 0.3095606  0.84651136 0.5466271  0.71775216 0.3251755  0.9871273
 0.8997716  0.6810765  0.87670374 0.4474334 ]",7.413872241973877,2.520191311386677
GradSymplecticNNgHMC,0.1,banana,98.50697,"[3.65677834e+00 9.39207649e+00 9.09810448e+00 1.61290985e+02
 1.19635544e+02 3.52079163e+01 4.46652832e+01 1.06548576e+01
 1.96419964e+01 4.46374750e+00 1.25420511e+00 2.59532881e+00
 3.84653625e+01 1.24119930e+01 6.28996944e+00 3.91356587e-01
 7.82906342e+00 2.06661339e+01 1.03176117e+01 6.51216459e+00
 4.88618660e+00 3.22854614e+01 1.93247162e+02 3.75359726e+00
 1.02206192e+01 5.57478905e-01 1.01126003e+00 8.65411162e-01
 2.23560600e+01 3.86724520e+00 2.40579491e+01 4.03226852e+01
 3.59340019e+01 2.69361877e+01 1.98577404e-01 6.96406588e-02
 5.41022015e+00 6.47104979e+00 2.17580006e-01 1.64769304e+00
 3.38246002e+01 4.81340561e+01 5.38519263e-01 1.41354246e+01
 3.08210701e-01 6.65035095e+01 3.63438797e+00 4.05275106e+00
 1.66982498e+01 2.61816921e+01 2.58121395e+00 2.88108978e+01
 6.33884716e+00 4.09693909e+00 6.48204684e-01 7.96397328e-02
 2.58330631e+00 3.17618694e+01 4.15310287e+01 9.02875805e+00
 2.54938545e+01 1.34036617e+01 8.82560909e-01 4.88562698e+01
 3.61785507e+01 4.66385612e+01 4.40480661e+00 6.44919348e+00
 7.32629585e+00 1.93531780e+01 6.71449602e-02 3.10485287e+01
 3.71850433e+01 6.70660019e-01 2.16284466e+01 1.04207031e+02
 9.10684681e+00 5.76518536e-01 8.17610443e-01 1.64861740e+02
 1.03250484e+01 5.03899231e+01 4.47954559e+00 2.02678375e+01
 1.32677307e+01 4.06486653e-02 2.60000572e+01 6.02689934e+00
 7.33121252e+00 1.01145868e+01 1.27591171e+01 3.06757202e+01
 2.60916557e+01 4.22474022e+01 6.39725256e+00 1.04989529e+00
 4.72979307e+00 1.82604446e+01 9.71310997e+00 3.79155846e+01]",78.36991214752197,5700.0
GradGSymplecticNNgHMC,0.1,banana,0.00019428424,"[0.9345031  0.9713606  0.9652164  0.5717341  0.8194908  0.88934344
 0.44077903 0.6284467  0.93628633 0.43093562 0.9105977  0.23513743
 0.935583   1.6855824  0.96750563 0.93405426 0.8007447  0.91478395
 0.75417554 0.94477975 0.98412454 0.93005174 0.8905718  0.94598246
 0.6491406  0.96705574 0.73563623 0.82765627 0.824918   0.45460698
 0.9593893  0.7125943  0.0041906  0.8414637  0.8603138  0.7664897
 0.5184519  0.6791319  0.9282602  0.97108305 0.97246933 0.97091854
 0.9787187  0.15570596 0.8752493  0.14530174 0.35170364 0.6416248
 0.9300103  0.796013   0.6481286  0.6000415  0.98347014 0.70465374
 0.8638444  0.8704886  0.67101526 0.71492213 0.80365294 0.5581249
 0.44955784 0.74055904 0.79922503 0.7508782  0.40317893 0.5716466
 0.9694102  0.76632184 0.66159105 0.5366062  0.88409966 0.9654087
 0.9432645  0.84804535 0.50166094 0.9251003  0.6860046  0.98509264
 0.87629217 0.01100529 0.8790555  0.94611186 0.908461   0.9251525
 0.9729699  0.9620248  0.8582567  0.9085947  0.99794364 0.8064846
 0.27105892 0.8127208  0.4795955  0.65805304 0.24739045 0.98439926
 0.8820307  0.6565499  0.8503369  0.59439933]",7.563864231109619,1.3085682030144807
HMC,0.1,gaussian,4.61529e-15,"[0.9295777  0.9480586  0.90053487 0.93221253 0.9545288  0.94226754
 0.8826067  0.95544976 0.9377103  0.9430876  0.9418678  0.947579
 0.93138826 0.9405047  0.9514595  0.93400353 0.9454624  0.92316425
 0.95363176 0.940684   0.959943   0.8467283  0.949753   0.9248292
 0.9091935  0.95776147 0.91827    0.953067   0.94338584 0.93946093
 0.94311017 0.9546461  0.94478273 0.89734185 0.9426106  0.96149063
 0.91903365 0.93462294 0.90937823 0.94596577 0.94409007 0.9288943
 0.9398154  0.9121455  0.93738985 0.9468918  0.9271323  0.9583293
 0.9506954  0.94980997 0.9340304  0.9467532  0.9403877  0.9439618
 0.9565557  0.94238544 0.9306842  0.922086   0.9557309  0.9609653
 0.9504077  0.94316596 0.938924   0.961709   0.93522406 0.94644994
 0.92578    0.93640155 0.9462621  0.9336506  0.9294679  0.9579896
 0.93810767 0.93891066 0.9537193  0.9586641  0.94882905 0.9229078
 0.9026828  0.9450201  0.9350831  0.94388247 0.93987644 0.95585936
 0.9270012  0.9239828  0.9230856  0.9419149  0.95777607 0.91753507
 0.9380516  0.9463259  0.94406265 0.957963   0.9375652  0.958835
 0.9149911  0.9436691  0.93987364 0.96229213]",16.620631217956543,2722.399408710577
SymplecticNNgHMC,0.1,gaussian,1.4049681e+11,"[1.2827698e+03 3.1311169e+02 3.1563091e+03 7.6956499e+03 5.3618066e+03
 1.4190622e+02 5.9522046e+03 7.4935474e+02 1.5505678e+04 6.8014423e+02
 2.0456257e+03 3.2867041e+03 9.2394958e+02 4.0411941e+03 2.1244431e+03
 2.2348273e+04 9.6315399e+02 1.3444207e+03 6.3874524e+02 1.1383725e+04
 3.2165833e+02 4.3050679e+03 3.5824363e+03 8.3000732e+03 1.6602512e+04
 2.9059695e+03 5.5870449e+03 2.4928149e+03 6.8468256e+02 8.5191230e+03
 6.4072412e+03 1.8835586e+03 5.2057695e+03 1.2441791e+03 3.5287588e+03
 3.9377374e+02 8.1833818e+03 1.4282074e+04 1.0784485e+03 4.6031995e+02
 5.4878047e+03 7.8761250e+03 6.5056719e+03 9.1209805e+03 6.7763047e+03
 3.7517670e+02 1.1115884e+03 1.3635427e+03 5.6198740e+03 1.3528743e+03
 3.5032920e+03 3.5023674e+01 4.5249033e+03 3.0310684e+03 9.4155598e+00
 1.1724292e+03 1.6860172e+02 1.2694133e+03 1.2750821e+02 1.1950705e+02
 3.6392133e+02 7.3690811e+03 7.3111328e+02 1.7296365e+03 3.9562273e+03
 2.6616443e+02 1.6370293e+03 4.6095991e+03 1.2518162e+04 1.2012814e+03
 1.8387430e+03 3.5638110e+02 3.2162090e+03 1.0397121e+02 3.1042847e+03
 5.2804834e+02 5.5933289e+02 2.2286860e+03 2.1328469e+04 5.3187090e+03
 1.3992352e+04 1.6923082e+04 5.1339087e+02 2.5508041e+02 2.7597585e+03
 2.4452326e+04 1.0223593e+04 7.1516680e+03 2.4831143e+03 4.0419771e+03
 1.1865925e+03 1.3353535e+03 2.5214141e+03 6.2111548e+02 2.3358728e+03
 3.5072546e+03 4.5550547e+03 1.2779479e+03 5.3665337e+03 7.3019943e+00]",21.544086694717407,1900.0
GSymplecticNNgHMC,0.1,gaussian,0.036945447,"[0.93761843 0.95153826 0.9122824  0.92955637 0.9492656  0.9299297
 0.8859967  0.9550303  0.9387065  0.94866294 0.9454376  0.94805616
 0.93727756 0.94083047 0.9520065  0.9328787  0.938282   0.9266502
 0.95544636 0.9434449  0.96131074 0.86061597 0.95127535 0.9185946
 0.916259   0.95803946 0.91969174 0.9524328  0.94742    0.93905234
 0.9443225  0.9566555  0.94252366 0.9069319  0.94381094 0.9615917
 0.91880006 0.9432289  0.92165136 0.94677675 0.94358605 0.9300808
 0.9419562  0.9117672  0.93974864 0.94732106 0.94074005 0.9594531
 0.95248526 0.9504868  0.93876123 0.939983   0.94280356 0.94019985
 0.9571299  0.9418759  0.93374795 0.9353881  0.9533416  0.9611615
 0.9504322  0.9337408  0.93837535 0.9619469  0.938126   0.9480524
 0.9240281  0.9414505  0.9456525  0.93005025 0.93073213 0.9585751
 0.9463037  0.9385798  0.9535324  0.95946383 0.9478229  0.9244261
 0.8997973  0.9404819  0.9263605  0.94673395 0.9409384  0.95616525
 0.9279778  0.91193736 0.9282658  0.9454226  0.9585246  0.9133474
 0.9358591  0.95026326 0.94751036 0.9583186  0.93812466 0.9605665
 0.9233138  0.9469403  0.93812245 0.9615885 ]",11.087300062179565,19.25042349098416
GradSymplecticNNgHMC,0.1,gaussian,1.4049681e+11,"[1.2827698e+03 3.1311169e+02 3.1563091e+03 7.6956499e+03 5.3618066e+03
 1.4190622e+02 5.9522046e+03 7.4935474e+02 1.5505678e+04 6.8014423e+02
 2.0456257e+03 3.2867041e+03 9.2394958e+02 4.0411941e+03 2.1244431e+03
 2.2348273e+04 9.6315399e+02 1.3444207e+03 6.3874524e+02 1.1383725e+04
 3.2165833e+02 4.3050679e+03 3.5824363e+03 8.3000732e+03 1.6602512e+04
 2.9059695e+03 5.5870449e+03 2.4928149e+03 6.8468256e+02 8.5191230e+03
 6.4072412e+03 1.8835586e+03 5.2057695e+03 1.2441791e+03 3.5287588e+03
 3.9377374e+02 8.1833818e+03 1.4282074e+04 1.0784485e+03 4.6031995e+02
 5.4878047e+03 7.8761250e+03 6.5056719e+03 9.1209805e+03 6.7763047e+03
 3.7517670e+02 1.1115884e+03 1.3635427e+03 5.6198740e+03 1.3528743e+03
 3.5032920e+03 3.5023674e+01 4.5249033e+03 3.0310684e+03 9.4155598e+00
 1.1724292e+03 1.6860172e+02 1.2694133e+03 1.2750821e+02 1.1950705e+02
 3.6392133e+02 7.3690811e+03 7.3111328e+02 1.7296365e+03 3.9562273e+03
 2.6616443e+02 1.6370293e+03 4.6095991e+03 1.2518162e+04 1.2012814e+03
 1.8387430e+03 3.5638110e+02 3.2162090e+03 1.0397121e+02 3.1042847e+03
 5.2804834e+02 5.5933289e+02 2.2286860e+03 2.1328469e+04 5.3187090e+03
 1.3992352e+04 1.6923082e+04 5.1339087e+02 2.5508041e+02 2.7597585e+03
 2.4452326e+04 1.0223593e+04 7.1516680e+03 2.4831143e+03 4.0419771e+03
 1.1865925e+03 1.3353535e+03 2.5214141e+03 6.2111548e+02 2.3358728e+03
 3.5072546e+03 4.5550547e+03 1.2779479e+03 5.3665337e+03 7.3019943e+00]",28.60456943511963,1900.0
GradGSymplecticNNgHMC,0.1,gaussian,0.05471315,"[0.93172044 0.94758856 0.9017722  0.9350197  0.9555434  0.94607294
 0.8831527  0.9562356  0.9391911  0.9429802  0.9409479  0.94774866
 0.93370384 0.9456924  0.95170236 0.9348237  0.9483737  0.92466915
 0.95279646 0.94131297 0.96043843 0.85149276 0.9503331  0.93032426
 0.91131425 0.95840585 0.9214268  0.9518728  0.94269466 0.94078726
 0.94609785 0.9546083  0.94565475 0.9009232  0.9449625  0.9614134
 0.9211351  0.93515146 0.9103858  0.9496515  0.9449806  0.9291363
 0.9401045  0.91308016 0.93979347 0.94802046 0.926815   0.95870936
 0.9520292  0.95309085 0.93627614 0.9484126  0.9414085  0.9443364
 0.95744133 0.94358206 0.9343669  0.9215657  0.95702475 0.96121347
 0.95195377 0.9450978  0.9392454  0.96158046 0.93687487 0.9468422
 0.9314331  0.9383296  0.94642925 0.93877494 0.930576   0.9579991
 0.93763846 0.93863106 0.9545223  0.95918274 0.9495489  0.9230978
 0.9040307  0.946151   0.9375781  0.9439754  0.9422598  0.9569268
 0.9287915  0.9294765  0.92594564 0.9427972  0.9570042  0.9179715
 0.93851554 0.9460265  0.9445956  0.9583931  0.9388547  0.95892185
 0.9187465  0.94394964 0.9404925  0.9620848 ]",11.690219163894653,14.625896953101062
