model,training_size,sensitivity,distribution,solver,step_size,hamiltonian_error,reversibility_error,time,ess
HMC,0.1,autograd,banana,SynchronousLeapfrog,0.1,"[0.9315841  0.97505283 0.9895402  0.88189495 0.9145527  0.95317006
 0.88885784 0.9277111  0.93437946 0.8675902  0.922449   0.73181057
 0.94769394 0.7256314  0.94378424 0.942289   0.95050704 0.9175948
 0.90937585 0.95226574 0.9857851  0.96298444 0.90701187 0.9011582
 0.94877446 0.971753   0.9518914  0.86306703 0.9212159  0.9241593
 0.9693564  0.92591393 0.87739086 0.95191336 0.8977663  0.9352948
 0.9281346  0.925249   0.96053666 0.9676199  0.9721936  0.9700273
 0.9834647  0.85175145 0.8980441  0.8603572  0.8226694  0.9410335
 0.8845817  0.9604908  0.90224075 0.9031088  0.98338526 0.83377516
 0.9325588  0.9491247  0.9188387  0.8764872  0.93491477 0.9032328
 0.9192444  0.92650336 0.9121436  0.95884025 0.9479832  0.9451167
 0.97579545 0.9724616  0.9596882  0.8499643  0.8900142  0.9613123
 0.95666015 0.8656142  0.9090959  0.8990178  0.9454934  0.98877734
 0.89140546 0.86229897 0.9620111  0.9490273  0.91794765 0.9584629
 0.97280616 0.96417797 0.7731897  0.83827245 0.9985547  0.9474861
 0.92945164 0.93996966 0.9261141  0.84026307 0.8851347  0.9899394
 0.94073075 0.9476875  0.9355185  0.8314795 ]",3.783798e-13,20.719123363494873,1.4962419769826643
NNgHMC,0.1,autograd,banana,SynchronousLeapfrog,0.1,"[0.9378333  0.9159462  0.8892471  0.30792558 0.7153911  0.97152394
 0.26826268 0.79692096 0.9586532  0.1856724  0.91308796 0.38722953
 0.75800216 2.1906219  0.9296907  0.94931984 0.6756675  0.73239654
 0.6415446  0.86378646 0.9662273  0.75790423 0.8815848  0.9040588
 0.86674047 0.9663696  0.8568127  0.8313267  0.879189   0.69427454
 0.95393723 0.5544121  0.44367012 0.6107764  0.88801086 0.5328876
 0.7514894  0.49783656 0.8914224  0.9086081  0.95986795 0.9704156
 0.9840535  0.5669291  0.8880625  0.08586397 0.1665252  0.8329937
 0.9118292  0.5407755  0.5030205  0.28128627 0.98309076 0.5351761
 0.93644047 0.7813112  0.5068211  1.293756   0.47481775 0.7783747
 0.06292488 0.8599911  0.85224473 0.5914543  0.7931098  0.13973923
 0.9631009  0.91725445 0.86357856 0.9578473  0.8848672  0.91584605
 0.95113677 0.8491933  0.1635397  0.8817415  0.85719085 0.9919681
 0.88071966 0.27769077 0.975701   0.94717836 0.9101696  0.75881547
 0.97259486 0.9684064  0.75033396 0.87383497 0.9969041  0.92237484
 0.08185615 0.59097034 0.17615536 0.8458686  0.5530549  0.9963864
 0.9599911  0.37347627 0.9572587  0.0234958 ]",5.647149e-15,16.11799168586731,6.764561299551193
NNODEgHMC,0.1,autograd,banana,SynchronousLeapfrog,0.1,"[0.93707556 0.9551398  0.9368581  0.4675417  0.7994477  0.9584214
 0.03184184 0.70613927 0.9646107  0.31190616 0.91246337 0.3238631
 0.8671133  1.8580875  0.9583721  0.94898355 0.74824715 0.8502988
 0.70722795 0.9099083  0.9836949  0.86758965 0.88528574 0.93219376
 0.77895373 0.9677552  0.8058175  0.8295671  0.85358256 0.5939455
 0.95342416 0.65922004 0.19938819 0.7513591  0.88844955 0.66182965
 0.6383027  0.603668   0.904264   0.9547384  0.9712693  0.97032523
 0.9844467  0.32459915 0.889446   0.0668675  0.256351   0.74652004
 0.92904586 0.70711017 0.5833996  0.49477208 0.98318756 0.6289868
 0.9166064  0.82608485 0.59476644 0.9028408  0.6610666  0.6873943
 0.29427457 0.79953754 0.83414    0.6949536  0.64465344 0.38973945
 0.9645121  0.8589736  0.79002225 0.6861094  0.8853806  0.95268196
 0.9483534  0.8503232  0.3742342  0.9142002  0.7690071  0.99103916
 0.8818134  0.08806058 0.94341993 0.94665194 0.9108138  0.8665382
 0.9727601  0.96751297 0.8181542  0.89972305 0.99833363 0.87500685
 0.13360399 0.74765223 0.38369936 0.7877302  0.41340446 0.993266
 0.9282496  0.5522233  0.9158467  0.34105104]",2.7379219e-11,27.820257425308228,1.4009386937627035
Explicit NNODEgHMC,0.1,autograd,banana,SynchronousLeapfrog,0.1,"[0.9329898  0.9674484  0.94068736 0.29426864 0.8449792  0.91750336
 0.30557883 0.63768715 0.94799656 0.14122874 0.9142631  0.4774775
 0.91948146 1.6245564  0.96557    0.94654363 0.7041247  0.8103328
 0.60013074 0.9205815  0.9845044  0.92400354 0.88250625 0.93548393
 0.71324086 0.9655578  0.9152098  0.832462   0.90901315 0.579329
 0.9569642  0.70254993 0.02332362 0.8335203  0.8836497  0.47478992
 0.5650243  0.6354605  0.8974029  0.8791337  0.9298644  0.9705492
 0.9827142  0.16123901 0.8852379  0.10889014 0.14479664 0.71593595
 0.93013805 0.8086099  0.5218713  0.6338347  0.9828993  0.65008706
 0.93086064 0.7690023  0.56465113 0.6237764  0.77230597 0.61251825
 0.4481505  0.7687868  0.86597097 0.73751324 0.49671912 0.5516923
 0.96412015 0.8239748  0.7762219  0.502399   0.8830776  0.9654232
 0.9520587  0.84762496 0.5117201  0.92510414 0.6887493  0.9899203
 0.8788704  0.0206769  0.90995586 0.94688165 0.9087624  0.9247122
 0.97289    0.966184   0.8450556  0.9021475  0.9948728  0.8232827
 0.2763344  0.840192   0.52041566 0.70444936 0.31608376 0.9971129
 0.90599334 0.6658332  0.8722357  0.6251262 ]",4.175614e-11,49.3595335483551,1.3100741731341237
SymplecticNNgHMC,0.1,autograd,banana,SynchronousLeapfrog,0.1,"[0.93265283 0.96588725 0.96596926 0.51980174 0.87232256 0.78672886
 0.4301238  0.58067644 0.8949911  0.37643278 0.9144256  0.28542924
 0.9063276  1.1309708  0.9362876  0.9509189  0.82343984 0.88720703
 0.7730706  0.9320376  0.967245   0.9298104  0.8902685  0.920757
 0.6778459  0.9667637  0.7690894  0.8310914  0.8156535  0.48953113
 0.963024   0.7809888  0.10072428 0.89597297 0.8906647  0.7311556
 0.55022097 0.7390882  0.92903674 0.96036977 0.9728419  0.96655434
 0.9850577  0.12637529 0.891559   0.29831418 0.31508356 0.67822516
 0.88533306 0.90067804 0.67951953 0.81388295 0.9829049  0.7287831
 0.8640846  0.8521565  0.6988113  0.05759152 0.8744314  0.5091623
 0.6822226  0.69945353 0.814177   0.8198721  0.30792853 0.7790183
 0.96715873 0.76096106 0.7120024  0.1682972  0.8853733  0.9469155
 0.9413805  0.8520586  0.6933694  0.9039321  0.6268805  0.98350763
 0.8821532  0.22651514 0.8657774  0.94148445 0.90955496 0.938187
 0.9709942  0.9655296  0.8318516  0.9049686  0.9960022  0.7220621
 0.50027263 0.899559   0.7034205  0.39059424 0.24893063 0.98959744
 0.8751664  0.7991446  0.83146214 0.8489348 ]",0.5557222,48.488524436950684,1.3406480405594179
GSymplecticNNgHMC,0.1,autograd,banana,SynchronousLeapfrog,0.1,"[0.93414533 0.9763748  0.9710726  0.6001241  0.87101114 0.8964882
 0.4120221  0.5785914  0.93781394 0.42194137 0.9120638  0.2384772
 0.93691206 1.4669231  0.96446437 0.9400956  0.81484044 0.9038614
 0.7695324  0.9441743  0.9843987  0.9419896  0.89544034 0.94345057
 0.6595913  0.9672327  0.7389529  0.82784367 0.8144312  0.4651297
 0.9573476  0.7573928  0.11289166 0.86355823 0.8745874  0.7507083
 0.49431285 0.70393604 0.92532176 0.9715306  0.9739522  0.9687861
 0.9803289  0.0638415  0.8829236  0.22426912 0.34863314 0.6341066
 0.9212254  0.8444929  0.6693749  0.68895024 0.98343205 0.71526897
 0.8714613  0.87602174 0.6840815  0.49045467 0.8161235  0.55842483
 0.5053992  0.7087736  0.8024266  0.78999233 0.43267426 0.61094934
 0.9702541  0.7727833  0.6914336  0.40918216 0.88580626 0.9662863
 0.93942213 0.849722   0.5687571  0.9231806  0.64000946 0.98535943
 0.8784835  0.12401612 0.8830859  0.9428648  0.9080009  0.9407381
 0.9736624  0.9634445  0.85871667 0.9113916  0.99769163 0.7888874
 0.33831844 0.8744917  0.5858065  0.6562592  0.23439352 0.9851126
 0.8719184  0.712135   0.84333724 0.75080395]",0.000991377,13.33454179763794,11.906575018995118
GradSymplecticNNgHMC,0.1,autograd,banana,SynchronousLeapfrog,0.1,"[0.9335665  0.96522856 0.9718728  0.5357078  0.8888837  0.6724693
 0.9471137  0.45299053 0.8408704  0.3892591  0.91539925 0.22569883
 0.883146   1.1913629  0.92928314 0.94889295 0.8339781  0.900936
 0.78516954 0.93595684 0.96130407 0.920807   0.8880447  0.92120385
 0.55130327 0.9666339  0.7191288  0.8307187  0.79749006 0.3787729
 0.96484584 0.8063693  0.5290053  0.916139   0.8873798  0.7483243
 0.38632867 0.7392458  0.93260694 0.9629848  0.9716201  0.9665345
 0.9844486  0.13402727 0.8914441  0.30854753 0.32267103 0.55971956
 0.872646   0.9225265  0.6662883  0.85758203 0.982938   0.7548515
 0.84470505 0.85553473 0.69939536 0.06379989 0.89063376 0.39872593
 0.73245144 0.62225956 0.8033001  0.8356259  0.0354175  0.83693403
 0.9673473  0.68744326 0.62756217 0.13532767 0.8878595  0.93889797
 0.9383365  0.85442775 0.7543125  0.89592713 0.48408994 0.9821285
 0.8824922  0.24739853 0.8011829  0.94101286 0.90950507 0.93648714
 0.9707447  0.96586794 0.8216233  0.90364975 0.99576366 0.63684666
 0.5377807  0.9037012  0.761718   0.1954186  0.07343634 0.9861851
 0.8144078  0.843717   0.74639606 1.3732647 ]",0.698395,61.7273645401001,1.3188743265274563
GradGSymplecticNNgHMC,0.1,autograd,banana,SynchronousLeapfrog,0.1,"[0.9346058  0.95932436 0.9562494  0.6651751  0.80713725 0.94529736
 0.16027854 0.7602868  0.96132207 0.5782019  0.91241926 0.37737915
 0.9247109  1.0256134  0.96518517 0.9508605  0.79713476 0.9252268
 0.74237746 0.943498   0.98612374 0.9066365  0.89691937 0.94174546
 0.81855285 0.9675045  0.83169097 0.84284973 0.8537295  0.63221616
 0.9632344  0.7047512  0.41915044 0.8170223  0.8993882  0.82840484
 0.7304921  0.73802227 0.9388702  0.96940607 0.9698059  0.97003794
 0.9846715  0.12060499 0.8959204  0.22481689 0.49003404 0.8066515
 0.929119   0.79548615 0.709785   0.64801496 0.9827285  0.6721782
 0.88616174 0.9102661  0.70120716 0.43568343 0.83735216 0.68659556
 0.5563022  0.82178247 0.83504456 0.7675637  0.662673   0.620021
 0.9660548  0.8640717  0.80522144 0.32980734 0.8806603  0.9604284
 0.9482925  0.85273254 0.50036454 0.9219873  0.8195416  0.98229146
 0.8838894  0.10926142 0.9464118  0.9455864  0.91159475 0.91738665
 0.96874654 0.96656275 0.8357228  0.8928641  0.9986555  0.872115
 0.38088816 0.80661094 0.49854422 0.71139956 0.48392543 0.99276924
 0.9413573  0.6523731  0.92989576 0.09942894]",0.0019895397,14.387839078903198,28.719646059779
HMC,0.1,autograd,gaussian,SynchronousLeapfrog,0.3,"[0.9295777  0.9480586  0.90053487 0.93221253 0.9545288  0.94226754
 0.8826067  0.95544976 0.9377103  0.9430876  0.9418678  0.947579
 0.93138826 0.9405047  0.9514595  0.93400353 0.9454624  0.92316425
 0.95363176 0.940684   0.959943   0.8467283  0.949753   0.9248292
 0.9091935  0.95776147 0.91827    0.953067   0.94338584 0.93946093
 0.94311017 0.9546461  0.94478273 0.89734185 0.9426106  0.96149063
 0.91903365 0.93462294 0.90937823 0.94596577 0.94409007 0.9288943
 0.9398154  0.9121455  0.93738985 0.9468918  0.9271323  0.9583293
 0.9506954  0.94980997 0.9340304  0.9467532  0.9403877  0.9439618
 0.9565557  0.94238544 0.9306842  0.922086   0.9557309  0.9609653
 0.9504077  0.94316596 0.938924   0.961709   0.93522406 0.94644994
 0.92578    0.93640155 0.9462621  0.9336506  0.9294679  0.9579896
 0.93810767 0.93891066 0.9537193  0.9586641  0.94882905 0.9229078
 0.9026828  0.9450201  0.9350831  0.94388247 0.93987644 0.95585936
 0.9270012  0.9239828  0.9230856  0.9419149  0.95777607 0.91753507
 0.9380516  0.9463259  0.94406265 0.957963   0.9375652  0.958835
 0.9149911  0.9436691  0.93987364 0.96229213]",4.61529e-15,17.464102029800415,2722.399408710577
NNgHMC,0.1,autograd,gaussian,SynchronousLeapfrog,0.3,"[0.92829555 0.94862986 0.8967078  0.93310773 0.9552736  0.9420726
 0.87947226 0.9557743  0.93787116 0.9444601  0.9419946  0.94767565
 0.9311284  0.9412718  0.95149535 0.9342408  0.94517577 0.92362165
 0.954324   0.9409379  0.96036637 0.84084433 0.94970465 0.92453027
 0.9067025  0.9580411  0.9173886  0.95406437 0.9433912  0.94027466
 0.9427339  0.95479715 0.94461477 0.8966832  0.9426421  0.96162766
 0.91647995 0.93427575 0.9071924  0.9466723  0.9437791  0.92934453
 0.9397572  0.91234934 0.9382061  0.94700694 0.9257476  0.9587285
 0.9507375  0.9497446  0.9342269  0.94662565 0.9408385  0.9455284
 0.95660484 0.94240826 0.92949283 0.9208869  0.955557   0.9608365
 0.95087045 0.944368   0.93903625 0.96188563 0.93499005 0.9468233
 0.92544734 0.93638515 0.9461273  0.9332797  0.9296207  0.95792353
 0.9377068  0.9388249  0.95399666 0.9587407  0.948856   0.9231586
 0.9014524  0.94558764 0.9343369  0.94432753 0.9396714  0.95577955
 0.92734516 0.9223547  0.92353964 0.9423419  0.9581604  0.91684836
 0.9389786  0.94674444 0.9442756  0.95794713 0.9381126  0.959064
 0.9158219  0.9435622  0.9395127  0.9624278 ]",5.2696274e-15,16.28749656677246,2707.023161442358
