model,training_size,sensitivity,distribution,solver,step_size,hamiltonian_error,reversibility_error,time,ess
HMC,0.1,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.67269295 0.68209285 0.6710796  0.67263144 0.66404116 0.6725995
 0.66652435 0.67177695 0.67353296 0.66510165 0.6678535  0.6854905
 0.6691607  0.6786188  0.67960566 0.6641958  0.6792223  0.6679732
 0.67022675 0.6675825  0.67689824 0.6652372  0.67315435 0.67076826
 0.66683614 0.67084515 0.66991365 0.66364217 0.6781652  0.6766097
 0.66203785 0.6636731  0.66208076 0.676105   0.66712666 0.6715238
 0.67002076 0.66262305 0.6673019  0.67330635 0.6613476  0.67477244
 0.6703304  0.66488755 0.672493   0.6714872  0.67963123 0.6713152
 0.67477226 0.66407716 0.6744978  0.6821197  0.6800318  0.6694853
 0.6694759  0.66448003 0.67109334 0.6655539  0.669258   0.67014456
 0.6761715  0.6742136  0.6791549  0.66740954 0.6819331  0.67017925
 0.6724241  0.67198265 0.6719688  0.66397905 0.67142045 0.66112804
 0.67589444 0.67322654 0.6729283  0.6710315  0.6681988  0.67098427
 0.6629085  0.67585653 0.66785353 0.67064106 0.68136024 0.6783404
 0.6756716  0.6823768  0.66992784 0.66634154 0.6717064  0.666923
 0.6758652  0.6735131  0.6687403  0.6670815  0.6793382  0.67135227
 0.6685643  0.67829514 0.66911685 0.6672044 ]",1.2197535e+06,18.039748191833496,5879.743201140209
NNgHMC,0.1,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.67269295 0.68209285 0.6710796  0.67263144 0.66404116 0.6725995
 0.66652435 0.67177695 0.67353296 0.66510165 0.6678535  0.6854905
 0.6691607  0.6786188  0.67960566 0.6641958  0.6792223  0.6679732
 0.67022675 0.6675825  0.67689824 0.6652372  0.67315435 0.67076826
 0.66683614 0.67084515 0.66991365 0.66364217 0.6781652  0.6766097
 0.66203785 0.6636731  0.66208076 0.676105   0.66712666 0.6715238
 0.67002076 0.66262305 0.6673019  0.67330635 0.6613476  0.67477244
 0.6703304  0.66488755 0.672493   0.6714872  0.67963123 0.6713152
 0.67477226 0.66407716 0.6744978  0.6821197  0.6800318  0.6694853
 0.6694759  0.66448003 0.67109334 0.6655539  0.669258   0.67014456
 0.6761715  0.6742136  0.6791549  0.66740954 0.6819331  0.67017925
 0.6724241  0.67198265 0.6719688  0.66397905 0.67142045 0.66112804
 0.67589444 0.67322654 0.6729283  0.6710315  0.6681988  0.67098427
 0.6629085  0.67585653 0.66785353 0.67064106 0.68136024 0.6783404
 0.6756716  0.6823768  0.66992784 0.66634154 0.6717064  0.666923
 0.6758652  0.6735131  0.6687403  0.6670815  0.6793382  0.67135227
 0.6685643  0.67829514 0.66911685 0.6672044 ]",1.2197535e+06,45.24469470977783,5570.811189182129
NNODEgHMC,0.1,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.94116896 0.94072425 0.94123954 0.9409714  0.9413876  0.9411715
 0.94143677 0.9412322  0.9409842  0.9413346  0.9411535  0.94063425
 0.94114417 0.9407961  0.9411168  0.9413368  0.9409207  0.941295
 0.94129276 0.9409894  0.9408407  0.9413825  0.94100446 0.94113994
 0.9413543  0.94117    0.941189   0.9414047  0.940765   0.9411406
 0.94137573 0.9415064  0.9416828  0.9408095  0.9411955  0.9412284
 0.9411416  0.94122976 0.94110364 0.9411349  0.94157803 0.9407991
 0.94124734 0.94128627 0.9411801  0.9411988  0.9405253  0.9413137
 0.94114584 0.94138163 0.94108367 0.94057083 0.94070023 0.94121665
 0.9412477  0.94146955 0.9411904  0.9415018  0.94126666 0.94116545
 0.9406885  0.9409654  0.940979   0.9410136  0.9409144  0.94113004
 0.9410032  0.9409497  0.9412145  0.94147635 0.94110537 0.94149184
 0.94089067 0.94111127 0.9411231  0.9411869  0.9414119  0.94114494
 0.9413234  0.9410517  0.9412888  0.94103235 0.9406993  0.9408824
 0.94106805 0.9405834  0.9411532  0.9415082  0.9411305  0.94128263
 0.94111055 0.94101775 0.94132185 0.9413233  0.94094414 0.9410445
 0.9411387  0.9408328  0.9412445  0.94113827]",6.725895e-11,36.28977918624878,5700.0
Explicit NNODEgHMC,0.1,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.9400495  0.93959594 0.94012153 0.9398415  0.94026726 0.94005275
 0.9403229  0.94011533 0.9398564  0.94021297 0.940026   0.9395063
 0.9400183  0.93966603 0.9400055  0.94021356 0.9397986  0.9401754
 0.9401764  0.9398524  0.93971056 0.9402636  0.9398775  0.94001645
 0.94023633 0.9400479  0.94006693 0.9402842  0.93963265 0.94002646
 0.94025135 0.9403914  0.940575   0.9396762  0.9400686  0.9401111
 0.94001675 0.9400984  0.93997306 0.9400152  0.9404634  0.9396632
 0.94012916 0.94016135 0.940061   0.94007987 0.9393821  0.9402005
 0.9400289  0.940261   0.93996334 0.9394344  0.93956774 0.94009537
 0.9401282  0.9403534  0.94007003 0.9403895  0.9401474  0.9400427
 0.9395493  0.9398379  0.93985987 0.9398779  0.9397964  0.9400052
 0.939875   0.93981767 0.94009686 0.94036055 0.9399807  0.94037247
 0.93976116 0.93999004 0.9400019  0.94006604 0.9402988  0.9400221
 0.9401977  0.9399316  0.94016886 0.93990296 0.9395689  0.93975675
 0.9399487  0.93944824 0.9400293  0.94039714 0.94000787 0.94016093
 0.93999374 0.9398918  0.940205   0.94020385 0.9398234  0.9399172
 0.9400114  0.9397043  0.940124   0.94000924]",2.5461001e-11,58.13797640800476,5.220769890236155
SymplecticNNgHMC,0.1,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.95146346 0.95151347 0.9515234  0.95190924 0.95186424 0.9514238
 0.95155233 0.9513724  0.95181084 0.9518665  0.95203274 0.95136726
 0.95188    0.9516484  0.95085156 0.9519285  0.951303   0.9516775
 0.9515354  0.95241106 0.9516454  0.9517621  0.95172834 0.95170105
 0.95165503 0.95175064 0.9517025  0.95194787 0.9517201  0.9511255
 0.95211923 0.9516584  0.95142937 0.9519224  0.95208377 0.95134753
 0.95184773 0.9523926  0.9521034  0.95140857 0.95174694 0.9520581
 0.9515095  0.95205176 0.9515345  0.9515153  0.95209503 0.9512667
 0.95129776 0.95182556 0.9514078  0.951743   0.9516339  0.95169103
 0.95157254 0.95165205 0.95157164 0.9514897  0.9516411  0.95169616
 0.95208406 0.95173216 0.9511963  0.95229906 0.95099914 0.95175624
 0.95184773 0.95200765 0.95141494 0.95168346 0.95177114 0.95201415
 0.9518008  0.95157635 0.9515544  0.9516203  0.95141953 0.9516578
 0.9521472  0.95135486 0.9517207  0.95194745 0.9515475  0.9514293
 0.95131767 0.95171976 0.9517621  0.9514502  0.9517057  0.95177734
 0.95121646 0.9516878  0.95159453 0.95169467 0.9512539  0.95183027
 0.95198107 0.95162773 0.9516577  0.9520922 ]",1747.2465,68.4038918018341,3.282267128925205
GSymplecticNNgHMC,0.1,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.94423413 0.94399023 0.94426525 0.94438326 0.9445524  0.9441959
 0.9443722  0.94420356 0.9443153  0.9445302  0.9445361  0.94385934
 0.94444764 0.944152   0.9438529  0.94459426 0.9439982  0.9444008
 0.9442748  0.9447014  0.9442172  0.9444859  0.94430196 0.9443514
 0.9444155  0.94433916 0.94435585 0.9445796  0.9442048  0.94398856
 0.94470036 0.9444992  0.9444636  0.9443053  0.9445588  0.9442233
 0.9444019  0.9447862  0.9445834  0.9441904  0.94458026 0.94440234
 0.9442834  0.9446063  0.94423974 0.9442465  0.9443356  0.9441922
 0.9440953  0.9445519  0.9441465  0.9441144  0.94412297 0.944353
 0.94433326 0.94448996 0.94428605 0.9444029  0.944348   0.94435394
 0.9443845  0.9442762  0.94396704 0.9446747  0.9438321  0.94438547
 0.9443554  0.9444408  0.9442162  0.9444884  0.94435537 0.94464993
 0.9442572  0.9442196  0.94423676 0.9443121  0.944311   0.9443319
 0.9446789  0.94410294 0.9444086  0.9444407  0.94403744 0.9440872
 0.9440934  0.94407743 0.944384   0.94435996 0.94431007 0.94446456
 0.9440565  0.9442781  0.94434214 0.94443166 0.94398355 0.94437474
 0.9445016  0.94414204 0.9443657  0.94457567]",148.3988,24.611791610717773,27.936568889676316
HMC,0.1,autograd,high_dimensional_warped_gaussian,SynchronousLeapfrog,0.1,"[0.8918049  0.8932277  0.89365834 0.89452016 0.89875096 0.89662975
 0.8967866  0.89625466 0.8940692  0.89872545 0.8952265  0.89113283
 0.895818   0.8928771  0.8905364  0.89731836 0.89410585 0.8952508
 0.89422226 0.8954916  0.89438426 0.8977212  0.89677763 0.8955292
 0.896695   0.89372367 0.8961308  0.8970091  0.8937353  0.8951394
 0.89796203 0.895641   0.89596415 0.8938074  0.89328283 0.8969395
 0.8951651  0.8987895  0.89937514 0.8957099  0.89703774 0.8937901
 0.89657736 0.89629334 0.89236534 0.89653075 0.8927069  0.8953409
 0.89490193 0.8989212  0.8971776  0.8939563  0.8959093  0.8973806
 0.89672685 0.89391506 0.8947803  0.89528084 0.89475334 0.8973621
 0.89699924 0.8954797  0.89334714 0.89727914 0.89493436 0.89707494
 0.8961437  0.89507836 0.89532745 0.8975229  0.8935447  0.89889514
 0.8921978  0.8956374  0.89459    0.89402694 0.89394253 0.8956198
 0.8992542  0.8948877  0.89670813 0.89699477 0.89549655 0.8942854
 0.89593095 0.8952257  0.8970785  0.8936813  0.89450806 0.8972081
 0.895868   0.8952311  0.89501095 0.89561117 0.89322984 0.8979801
 0.8951664  0.8932807  0.89605546 0.8973187 ]",74.02333,17.792283058166504,5879.743829916331
NNgHMC,0.1,autograd,high_dimensional_warped_gaussian,SynchronousLeapfrog,0.1,"[0.8918049  0.8932277  0.89365834 0.89452016 0.89875096 0.89662975
 0.8967866  0.89625466 0.8940692  0.89872545 0.8952265  0.89113283
 0.895818   0.8928771  0.8905364  0.89731836 0.89410585 0.8952508
 0.89422226 0.8954916  0.89438426 0.8977212  0.89677763 0.8955292
 0.896695   0.89372367 0.8961308  0.8970091  0.8937353  0.8951394
 0.89796203 0.895641   0.89596415 0.8938074  0.89328283 0.8969395
 0.8951651  0.8987895  0.89937514 0.8957099  0.89703774 0.8937901
 0.89657736 0.89629334 0.89236534 0.89653075 0.8927069  0.8953409
 0.89490193 0.8989212  0.8971776  0.8939563  0.8959093  0.8973806
 0.89672685 0.89391506 0.8947803  0.89528084 0.89475334 0.8973621
 0.89699924 0.8954797  0.89334714 0.89727914 0.89493436 0.89707494
 0.8961437  0.89507836 0.89532745 0.8975229  0.8935447  0.89889514
 0.8921978  0.8956374  0.89459    0.89402694 0.89394253 0.8956198
 0.8992542  0.8948877  0.89670813 0.89699477 0.89549655 0.8942854
 0.89593095 0.8952257  0.8970785  0.8936813  0.89450806 0.8972081
 0.895868   0.8952311  0.89501095 0.89561117 0.89322984 0.8979801
 0.8951664  0.8932807  0.89605546 0.8973187 ]",74.02333,44.838568925857544,5572.549593515276
NNODEgHMC,0.1,autograd,high_dimensional_warped_gaussian,SynchronousLeapfrog,0.1,"[0.93685675 0.9377143  0.938076   0.93666255 0.9386724  0.93701196
 0.93732756 0.9394778  0.935759   0.94003475 0.9370777  0.9337308
 0.9377688  0.9342679  0.93587935 0.93926877 0.93331623 0.93794584
 0.93770313 0.9366833  0.93704814 0.9395149  0.938941   0.938017
 0.9344413  0.93733    0.93730897 0.9362538  0.9355997  0.9368434
 0.9405987  0.9376425  0.9370753  0.93538564 0.9374785  0.9368204
 0.93667984 0.9380708  0.93897355 0.9370133  0.9411721  0.9351575
 0.93467283 0.9390383  0.9381658  0.93752646 0.9367439  0.9391403
 0.9354811  0.93719363 0.93701524 0.9375371  0.9373953  0.9397764
 0.9374329  0.93598735 0.93618155 0.94012344 0.9391658  0.9389464
 0.9367396  0.9367372  0.9373829  0.9361361  0.9365987  0.9373819
 0.93533677 0.93893975 0.93882036 0.9391069  0.9397702  0.9402046
 0.93536043 0.93693346 0.9373441  0.9382224  0.9393031  0.9379897
 0.9373741  0.9386627  0.9380127  0.93795407 0.93516374 0.93415105
 0.9366335  0.93643    0.93831575 0.9394385  0.93948764 0.93588257
 0.9358449  0.93815184 0.93861336 0.9355198  0.935171   0.9374027
 0.9394328  0.9381305  0.93600273 0.9391858 ]",2.0801375e-13,35.703792333602905,12.551597482720977
Explicit NNODEgHMC,0.1,autograd,high_dimensional_warped_gaussian,SynchronousLeapfrog,0.1,"[0.9354154  0.9353978  0.9378059  0.9373574  0.9376718  0.9370632
 0.9376178  0.93748975 0.9369831  0.93793625 0.9347638  0.9344903
 0.93726397 0.9354725  0.93636537 0.93830866 0.9340202  0.9379953
 0.93674797 0.93633604 0.9364106  0.93803406 0.93681765 0.9378338
 0.93755186 0.9366717  0.9368806  0.93758535 0.93552613 0.93620837
 0.9384987  0.9380894  0.93844026 0.935595   0.9363041  0.93753016
 0.93722737 0.9386081  0.93760955 0.9371537  0.93939847 0.93607664
 0.93752617 0.9387719  0.9354553  0.9377066  0.93510103 0.93608904
 0.9361283  0.9383007  0.9368113  0.9348745  0.93539953 0.93776476
 0.9365977  0.937067   0.9374311  0.9378177  0.93813586 0.9370279
 0.9364079  0.9368808  0.9354388  0.9371313  0.9353625  0.9368186
 0.9368517  0.93715686 0.9381027  0.93894213 0.93647563 0.93950653
 0.9351551  0.9358708  0.93503636 0.9360363  0.9358088  0.9365878
 0.9384758  0.93741196 0.93679154 0.93751544 0.9354714  0.93476665
 0.9356448  0.9358063  0.93705696 0.93763435 0.93637586 0.93711925
 0.9367279  0.9368621  0.9373102  0.93748206 0.9360902  0.9367845
 0.9369911  0.93615496 0.9372014  0.93797815]",2.3338013e-13,57.62865471839905,5700.0
SymplecticNNgHMC,0.1,autograd,high_dimensional_warped_gaussian,SynchronousLeapfrog,0.1,"[0.94730127 0.94677436 0.94792986 0.94762754 0.9485183  0.94732356
 0.9482449  0.9476935  0.94736147 0.94890344 0.9474348  0.9452383
 0.9482641  0.94656134 0.9456581  0.9486429  0.94633913 0.94813824
 0.94719076 0.9474358  0.94761074 0.94851196 0.9478316  0.9477767
 0.9479122  0.9476441  0.94769305 0.94815767 0.9464523  0.9465384
 0.9489498  0.9481305  0.94728875 0.94709414 0.94773996 0.94754076
 0.947945   0.9484293  0.9484551  0.9475235  0.94851935 0.9467095
 0.94743747 0.94842595 0.9470347  0.9478414  0.94619215 0.947314
 0.9473181  0.9485949  0.9473885  0.9467327  0.94695807 0.94815415
 0.9480616  0.94775194 0.9478499  0.9482998  0.9484576  0.94823736
 0.9471911  0.94754255 0.94618034 0.9478389  0.9465736  0.94777286
 0.94713676 0.9480652  0.947359   0.94863    0.94738    0.949562
 0.94674176 0.9471974  0.9472259  0.94775677 0.94737387 0.94767094
 0.9487259  0.94713205 0.94770473 0.94820404 0.94674397 0.9464698
 0.9468717  0.94669193 0.94823205 0.9475505  0.947904   0.9479724
 0.9465046  0.9477576  0.9477668  0.94710374 0.94663    0.9477681
 0.94826055 0.9466111  0.94741964 0.94816345]",8.606095,54.402323722839355,5.135948226187823
GSymplecticNNgHMC,0.1,autograd,high_dimensional_warped_gaussian,SynchronousLeapfrog,0.1,"[0.9252531  0.92270917 0.92584133 0.9241694  0.9271989  0.92588747
 0.9274456  0.9261153  0.9243269  0.92679095 0.9253549  0.9221849
 0.9253677  0.92317027 0.92516434 0.9265933  0.92442214 0.92623633
 0.9263004  0.9242352  0.9234679  0.92700756 0.9246046  0.9253411
 0.92699665 0.92541564 0.9257541  0.9271847  0.9229164  0.9257598
 0.9267292  0.92759216 0.9288554  0.92320174 0.9253521  0.9262935
 0.9253306  0.92601126 0.9253849  0.9255439  0.9280151  0.92306435
 0.9263681  0.92614925 0.9253515  0.9259809  0.9210539  0.9266131
 0.9256879  0.92722315 0.92546046 0.92164725 0.9227905  0.9259803
 0.92629117 0.9272069  0.9257061  0.9275443  0.92605865 0.92573357
 0.9226653  0.9243803  0.92446136 0.9246651  0.924446   0.925539
 0.92468995 0.9239458  0.9258685  0.92758226 0.92473763 0.9276814
 0.9235851  0.9254446  0.9253084  0.9255227  0.92689514 0.9254173
 0.9268141  0.9248983  0.9264544  0.9248039  0.92294455 0.92403734
 0.9252886  0.9220605  0.92564535 0.92745036 0.9251226  0.92653006
 0.92560816 0.92456836 0.9264945  0.92658156 0.92427415 0.9250676
 0.9250716  0.92324626 0.9262008  0.92532414]",91.1323,25.87982678413391,5700.0
HMC,0.2,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.66636354 0.6719779  0.67165077 0.6677828  0.672838   0.6691842
 0.6719116  0.6740546  0.6715832  0.66809034 0.6772892  0.671493
 0.66742635 0.66901445 0.67055285 0.6735128  0.6746516  0.6651974
 0.6658473  0.66567934 0.67162454 0.6797097  0.6752929  0.67527306
 0.6742465  0.6825723  0.6621432  0.67079055 0.6677921  0.66542584
 0.6682562  0.66799086 0.67041576 0.6733989  0.67751694 0.6710004
 0.6700174  0.66754186 0.6766877  0.6782141  0.6703756  0.67102087
 0.6710207  0.6801666  0.6727605  0.6652496  0.66489947 0.67569065
 0.6731914  0.66382736 0.6726665  0.6642402  0.680295   0.67307293
 0.6733815  0.6724316  0.67368126 0.66861045 0.6757761  0.66282094
 0.6710383  0.6690368  0.67021817 0.6716158  0.6693942  0.66619873
 0.6656381  0.66701066 0.66859806 0.6886241  0.66542304 0.6749035
 0.6689507  0.67536855 0.6724469  0.6702857  0.669177   0.6699028
 0.670433   0.6671452  0.6644788  0.6701591  0.66856706 0.6755562
 0.67154765 0.66577905 0.66674566 0.66968155 0.6673731  0.6753573
 0.67016363 0.6781761  0.67823017 0.66743064 0.66937435 0.6759813
 0.67290115 0.6829424  0.66574794 0.6825479 ]",1.3214312e+06,18.470218181610107,5697.263583103526
