model,training_size,sensitivity,distribution,solver,step_size,hamiltonian_error,reversibility_error,time,ess
HMC,0.1,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.25224204e-05 2.08103389e-04 2.93556113e-05 9.44925050e-05
 2.52945552e-04 2.54797749e-04 3.24278022e-04 1.54224283e-04
 5.77379018e-04 5.70244913e-04 2.03034084e-04 3.40625324e-04
 2.83637812e-04 2.22559829e-04 1.09585846e-04 8.42403533e-05
 1.75768277e-04 9.52604387e-05 3.25519068e-04 5.39512512e-05
 2.91113392e-04]",1.2151331e-12,391.6325740814209,18634.359174786525
NNgHMC,0.1,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.2522420e-05 5.6451194e-05 2.6906451e-04 2.6272796e-04 1.3229232e-04
 3.9696525e-04 6.2980293e-04 4.9717544e-04 4.2853333e-04 6.3623599e-04
 7.3217507e-04 4.7191526e-04 4.4684013e-04 4.9484556e-04 3.3849105e-04
 1.7559940e-05 1.9937548e-04 2.4784612e-04 9.8642202e-05 1.6081758e-04
 6.1527069e-04]",1.2374416e-14,284.0567772388458,11215.620876323406
NNODEgHMC,0.1,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.25224204e-05 4.49049330e-05 2.94257916e-04 2.80677516e-04
 1.33382739e-04 3.98554577e-04 6.56310585e-04 5.33884915e-04
 4.46610153e-04 6.53898402e-04 7.76411151e-04 5.00037451e-04
 4.29677893e-04 5.08164056e-04 4.03718557e-04 2.17565757e-05
 1.81109877e-04 2.95913778e-04 1.55801827e-04 1.09823006e-04
 5.78354986e-04]",1.069809e-13,179.8943808078766,6182.04473319267
Explicit NNODEgHMC,0.1,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.25224204e-05 1.13064474e-04 1.85273180e-04 2.02971729e-04
 1.06799496e-04 4.22448880e-04 6.61070633e-04 5.90049080e-04
 7.74915155e-04 1.08480337e-03 1.03350508e-03 8.10279394e-04
 8.90921045e-04 6.47274079e-04 2.65648909e-04 1.76425499e-04
 2.73857266e-04 1.10761634e-04 3.19150677e-05 2.73269980e-04
 2.28976904e-04]",1.4936458e-13,337.3801271915436,6509.868597860439
GSymplecticNNgHMC,0.1,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.2522420e-05 1.5579627e-04 4.2935900e-04 7.3941692e-04 1.2285557e-03
 1.8691889e-03 2.4739909e-03 3.0944091e-03 3.7391377e-03 4.2719753e-03
 4.7822511e-03 5.1754029e-03 5.4969178e-03 5.6863963e-03 6.0610371e-03
 6.4108646e-03 7.1009598e-03 8.1495512e-03 1.0109267e-02 1.3098787e-02
 1.7818268e-02]",0.255993,50.40954065322876,27.771103148324254
RevGSymplecticNNgHMC,0.1,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.2522420e-05 1.1998358e-04 3.2275988e-04 5.3121883e-04 8.9533802e-04
 1.3957616e-03 1.8534809e-03 2.3265183e-03 2.8267598e-03 3.2173300e-03
 3.5792165e-03 3.8013780e-03 3.8991910e-03 3.7662999e-03 3.6502646e-03
 3.2426708e-03 2.7701815e-03 2.0680001e-03 1.4506930e-03 7.4960158e-04
 3.2507948e-04]",7.239998e-15,65.50596475601196,11608.494702839751
RevGradGSymplecticNNgHMC,0.1,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.2522420e-05 2.0168784e-04 5.7410949e-04 1.0176854e-03 1.6580848e-03
 2.4528378e-03 3.2020970e-03 3.9461320e-03 4.6806885e-03 5.2533639e-03
 5.7314122e-03 5.9905150e-03 6.0355184e-03 5.7532364e-03 5.3925067e-03
 4.6565458e-03 3.8013130e-03 2.7106362e-03 1.7714619e-03 9.1349706e-04
 6.2871241e-04]",1.4054339e-14,74.35768604278564,9286.213405113602
HMC,0.4,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.2507537e-05 4.6373334e-05 2.6091246e-04 1.6801636e-05 6.9786314e-05
 5.4884138e-05 3.4618718e-04 2.1084327e-04 7.0417715e-05 3.1046043e-04
 1.6284092e-04 1.6790512e-04 1.1099880e-04 1.2874774e-04 3.4553974e-04
 1.7663746e-04 1.5278503e-05 3.9989682e-04 1.0516726e-04 2.4025350e-04
 1.1513011e-04]",9.673036e-13,427.34139943122864,17189.83029777952
NNgHMC,0.4,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.2507537e-05 2.0609138e-04 1.5287180e-05 8.5098298e-05 3.3448398e-04
 5.0630415e-04 1.9321749e-04 2.4963383e-04 5.1515590e-04 2.6257260e-04
 1.6207323e-05 2.2281609e-04 4.3463422e-04 7.5143478e-05 1.2551843e-04
 4.3547156e-04 4.6110651e-04 4.9166174e-05 2.1701335e-04 5.1296712e-04
 3.6499178e-04]",1.2866146e-14,308.9281589984894,12189.933263322173
NNODEgHMC,0.4,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.2507537e-05 2.1821173e-04 3.5315075e-05 6.4429340e-05 3.5457796e-04
 5.6347635e-04 2.6625168e-04 3.0796241e-04 5.9564185e-04 3.7605836e-04
 7.8798024e-05 2.4484389e-04 4.7557190e-04 1.2305815e-04 1.0115650e-04
 3.9940912e-04 4.9681956e-04 8.8474888e-05 1.9507724e-04 5.4581958e-04
 5.0735625e-04]",1.2970976e-13,196.57114791870117,6243.814240443984
Explicit NNODEgHMC,0.4,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.2507537e-05 7.3332420e-05 1.7355884e-04 7.4426796e-05 4.3791442e-04
 2.9746024e-04 3.6995328e-04 7.4849947e-04 6.2063854e-04 4.3071530e-04
 7.5741415e-04 6.4243015e-04 1.8738549e-04 1.8718190e-04 3.3070950e-04
 1.2342355e-04 9.0915892e-05 1.5853340e-04 5.9780050e-05 7.8705154e-05
 3.6709741e-04]",1.3106279e-13,346.9901406764984,5995.97379883193
