model,training_size,sensitivity,distribution,solver,step_size,hamiltonian_error,reversibility_error,time,ess
HMC,0.1,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.25224204e-05 2.08103389e-04 2.93556113e-05 9.44925050e-05
 2.52945552e-04 2.54797749e-04 3.24278022e-04 1.54224283e-04
 5.77379018e-04 5.70244913e-04 2.03034084e-04 3.40625324e-04
 2.83637812e-04 2.22559829e-04 1.09585846e-04 8.42403533e-05
 1.75768277e-04 9.52604387e-05 3.25519068e-04 5.39512512e-05
 2.91113392e-04]",1.2151331e-12,390.930547952652,18634.359174786525
NNgHMC,0.1,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.2522420e-05 5.6451194e-05 2.6906451e-04 2.6272796e-04 1.3229232e-04
 3.9696525e-04 6.2980293e-04 4.9717544e-04 4.2853333e-04 6.3623599e-04
 7.3217507e-04 4.7191526e-04 4.4684013e-04 4.9484556e-04 3.3849105e-04
 1.7559940e-05 1.9937548e-04 2.4784612e-04 9.8642202e-05 1.6081758e-04
 6.1527069e-04]",1.2374416e-14,278.7814176082611,11215.620876323406
NNODEgHMC,0.1,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.25224204e-05 4.49049330e-05 2.94257916e-04 2.80677516e-04
 1.33382739e-04 3.98554577e-04 6.56310585e-04 5.33884915e-04
 4.46610153e-04 6.53898402e-04 7.76411151e-04 5.00037451e-04
 4.29677893e-04 5.08164056e-04 4.03718557e-04 2.17565757e-05
 1.81109877e-04 2.95913778e-04 1.55801827e-04 1.09823006e-04
 5.78354986e-04]",1.069809e-13,166.94858860969543,6182.04473319267
Explicit NNODEgHMC,0.1,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.25224204e-05 1.13064474e-04 1.85273180e-04 2.02971729e-04
 1.06799496e-04 4.22448880e-04 6.61070633e-04 5.90049080e-04
 7.74915155e-04 1.08480337e-03 1.03350508e-03 8.10279394e-04
 8.90921045e-04 6.47274079e-04 2.65648909e-04 1.76425499e-04
 2.73857266e-04 1.10761634e-04 3.19150677e-05 2.73269980e-04
 2.28976904e-04]",1.4936458e-13,316.4976236820221,6509.868597860439
SymplecticNNgHMC,0.1,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.2522420e-05 6.2074540e-03 1.9100133e-02 2.7955431e-02 2.7673399e-02
 1.9662561e-02 1.0563982e-02 8.5069742e-03 1.5790917e-02 2.4786109e-02
 2.4590224e-02 1.4428264e-02 7.1772602e-03 1.0908233e-02 1.6179500e-02
 1.1346991e-02 5.5594072e-03 1.0505001e-02 5.6416052e-03 2.2719146e-03
 1.9409819e-02]",0.32502493,157.1217179298401,694.3143941160339
GSymplecticNNgHMC,0.1,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.2522420e-05 3.8028561e-02 3.3187479e-02 2.0169254e-02 1.6476596e-02
 1.1884842e-02 1.6453078e-02 2.5529496e-02 3.1577565e-02 3.0488271e-02
 2.5802512e-02 2.0721054e-02 1.8250935e-02 1.7912837e-02 2.1480698e-02
 2.6528344e-02 3.0666031e-02 3.5688013e-02 4.9069490e-02 4.8727084e-02
 3.0837845e-02]",330.54218,60.1651554107666,260.7925617995456
GradSymplecticNNgHMC,0.1,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.2522420e-05 1.5149012e-04 1.6158726e-04 1.3670912e-04 1.8447536e-05
 3.5489668e-04 4.9746822e-04 5.1130913e-04 9.9443912e-04 1.0419774e-03
 7.7147555e-04 8.1188831e-04 6.3736131e-04 4.2540423e-04 8.3881168e-04
 6.2409265e-04 6.6497311e-04 1.2164017e-03 1.4537906e-03 1.9809753e-03
 4.2061280e-03]",0.013535112,470.8146164417267,20.451560141594978
GradGSymplecticNNgHMC,0.1,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.2522420e-05 7.5153710e-04 2.5549696e-03 2.8493947e-03 6.7649703e-03
 2.0690445e-02 3.1009680e-02 3.6355413e-02 2.7897520e-02 1.4980616e-02
 1.0610265e-02 1.2601648e-02 1.6438862e-02 1.9143496e-02 1.9612415e-02
 1.8023388e-02 1.4812350e-02 9.0956930e-03 5.0808298e-03 2.0083031e-02
 1.0152980e-01]",7.117034e+08,61.87400197982788,9800.0
HMC,0.4,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.2507537e-05 4.6373334e-05 2.6091246e-04 1.6801636e-05 6.9786314e-05
 5.4884138e-05 3.4618718e-04 2.1084327e-04 7.0417715e-05 3.1046043e-04
 1.6284092e-04 1.6790512e-04 1.1099880e-04 1.2874774e-04 3.4553974e-04
 1.7663746e-04 1.5278503e-05 3.9989682e-04 1.0516726e-04 2.4025350e-04
 1.1513011e-04]",9.673036e-13,413.1922810077667,17189.83029777952
NNgHMC,0.4,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.2507537e-05 2.0609138e-04 1.5287180e-05 8.5098298e-05 3.3448398e-04
 5.0630415e-04 1.9321749e-04 2.4963383e-04 5.1515590e-04 2.6257260e-04
 1.6207323e-05 2.2281609e-04 4.3463422e-04 7.5143478e-05 1.2551843e-04
 4.3547156e-04 4.6110651e-04 4.9166174e-05 2.1701335e-04 5.1296712e-04
 3.6499178e-04]",1.2866146e-14,294.814514875412,12189.933263322173
NNODEgHMC,0.4,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.2507537e-05 2.1821173e-04 3.5315075e-05 6.4429340e-05 3.5457796e-04
 5.6347635e-04 2.6625168e-04 3.0796241e-04 5.9564185e-04 3.7605836e-04
 7.8798024e-05 2.4484389e-04 4.7557190e-04 1.2305815e-04 1.0115650e-04
 3.9940912e-04 4.9681956e-04 8.8474888e-05 1.9507724e-04 5.4581958e-04
 5.0735625e-04]",1.2970976e-13,189.02204418182373,6243.814240443984
Explicit NNODEgHMC,0.4,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.2507537e-05 7.3332420e-05 1.7355884e-04 7.4426796e-05 4.3791442e-04
 2.9746024e-04 3.6995328e-04 7.4849947e-04 6.2063854e-04 4.3071530e-04
 7.5741415e-04 6.4243015e-04 1.8738549e-04 1.8718190e-04 3.3070950e-04
 1.2342355e-04 9.0915892e-05 1.5853340e-04 5.9780050e-05 7.8705154e-05
 3.6709741e-04]",1.3106279e-13,336.3691420555115,5995.97379883193
SymplecticNNgHMC,0.4,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.2507537e-05 2.4777040e-02 4.6135005e-02 2.6451686e-02 5.6581371e-03
 3.4948431e-03 2.0102615e-02 4.9221687e-02 3.9464060e-02 3.0780479e-03
 1.7559933e-02 4.4696216e-02 2.9477887e-02 6.2511512e-03 3.2615408e-03
 1.8981256e-02 4.2933166e-02 3.2318015e-02 5.7758614e-03 2.0367517e-03
 2.1780679e-02]",0.19767429,255.79746890068054,159.52430552724326
GSymplecticNNgHMC,0.4,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.25075375e-05 2.68624770e-03 5.85476961e-03 7.98728131e-03
 1.61247253e-02 2.41013020e-02 1.01098921e-02 3.82003537e-03
 3.72526376e-03 7.17496267e-03 1.07534053e-02 1.19940871e-02
 1.39263375e-02 1.55934906e-02 1.54165030e-02 1.11240456e-02
 8.36673472e-03 7.00815069e-03 7.22115487e-03 1.63615253e-02
 8.31393674e-02]",4.153129e+08,118.68798065185547,7.225408542739574
GradSymplecticNNgHMC,0.4,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.2507537e-05 1.5934365e-04 4.1404384e-04 1.2475383e-04 2.8712605e-04
 2.6631107e-05 5.2565319e-04 6.5904693e-04 4.7069765e-04 6.1117858e-04
 6.7049637e-04 3.3910910e-04 7.3437532e-04 7.7745318e-04 6.8780332e-04
 2.2836163e-04 1.1606069e-03 1.0751938e-03 1.1553013e-03 1.7314223e-03
 2.7708616e-03]",0.0065649506,1038.884229183197,197.07036724688228
GradGSymplecticNNgHMC,0.4,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.2507537e-05 2.2382001e-05 1.1514412e-03 3.4465943e-03 9.3665635e-03
 8.9702187e-03 1.2832667e-02 1.2420759e-02 9.0684537e-03 9.7601209e-03
 1.7375767e-02 2.3483524e-02 2.9404216e-02 3.2056741e-02 3.1451613e-02
 2.9749107e-02 2.8381247e-02 2.8055144e-02 3.1721469e-02 6.1081238e-02
 1.2640177e-01]",7.9102925e+08,302.6522274017334,9200.0008695653
HMC,0.7,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.2522038e-05 8.9856439e-05 1.8091455e-04 4.1396528e-05 6.7299043e-05
 3.4675322e-04 3.5958341e-04 4.8307844e-05 3.6895878e-04 4.3135276e-04
 4.4620418e-05 2.3619867e-04 2.7331951e-04 1.1835687e-04 7.2846386e-05
 1.7899697e-04 5.0493414e-05 9.0464593e-05 2.5502918e-04 8.1462487e-05
 2.4297860e-04]",9.288291e-13,416.1616225242615,16316.931155499728
NNgHMC,0.7,autograd,gp_regression,SynchronousLeapfrog,0.05,"[5.2522038e-05 5.6154968e-05 4.8516979e-04 3.6589254e-04 8.3763865e-05
 4.2614146e-04 7.4213301e-04 4.9399567e-04 3.1481381e-04 4.8408224e-04
 4.8582529e-04 1.7056442e-04 3.1649272e-04 5.5297924e-04 3.8975402e-04
 4.6734651e-05 3.6230611e-04 4.6240346e-04 2.1567989e-04 2.4561715e-04
 6.5488450e-04]",8.442127e-15,309.8753855228424,10473.924413858735
