model,training_size,sensitivity,distribution,solver,step_size,hamiltonian_error,reversibility_error,distribution_error,time,ess
HMC,1.0,autograd,banana,SynchronousLeapfrog,0.1,"[0.49833488 0.6842451  0.85503393 0.38416776 0.8451013  0.88820076
 0.6195251  0.8333912  0.39964366 0.79047066 0.90877    0.47219595
 0.33782637 0.4080802  0.4431374  0.56727177 0.4189297  0.7617738
 0.8269152  0.9197642 ]",9.769963e-16,0.0,0.07251524925231934,9.793343019358653
NNgHMC,1.0,autograd,banana,SynchronousLeapfrog,0.1,"[0.2780731  0.5594078  0.8208371  0.15280594 0.8674278  0.87917376
 0.41134918 0.8181228  0.18190266 0.64823216 0.91564506 0.3821667
 0.8026243  0.11145612 0.99942493 0.72953004 2.2014024  0.5940417
 0.8673795  0.8405464 ]",1.9984014e-16,0.9255812530081774,0.07834410667419434,16.462492223492575
NNODEgHMC,1.0,autograd,banana,SynchronousLeapfrog,0.1,"[0.32784492 0.6210485  0.8421712  0.08529821 0.8566334  0.89608616
 0.3669761  0.8207559  0.11761967 0.64431614 0.9209327  0.34471655
 0.7279897  0.1294274  0.9066982  0.7079789  2.1800592  0.56241447
 0.83311194 0.8799704 ]",3.201901e-11,1.1932067043097097,0.14690518379211426,10.507275090893687
Explicit NNODEgHMC,1.0,autograd,banana,SynchronousLeapfrog,0.1,"[0.36026967 0.6501358  0.83891207 0.03645068 0.8533724  0.9091706
 0.3297671  0.8254814  0.06929433 0.6117852  0.9097168  0.321057
 0.6905641  0.07567529 0.8593771  0.6917388  2.2832742  0.5248709
 0.8242178  0.896805  ]",1.0332642e-10,1.9570944257009941,0.2053055763244629,3.295039384570009
SymplecticNNgHMC,1.0,autograd,banana,SynchronousLeapfrog,0.1,"[11.612758  11.703629  12.262272  11.692132  11.500058  12.113828
  8.17893   10.873695  12.469121  10.367217   9.906049  10.698621
 11.466069   7.6687303 12.709851   9.296763   6.6376204  9.055123
  9.627055  12.106027 ]",2.04141,1.710122905124217,0.7245981693267822,20.0
GSymplecticNNgHMC,1.0,autograd,banana,SynchronousLeapfrog,0.1,"[0.7107944  0.748929   0.7528717  0.59595007 0.76454186 0.8796386
 0.5892506  0.7164448  0.45252597 0.8969004  0.91095424 0.24177353
 0.03231597 0.785186   0.5827779  0.47083727 0.30004942 0.8595565
 0.8215695  0.89465666]",0.004546803,1.8948548531913578,0.14633822441101074,9.448657903610325
GradSymplecticNNgHMC,1.0,autograd,banana,SynchronousLeapfrog,0.1,"[11.649662  11.720311  12.269562  11.723308  11.524184  12.135457
  8.150641  10.88895   12.540966  10.383157   9.931239  10.74075
 11.574414   7.672993  12.929767   9.180521   6.6440377  9.0444355
  9.630959  12.12463  ]",2.0452263,1.710122905124217,1.3726093769073486,20.0
GradGSymplecticNNgHMC,1.0,autograd,banana,SynchronousLeapfrog,0.1,"[0.7167216  0.7457938  0.7375025  0.61230093 0.7504118  0.87231153
 0.55802625 0.7276599  0.47756985 0.8885582  0.9114236  0.21203882
 0.03386888 0.7847347  0.5662879  0.4970173  0.2805939  0.8463102
 0.8125792  0.898346  ]",0.00012799012,1.1888566628061552,0.44068241119384766,2.803290085942944
HMC,1.0,autograd,gaussian,SynchronousLeapfrog,0.3,"[0.59730864 0.68724746 0.68831533 0.7474873  0.52091897 0.6925876
 0.66719913 0.7472406  0.63493395 0.64382195 0.7173373  0.7550941
 0.7151931  0.757456   0.72119665 0.7130917  0.71941847 0.6532965
 0.58688575 0.6322331 ]",3.1983674e-15,0.0,0.20397329330444336,14.376657122831617
NNgHMC,1.0,autograd,gaussian,SynchronousLeapfrog,0.3,"[0.17549838 0.5238328  0.691452   0.73141485 0.40788218 0.64627427
 0.48053753 0.72203255 0.628817   0.5872013  0.6850693  0.7440588
 0.70679444 0.7336076  0.71777415 0.63131315 0.69888586 0.6461111
 0.5530694  0.5720838 ]",6.5188596e-15,0.08514832391111792,0.2008347511291504,23.402905611671788
NNODEgHMC,1.0,autograd,gaussian,SynchronousLeapfrog,0.3,"[0.48109064 0.66545534 0.66043717 0.7164491  0.4831197  0.591551
 0.6370143  0.7334626  0.62395644 0.47580585 0.7141289  0.74748087
 0.716244   0.75323206 0.7124689  0.6376988  0.71637464 0.6368813
 0.6093106  0.62986535]",2.6959048e-14,0.18254608006809134,0.2280435562133789,12.188382760526325
