model,training_size,sensitivity,distribution,solver,step_size,hamiltonian_error,reversibility_error,time,ess
HMC,0.1,autograd,banana,SynchronousLeapfrog,0.1,"[0.9315841  0.97505283 0.9895402  0.88189495 0.9145527  0.95317006
 0.88885784 0.9277111  0.93437946 0.8675902  0.922449   0.73181057
 0.94769394 0.7256314  0.94378424 0.942289   0.95050704 0.9175948
 0.90937585 0.95226574 0.9857851  0.96298444 0.90701187 0.9011582
 0.94877446 0.971753   0.9518914  0.86306703 0.9212159  0.9241593
 0.9693564  0.92591393 0.87739086 0.95191336 0.8977663  0.9352948
 0.9281346  0.925249   0.96053666 0.9676199  0.9721936  0.9700273
 0.9834647  0.85175145 0.8980441  0.8603572  0.8226694  0.9410335
 0.8845817  0.9604908  0.90224075 0.9031088  0.98338526 0.83377516
 0.9325588  0.9491247  0.9188387  0.8764872  0.93491477 0.9032328
 0.9192444  0.92650336 0.9121436  0.95884025 0.9479832  0.9451167
 0.97579545 0.9724616  0.9596882  0.8499643  0.8900142  0.9613123
 0.95666015 0.8656142  0.9090959  0.8990178  0.9454934  0.98877734
 0.89140546 0.86229897 0.9620111  0.9490273  0.91794765 0.9584629
 0.97280616 0.96417797 0.7731897  0.83827245 0.9985547  0.9474861
 0.92945164 0.93996966 0.9261141  0.84026307 0.8851347  0.9899394
 0.94073075 0.9476875  0.9355185  0.8314795 ]",3.783798e-13,20.58839225769043,1.4962419769826643
NNgHMC,0.1,autograd,banana,SynchronousLeapfrog,0.1,"[0.9378333  0.9159462  0.8892471  0.30792558 0.7153911  0.97152394
 0.26826268 0.79692096 0.9586532  0.1856724  0.91308796 0.38722953
 0.75800216 2.1906219  0.9296907  0.94931984 0.6756675  0.73239654
 0.6415446  0.86378646 0.9662273  0.75790423 0.8815848  0.9040588
 0.86674047 0.9663696  0.8568127  0.8313267  0.879189   0.69427454
 0.95393723 0.5544121  0.44367012 0.6107764  0.88801086 0.5328876
 0.7514894  0.49783656 0.8914224  0.9086081  0.95986795 0.9704156
 0.9840535  0.5669291  0.8880625  0.08586397 0.1665252  0.8329937
 0.9118292  0.5407755  0.5030205  0.28128627 0.98309076 0.5351761
 0.93644047 0.7813112  0.5068211  1.293756   0.47481775 0.7783747
 0.06292488 0.8599911  0.85224473 0.5914543  0.7931098  0.13973923
 0.9631009  0.91725445 0.86357856 0.9578473  0.8848672  0.91584605
 0.95113677 0.8491933  0.1635397  0.8817415  0.85719085 0.9919681
 0.88071966 0.27769077 0.975701   0.94717836 0.9101696  0.75881547
 0.97259486 0.9684064  0.75033396 0.87383497 0.9969041  0.92237484
 0.08185615 0.59097034 0.17615536 0.8458686  0.5530549  0.9963864
 0.9599911  0.37347627 0.9572587  0.0234958 ]",5.647149e-15,15.69718623161316,6.764561299551193
NNODEgHMC,0.1,autograd,banana,SynchronousLeapfrog,0.1,"[0.93707556 0.9551398  0.9368581  0.4675417  0.7994477  0.9584214
 0.03184184 0.70613927 0.9646107  0.31190616 0.91246337 0.3238631
 0.8671133  1.8580875  0.9583721  0.94898355 0.74824715 0.8502988
 0.70722795 0.9099083  0.9836949  0.86758965 0.88528574 0.93219376
 0.77895373 0.9677552  0.8058175  0.8295671  0.85358256 0.5939455
 0.95342416 0.65922004 0.19938819 0.7513591  0.88844955 0.66182965
 0.6383027  0.603668   0.904264   0.9547384  0.9712693  0.97032523
 0.9844467  0.32459915 0.889446   0.0668675  0.256351   0.74652004
 0.92904586 0.70711017 0.5833996  0.49477208 0.98318756 0.6289868
 0.9166064  0.82608485 0.59476644 0.9028408  0.6610666  0.6873943
 0.29427457 0.79953754 0.83414    0.6949536  0.64465344 0.38973945
 0.9645121  0.8589736  0.79002225 0.6861094  0.8853806  0.95268196
 0.9483534  0.8503232  0.3742342  0.9142002  0.7690071  0.99103916
 0.8818134  0.08806058 0.94341993 0.94665194 0.9108138  0.8665382
 0.9727601  0.96751297 0.8181542  0.89972305 0.99833363 0.87500685
 0.13360399 0.74765223 0.38369936 0.7877302  0.41340446 0.993266
 0.9282496  0.5522233  0.9158467  0.34105104]",2.7379219e-11,27.541273593902588,1.4009386937627035
Explicit NNODEgHMC,0.1,autograd,banana,SynchronousLeapfrog,0.1,"[0.93041253 0.9763345  0.97646856 0.6005966  0.8987767  0.95598555
 0.1170581  0.44792756 0.90251386 0.45330152 0.9141512  0.26375133
 0.8322791  1.4124477  0.9579505  0.9422908  0.81391877 0.91058916
 0.760945   0.95075    0.98059285 0.87430334 0.8932451  0.94635856
 0.53058076 0.96356666 0.7537458  0.8345968  0.82654655 0.43378696
 0.9631227  0.7966027  0.2544498  0.79610765 0.87882537 0.7763412
 0.36145782 0.7408206  0.9350985  0.9692048  0.97472686 0.96997166
 0.98149145 0.03166823 0.8851332  0.27249816 0.37897986 0.57863665
 0.9073877  0.6943034  0.6601152  0.45031732 0.9829302  0.73716545
 0.8542773  0.88583946 0.68361825 1.0531977  0.551191   0.41185957
 0.35418305 0.6609629  0.8130202  0.8317332  0.65446895 0.24625616
 0.9682921  0.71374595 0.6616496  0.24948439 0.8835901  0.9603919
 0.9433111  0.8475189  0.45000488 0.9208703  0.4892157  0.9808339
 0.8788451  0.24162887 0.79925144 0.9447907  0.9083244  0.91169655
 0.9718456  0.9638254  0.8504652  0.9050306  0.99828166 0.6849922
 0.4294146  0.6899573  0.4760178  0.8243579  0.06709141 0.9877615
 0.82222885 0.65741843 0.7353131  0.20631222]",7.566526e-11,47.53371620178223,1.5324654633263477
SymplecticNNgHMC,0.1,autograd,banana,SynchronousLeapfrog,0.1,"[0.9339244  0.8275937  0.8267925  0.46793365 0.5029423  0.7095279
 0.8790285  0.89599943 0.8048467  0.34128994 0.91335094 0.41668972
 0.11461212 2.623631   0.8412994  0.95268905 0.6320795  0.81841755
 0.617766   0.79337215 0.9205448  0.20020938 0.88462305 0.847881
 0.9610454  0.9684938  0.88630456 0.83104014 0.88141    0.7975296
 0.9545614  0.4120615  0.8942921  0.05043507 0.89474857 0.65961707
 0.9049686  0.4047764  0.9088912  0.94515467 0.9525372  0.9686195
 0.98513985 0.9659478  0.88999546 0.19855788 0.2926925  0.93144053
 0.8359207  0.17673624 0.48496458 0.570536   0.9827548  0.42749536
 0.91704035 0.8361789  0.4631841  2.526446   0.4532016  0.8593551
 0.6419176  0.90521526 0.8507411  0.4622675  0.9116675  0.9529035
 0.9639596  0.9562533  0.92979956 1.3953586  0.88170624 0.80528164
 0.9502899  0.849029   0.5240688  0.788376   0.93810666 0.9895281
 0.8805236  0.5049362  0.9628219  0.94520736 0.90952075 0.29590988
 0.9724498  0.9671258  0.42008433 0.81631535 0.9961325  0.90465546
 0.5198431  0.22624159 0.48846048 0.5652634  0.7429983  0.9966385
 0.96362007 0.2021687  0.9502605  0.65858006]",0.016116323,47.465900182724,1.3406480405594179
GSymplecticNNgHMC,0.1,autograd,banana,SynchronousLeapfrog,0.1,"[0.9353172  0.9774646  0.97471017 0.58910275 0.877608   0.8847015
 0.46231326 0.5575647  0.9306774  0.40945587 0.91163635 0.22583626
 0.9414136  1.4216967  0.96386456 0.93952936 0.82320994 0.8995926
 0.7772541  0.947282   0.9829297  0.94777954 0.895087   0.94396967
 0.63958603 0.96891373 0.7284287  0.82559144 0.8082954  0.44426054
 0.95526016 0.76920295 0.15690118 0.8746759  0.87370014 0.7409663
 0.47034073 0.7171792  0.9215099  0.97138774 0.9735843  0.9685974
 0.9802443  0.03258813 0.88313055 0.24457012 0.3369655  0.61524814
 0.918712   0.85826075 0.6793661  0.7092714  0.9838786  0.7256216
 0.8792984  0.87054175 0.69477534 0.44650504 0.82978094 0.53729403
 0.5308756  0.69358635 0.7982248  0.8020775  0.40179014 0.63311285
 0.97057104 0.7581188  0.675282   0.37353522 0.8874315  0.96636456
 0.93832797 0.8517534  0.5901586  0.92289037 0.618655   0.9870216
 0.8792194  0.149039   0.8717642  0.9425049  0.9084524  0.94788206
 0.9744009  0.96300936 0.8599455  0.91089475 0.99740905 0.7740552
 0.36487943 0.88512087 0.6071811  0.63775206 0.20553416 0.9838687
 0.86135054 0.72982156 0.8299757  0.80527794]",0.0041898806,12.784288883209229,11.906575018995118
GradSymplecticNNgHMC,0.1,autograd,banana,SynchronousLeapfrog,0.1,"[0.9355046  0.85086715 0.8393606  0.4698807  0.54876757 0.76778936
 0.82971835 0.8746923  0.8458459  0.34594536 0.91281354 0.39364713
 0.19471072 2.8176627  0.8513595  0.9530484  0.6396526  0.8231785
 0.627951   0.7967059  0.9293301  0.28138813 0.8817233  0.85008633
 0.94509387 0.97024345 0.870351   0.82868737 0.87391585 0.7654873
 0.95397925 0.43970823 0.860302   0.1246413  0.89669836 0.65985847
 0.87413406 0.38518915 0.90712833 0.94604635 0.95832366 0.96875066
 0.9853401  1.0413083  0.8926252  0.20587145 0.2945785  0.9088514
 0.8442657  0.103641   0.4584707  0.51556754 0.9833471  0.45371485
 0.91468716 0.83458036 0.45230603 2.52768    0.39329588 0.8408944
 0.6367587  0.8916229  0.8459088  0.47301587 0.9195305  0.8792383
 0.9637343  0.94681877 0.91214794 1.4282408  0.8851094  0.82590425
 0.94868773 0.8533634  0.44975823 0.8041061  0.9292261  0.9904303
 0.88258684 0.51106834 0.9718884  0.94508904 0.9106231  0.3461542
 0.97311294 0.96773076 0.48795518 0.8395088  0.9963848  0.9094461
 0.5275573  0.1293227  0.41928023 0.60674804 0.697307   0.99608934
 0.96877164 0.13826814 0.9619748  0.5798408 ]",0.020732211,61.45065188407898,1.3188743265274563
GradGSymplecticNNgHMC,0.1,autograd,banana,SynchronousLeapfrog,0.1,"[0.93576306 0.96370065 0.96197295 0.65263855 0.8191147  0.93741196
 0.11884032 0.743066   0.95858544 0.56432354 0.91197056 0.3640203
 0.93114376 0.97917145 0.96579665 0.9503212  0.80782366 0.9241668
 0.7525444  0.9471058  0.9858586  0.91652954 0.89703524 0.9423913
 0.8019514  0.9693231  0.8218354  0.8402872  0.84758776 0.61238146
 0.96128273 0.72049135 0.3852236  0.8321144  0.8984024  0.8185417
 0.71082133 0.752687   0.9350454  0.9703015  0.9711441  0.9697439
 0.98455393 0.15266661 0.8960599  0.2489489  0.47672123 0.7911147
 0.92797124 0.8132536  0.7211604  0.67176425 0.9832423  0.68591976
 0.89450264 0.90462303 0.7137209  0.38915896 0.8505192  0.6668829
 0.5827711  0.80901545 0.83032465 0.782607   0.6369324  0.643239
 0.96664417 0.85115325 0.79033077 0.29028532 0.8826679  0.9636413
 0.94710267 0.85486114 0.52631116 0.92466116 0.80324876 0.98454684
 0.8845749  0.13873167 0.9383499  0.94505376 0.9119191  0.9277465
 0.9700038  0.9660742  0.8404619  0.89577025 0.9985892  0.860062
 0.410009   0.8225988  0.52514    0.6944253  0.45731515 0.9919144
 0.93477005 0.6744466  0.92115974 0.14480326]",0.0015088245,14.18903398513794,28.719646059779
HMC,0.1,autograd,gaussian,SynchronousLeapfrog,0.3,"[0.9295777  0.9480586  0.90053487 0.93221253 0.9545288  0.94226754
 0.8826067  0.95544976 0.9377103  0.9430876  0.9418678  0.947579
 0.93138826 0.9405047  0.9514595  0.93400353 0.9454624  0.92316425
 0.95363176 0.940684   0.959943   0.8467283  0.949753   0.9248292
 0.9091935  0.95776147 0.91827    0.953067   0.94338584 0.93946093
 0.94311017 0.9546461  0.94478273 0.89734185 0.9426106  0.96149063
 0.91903365 0.93462294 0.90937823 0.94596577 0.94409007 0.9288943
 0.9398154  0.9121455  0.93738985 0.9468918  0.9271323  0.9583293
 0.9506954  0.94980997 0.9340304  0.9467532  0.9403877  0.9439618
 0.9565557  0.94238544 0.9306842  0.922086   0.9557309  0.9609653
 0.9504077  0.94316596 0.938924   0.961709   0.93522406 0.94644994
 0.92578    0.93640155 0.9462621  0.9336506  0.9294679  0.9579896
 0.93810767 0.93891066 0.9537193  0.9586641  0.94882905 0.9229078
 0.9026828  0.9450201  0.9350831  0.94388247 0.93987644 0.95585936
 0.9270012  0.9239828  0.9230856  0.9419149  0.95777607 0.91753507
 0.9380516  0.9463259  0.94406265 0.957963   0.9375652  0.958835
 0.9149911  0.9436691  0.93987364 0.96229213]",4.61529e-15,17.96895456314087,2722.399408710577
NNgHMC,0.1,autograd,gaussian,SynchronousLeapfrog,0.3,"[0.92829555 0.94862986 0.8967078  0.93310773 0.9552736  0.9420726
 0.87947226 0.9557743  0.93787116 0.9444601  0.9419946  0.94767565
 0.9311284  0.9412718  0.95149535 0.9342408  0.94517577 0.92362165
 0.954324   0.9409379  0.96036637 0.84084433 0.94970465 0.92453027
 0.9067025  0.9580411  0.9173886  0.95406437 0.9433912  0.94027466
 0.9427339  0.95479715 0.94461477 0.8966832  0.9426421  0.96162766
 0.91647995 0.93427575 0.9071924  0.9466723  0.9437791  0.92934453
 0.9397572  0.91234934 0.9382061  0.94700694 0.9257476  0.9587285
 0.9507375  0.9497446  0.9342269  0.94662565 0.9408385  0.9455284
 0.95660484 0.94240826 0.92949283 0.9208869  0.955557   0.9608365
 0.95087045 0.944368   0.93903625 0.96188563 0.93499005 0.9468233
 0.92544734 0.93638515 0.9461273  0.9332797  0.9296207  0.95792353
 0.9377068  0.9388249  0.95399666 0.9587407  0.948856   0.9231586
 0.9014524  0.94558764 0.9343369  0.94432753 0.9396714  0.95577955
 0.92734516 0.9223547  0.92353964 0.9423419  0.9581604  0.91684836
 0.9389786  0.94674444 0.9442756  0.95794713 0.9381126  0.959064
 0.9158219  0.9435622  0.9395127  0.9624278 ]",5.2696274e-15,16.21891188621521,2707.023161442358
