model,training_size,sensitivity,distribution,solver,step_size,hamiltonian_error,reversibility_error,time,ess
HMC,0.1,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.67269295 0.68209285 0.6710796  0.67263144 0.66404116 0.6725995
 0.66652435 0.67177695 0.67353296 0.66510165 0.6678535  0.6854905
 0.6691607  0.6786188  0.67960566 0.6641958  0.6792223  0.6679732
 0.67022675 0.6675825  0.67689824 0.6652372  0.67315435 0.67076826
 0.66683614 0.67084515 0.66991365 0.66364217 0.6781652  0.6766097
 0.66203785 0.6636731  0.66208076 0.676105   0.66712666 0.6715238
 0.67002076 0.66262305 0.6673019  0.67330635 0.6613476  0.67477244
 0.6703304  0.66488755 0.672493   0.6714872  0.67963123 0.6713152
 0.67477226 0.66407716 0.6744978  0.6821197  0.6800318  0.6694853
 0.6694759  0.66448003 0.67109334 0.6655539  0.669258   0.67014456
 0.6761715  0.6742136  0.6791549  0.66740954 0.6819331  0.67017925
 0.6724241  0.67198265 0.6719688  0.66397905 0.67142045 0.66112804
 0.67589444 0.67322654 0.6729283  0.6710315  0.6681988  0.67098427
 0.6629085  0.67585653 0.66785353 0.67064106 0.68136024 0.6783404
 0.6756716  0.6823768  0.66992784 0.66634154 0.6717064  0.666923
 0.6758652  0.6735131  0.6687403  0.6670815  0.6793382  0.67135227
 0.6685643  0.67829514 0.66911685 0.6672044 ]",1.2197535e+06,17.82147765159607,5879.743201140209
NNgHMC,0.1,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.67269295 0.68209285 0.6710796  0.67263144 0.66404116 0.6725995
 0.66652435 0.67177695 0.67353296 0.66510165 0.6678535  0.6854905
 0.6691607  0.6786188  0.67960566 0.6641958  0.6792223  0.6679732
 0.67022675 0.6675825  0.67689824 0.6652372  0.67315435 0.67076826
 0.66683614 0.67084515 0.66991365 0.66364217 0.6781652  0.6766097
 0.66203785 0.6636731  0.66208076 0.676105   0.66712666 0.6715238
 0.67002076 0.66262305 0.6673019  0.67330635 0.6613476  0.67477244
 0.6703304  0.66488755 0.672493   0.6714872  0.67963123 0.6713152
 0.67477226 0.66407716 0.6744978  0.6821197  0.6800318  0.6694853
 0.6694759  0.66448003 0.67109334 0.6655539  0.669258   0.67014456
 0.6761715  0.6742136  0.6791549  0.66740954 0.6819331  0.67017925
 0.6724241  0.67198265 0.6719688  0.66397905 0.67142045 0.66112804
 0.67589444 0.67322654 0.6729283  0.6710315  0.6681988  0.67098427
 0.6629085  0.67585653 0.66785353 0.67064106 0.68136024 0.6783404
 0.6756716  0.6823768  0.66992784 0.66634154 0.6717064  0.666923
 0.6758652  0.6735131  0.6687403  0.6670815  0.6793382  0.67135227
 0.6685643  0.67829514 0.66911685 0.6672044 ]",1.2197535e+06,44.8214750289917,5570.811189182129
NNODEgHMC,0.1,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.94116896 0.94072425 0.94123954 0.9409714  0.9413876  0.9411715
 0.94143677 0.9412322  0.9409842  0.9413346  0.9411535  0.94063425
 0.94114417 0.9407961  0.9411168  0.9413368  0.9409207  0.941295
 0.94129276 0.9409894  0.9408407  0.9413825  0.94100446 0.94113994
 0.9413543  0.94117    0.941189   0.9414047  0.940765   0.9411406
 0.94137573 0.9415064  0.9416828  0.9408095  0.9411955  0.9412284
 0.9411416  0.94122976 0.94110364 0.9411349  0.94157803 0.9407991
 0.94124734 0.94128627 0.9411801  0.9411988  0.9405253  0.9413137
 0.94114584 0.94138163 0.94108367 0.94057083 0.94070023 0.94121665
 0.9412477  0.94146955 0.9411904  0.9415018  0.94126666 0.94116545
 0.9406885  0.9409654  0.940979   0.9410136  0.9409144  0.94113004
 0.9410032  0.9409497  0.9412145  0.94147635 0.94110537 0.94149184
 0.94089067 0.94111127 0.9411231  0.9411869  0.9414119  0.94114494
 0.9413234  0.9410517  0.9412888  0.94103235 0.9406993  0.9408824
 0.94106805 0.9405834  0.9411532  0.9415082  0.9411305  0.94128263
 0.94111055 0.94101775 0.94132185 0.9413233  0.94094414 0.9410445
 0.9411387  0.9408328  0.9412445  0.94113827]",6.725895e-11,35.86335062980652,5700.0
Explicit NNODEgHMC,0.1,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.9400492  0.9395962  0.94012165 0.9398416  0.9402668  0.9400527
 0.9403228  0.94011545 0.9398563  0.9402129  0.9400253  0.93950653
 0.9400182  0.9396663  0.9400058  0.94021356 0.93979824 0.94017524
 0.94017637 0.93985194 0.9397108  0.94026375 0.9398774  0.94001645
 0.94023585 0.9400479  0.9400668  0.9402839  0.9396323  0.94002664
 0.94025105 0.940391   0.9405748  0.9396757  0.9400689  0.9401111
 0.9400169  0.9400985  0.93997306 0.9400152  0.94046354 0.93966293
 0.94012946 0.94016147 0.94006026 0.94008017 0.93938196 0.94020057
 0.94002914 0.9402606  0.9399632  0.9394344  0.9395678  0.94009554
 0.9401283  0.9403534  0.9400701  0.94038904 0.9401474  0.9400427
 0.93954915 0.93983793 0.9398601  0.93987775 0.93979645 0.9400052
 0.9398751  0.9398179  0.94009686 0.9403609  0.9399802  0.94037247
 0.93976104 0.93999016 0.9400021  0.94006604 0.94029856 0.94002223
 0.9401977  0.93993163 0.94016826 0.93990314 0.9395687  0.93975675
 0.9399482  0.9394481  0.94002956 0.94039714 0.9400079  0.94016075
 0.93999356 0.9398918  0.94020474 0.94020385 0.9398233  0.9399168
 0.94001114 0.9397046  0.9401238  0.940009  ]",2.6610603e-11,57.31063508987427,34.33446089628754
SymplecticNNgHMC,0.1,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.95003843 0.9496107  0.9497282  0.9501109  0.95025194 0.94994205
 0.9498489  0.9498922  0.9499561  0.95030564 0.9503269  0.94937325
 0.95018953 0.9498226  0.949331   0.9504134  0.94975126 0.94997454
 0.9497515  0.95042247 0.9501438  0.9501562  0.95011365 0.9500489
 0.95004576 0.9497621  0.9499671  0.9501759  0.95009583 0.94947976
 0.9504641  0.95018244 0.95012397 0.95011544 0.95010996 0.9500648
 0.94996464 0.95045733 0.9504608  0.9499239  0.9501858  0.9502601
 0.9499006  0.9502575  0.94984686 0.94984573 0.9503107  0.9498571
 0.94951046 0.9503636  0.94986045 0.9500079  0.9500482  0.9499647
 0.95007056 0.9501866  0.9499008  0.9499693  0.9498714  0.9500686
 0.9502677  0.9499604  0.94957584 0.9506175  0.9494533  0.9501578
 0.95003223 0.95017403 0.9498515  0.95009077 0.95009124 0.9501052
 0.94990396 0.9498575  0.9498784  0.949921   0.9499656  0.95013285
 0.950282   0.9497263  0.9500989  0.95018864 0.9497785  0.94996965
 0.94986796 0.9498541  0.9500469  0.9498822  0.94995785 0.9502484
 0.9497947  0.95005864 0.9498185  0.9501357  0.94954634 0.95010364
 0.9501986  0.9499597  0.9500539  0.95043224]",58.361584,68.2587103843689,3.282267128925205
GSymplecticNNgHMC,0.1,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.94410026 0.9438378  0.9441325  0.94421387 0.9444095  0.94406533
 0.94424796 0.94407547 0.9441556  0.9443836  0.94437426 0.9437129
 0.9442894  0.9439889  0.9437291  0.94443977 0.9438616  0.94426024
 0.9441452  0.94450235 0.9440522  0.9443475  0.94414586 0.94420564
 0.9442798  0.9441964  0.9442116  0.944435   0.9440355  0.94386446
 0.9445411  0.94436836 0.94434327 0.9441252  0.94439495 0.94409364
 0.9442502  0.9446025  0.9444088  0.9440564  0.9444494  0.9442155
 0.9441545  0.9444491  0.944105   0.94411194 0.9441306  0.9440651
 0.94397014 0.94440717 0.9440123  0.94393384 0.943956   0.94421065
 0.9441966  0.944359   0.94414866 0.94427526 0.9442096  0.9442069
 0.9441888  0.94411933 0.94383836 0.944482   0.9437067  0.94423413
 0.9441941  0.94426584 0.94408786 0.9443568  0.9442061  0.9445051
 0.944088   0.94408005 0.94410086 0.9441728  0.9441845  0.94418764
 0.9445152  0.9439682  0.9442687  0.9442729  0.9438777  0.9439417
 0.9439615  0.9439017  0.9442355  0.9442347  0.9441652  0.9443204
 0.94392836 0.9441263  0.944209   0.9442961  0.9438495  0.9442145
 0.94433534 0.94398725 0.9442269  0.94440526]",746.6845,24.667774200439453,27.936568889676316
HMC,0.1,autograd,high_dimensional_warped_gaussian,SynchronousLeapfrog,0.1,"[0.8918049  0.8932277  0.89365834 0.89452016 0.89875096 0.89662975
 0.8967866  0.89625466 0.8940692  0.89872545 0.8952265  0.89113283
 0.895818   0.8928771  0.8905364  0.89731836 0.89410585 0.8952508
 0.89422226 0.8954916  0.89438426 0.8977212  0.89677763 0.8955292
 0.896695   0.89372367 0.8961308  0.8970091  0.8937353  0.8951394
 0.89796203 0.895641   0.89596415 0.8938074  0.89328283 0.8969395
 0.8951651  0.8987895  0.89937514 0.8957099  0.89703774 0.8937901
 0.89657736 0.89629334 0.89236534 0.89653075 0.8927069  0.8953409
 0.89490193 0.8989212  0.8971776  0.8939563  0.8959093  0.8973806
 0.89672685 0.89391506 0.8947803  0.89528084 0.89475334 0.8973621
 0.89699924 0.8954797  0.89334714 0.89727914 0.89493436 0.89707494
 0.8961437  0.89507836 0.89532745 0.8975229  0.8935447  0.89889514
 0.8921978  0.8956374  0.89459    0.89402694 0.89394253 0.8956198
 0.8992542  0.8948877  0.89670813 0.89699477 0.89549655 0.8942854
 0.89593095 0.8952257  0.8970785  0.8936813  0.89450806 0.8972081
 0.895868   0.8952311  0.89501095 0.89561117 0.89322984 0.8979801
 0.8951664  0.8932807  0.89605546 0.8973187 ]",74.02333,17.604267120361328,5879.743829916331
NNgHMC,0.1,autograd,high_dimensional_warped_gaussian,SynchronousLeapfrog,0.1,"[0.8918049  0.8932277  0.89365834 0.89452016 0.89875096 0.89662975
 0.8967866  0.89625466 0.8940692  0.89872545 0.8952265  0.89113283
 0.895818   0.8928771  0.8905364  0.89731836 0.89410585 0.8952508
 0.89422226 0.8954916  0.89438426 0.8977212  0.89677763 0.8955292
 0.896695   0.89372367 0.8961308  0.8970091  0.8937353  0.8951394
 0.89796203 0.895641   0.89596415 0.8938074  0.89328283 0.8969395
 0.8951651  0.8987895  0.89937514 0.8957099  0.89703774 0.8937901
 0.89657736 0.89629334 0.89236534 0.89653075 0.8927069  0.8953409
 0.89490193 0.8989212  0.8971776  0.8939563  0.8959093  0.8973806
 0.89672685 0.89391506 0.8947803  0.89528084 0.89475334 0.8973621
 0.89699924 0.8954797  0.89334714 0.89727914 0.89493436 0.89707494
 0.8961437  0.89507836 0.89532745 0.8975229  0.8935447  0.89889514
 0.8921978  0.8956374  0.89459    0.89402694 0.89394253 0.8956198
 0.8992542  0.8948877  0.89670813 0.89699477 0.89549655 0.8942854
 0.89593095 0.8952257  0.8970785  0.8936813  0.89450806 0.8972081
 0.895868   0.8952311  0.89501095 0.89561117 0.89322984 0.8979801
 0.8951664  0.8932807  0.89605546 0.8973187 ]",74.02333,44.5067675113678,5572.549593515276
NNODEgHMC,0.1,autograd,high_dimensional_warped_gaussian,SynchronousLeapfrog,0.1,"[0.93685675 0.9377143  0.938076   0.93666255 0.9386724  0.93701196
 0.93732756 0.9394778  0.935759   0.94003475 0.9370777  0.9337308
 0.9377688  0.9342679  0.93587935 0.93926877 0.93331623 0.93794584
 0.93770313 0.9366833  0.93704814 0.9395149  0.938941   0.938017
 0.9344413  0.93733    0.93730897 0.9362538  0.9355997  0.9368434
 0.9405987  0.9376425  0.9370753  0.93538564 0.9374785  0.9368204
 0.93667984 0.9380708  0.93897355 0.9370133  0.9411721  0.9351575
 0.93467283 0.9390383  0.9381658  0.93752646 0.9367439  0.9391403
 0.9354811  0.93719363 0.93701524 0.9375371  0.9373953  0.9397764
 0.9374329  0.93598735 0.93618155 0.94012344 0.9391658  0.9389464
 0.9367396  0.9367372  0.9373829  0.9361361  0.9365987  0.9373819
 0.93533677 0.93893975 0.93882036 0.9391069  0.9397702  0.9402046
 0.93536043 0.93693346 0.9373441  0.9382224  0.9393031  0.9379897
 0.9373741  0.9386627  0.9380127  0.93795407 0.93516374 0.93415105
 0.9366335  0.93643    0.93831575 0.9394385  0.93948764 0.93588257
 0.9358449  0.93815184 0.93861336 0.9355198  0.935171   0.9374027
 0.9394328  0.9381305  0.93600273 0.9391858 ]",2.0801375e-13,35.49203324317932,12.551597482720977
Explicit NNODEgHMC,0.1,autograd,high_dimensional_warped_gaussian,SynchronousLeapfrog,0.1,"[0.93853873 0.93869615 0.9406707  0.9391818  0.940232   0.93959
 0.94021195 0.94102335 0.93848896 0.9409907  0.937621   0.93659556
 0.9393446  0.9368671  0.9396062  0.9407059  0.9355771  0.94064564
 0.939854   0.9374505  0.93852663 0.9411634  0.93992996 0.94020414
 0.9389138  0.939196   0.93938947 0.93926114 0.9374566  0.9393152
 0.9416084  0.94037104 0.94093335 0.93717086 0.93868893 0.9397788
 0.9394325  0.93990934 0.9397275  0.9395666  0.942809   0.93720603
 0.9389627  0.9409137  0.9392163  0.9400894  0.9371273  0.94026226
 0.9384941  0.9398553  0.9392247  0.9380125  0.93812865 0.9410669
 0.9392497  0.93937385 0.93972844 0.94162226 0.94106245 0.9399874
 0.9378799  0.93888116 0.93901366 0.93776196 0.938611   0.9389736
 0.93805933 0.9396574  0.94116783 0.9417155  0.9405081  0.9422344
 0.93698835 0.93840426 0.9383933  0.93947214 0.9403717  0.93938255
 0.9398459  0.94059813 0.939559   0.93935657 0.93726814 0.9363524
 0.938385   0.937737   0.93953085 0.9412734  0.94029635 0.93858385
 0.9390054  0.9394924  0.9404701  0.93909824 0.9386097  0.93893975
 0.9401533  0.9391057  0.93898857 0.94020146]",1.9273235e-13,58.66075897216797,18.502892228512533
