model,training_size,sensitivity,distribution,solver,step_size,hamiltonian_error,reversibility_error,time,ess
HMC,0.1,autograd,gp_regression,SynchronousLeapfrog,0.05,[-0.00012675 -0.00025275 -0.00056461 -0.00073632 -0.00123213 -0.000595  ],3.3891084e-11,52.88650178909302,3438.649562551623
NNgHMC,0.1,autograd,gp_regression,SynchronousLeapfrog,0.05,[-0.00012675 -0.00201003 -0.00441764 -0.00703957 -0.00902969 -0.01080085],1.7554853e-15,39.507277727127075,528.2392832930597
NNODEgHMC,0.1,autograd,gp_regression,SynchronousLeapfrog,0.05,[-0.00012675 -0.00196753 -0.00437613 -0.00710317 -0.00921905 -0.01118233],8.230755e-14,24.213430643081665,347.0521477318648
Explicit NNODEgHMC,0.1,autograd,gp_regression,SynchronousLeapfrog,0.05,"[-1.2675495e-04 -4.7997511e-03 -1.8600971e-02 -4.6022110e-02
 -9.0572678e-02 -1.5024959e-01]",1.5793339e-13,40.733036041259766,67.41368443902775
SymplecticNNgHMC,0.1,autograd,gp_regression,SynchronousLeapfrog,0.05,[-0.00012675 -0.03949245 -0.09579599 -0.06448454 -0.03995963 -0.03409154],0.025594458,41.942517042160034,49.89768449154988
GSymplecticNNgHMC,0.1,autograd,gp_regression,SynchronousLeapfrog,0.05,[-0.00012675 -0.01152824 -0.014007   -0.00931492 -0.01129297 -0.02009285],0.10715488,18.4522967338562,17.076669642663983
GradSymplecticNNgHMC,0.1,autograd,gp_regression,SynchronousLeapfrog,0.05,[-0.00012675 -0.0241872  -0.05460424 -0.05006777 -0.05279012 -0.06283015],0.016733088,68.10580253601074,7.5783683840868505
GradGSymplecticNNgHMC,0.1,autograd,gp_regression,SynchronousLeapfrog,0.05,[-0.00012675 -0.00130643 -0.00260691 -0.00410332 -0.00562984 -0.0062536 ],0.028034713,22.900226831436157,125.92246748036587
HMC,0.2,autograd,gp_regression,SynchronousLeapfrog,0.05,"[-1.2659765e-04 -7.1337388e-05 -1.1060940e-03 -4.8673528e-04
 -1.1351168e-03 -1.0500180e-03]",2.5535228e-11,57.61188340187073,3216.198567630832
NNgHMC,0.2,autograd,gp_regression,SynchronousLeapfrog,0.05,[-0.0001266  -0.00148545 -0.00386642 -0.00571969 -0.00647733 -0.00900296],3.3522606e-15,39.860299587249756,562.2121878736872
NNODEgHMC,0.2,autograd,gp_regression,SynchronousLeapfrog,0.05,[-0.0001266  -0.00145674 -0.00385455 -0.00580879 -0.00689578 -0.01011797],8.666867e-14,26.296331644058228,315.1021921337702
Explicit NNODEgHMC,0.2,autograd,gp_regression,SynchronousLeapfrog,0.05,"[-1.2659765e-04 -3.6840774e-03 -1.5779966e-02 -4.2608857e-02
 -9.5313102e-02 -1.8769333e-01]",1.3367362e-13,41.509042501449585,84.49902995163502
SymplecticNNgHMC,0.2,autograd,gp_regression,SynchronousLeapfrog,0.05,"[-1.2659765e-04 -8.9863380e-03 -4.9764108e-02 -1.7352989e-01
 -4.4791985e-01 -8.5928494e-01]",0.010437031,38.933244705200195,1.5230748010104882
GSymplecticNNgHMC,0.2,autograd,gp_regression,SynchronousLeapfrog,0.05,"[-1.2659765e-04 -1.7201668e-01 -3.0461398e-01 -3.9888438e-02
 -5.0483949e-02 -1.7545968e-01]",0.036613233,20.6978759765625,360.5002477179981
GradSymplecticNNgHMC,0.2,autograd,gp_regression,SynchronousLeapfrog,0.05,"[-1.2659765e-04 -2.6853392e-02 -2.1721180e-01 -7.3584807e-01
 -1.3227839e+00 -1.7102034e+00]",0.01517911,52.565927267074585,23.96375494948045
GradGSymplecticNNgHMC,0.2,autograd,gp_regression,SynchronousLeapfrog,0.05,"[-1.2659765e-04 -1.8523730e-01 -4.2824054e-01 -9.4691388e-02
 -2.1517821e-02 -7.6367781e-02]",0.016103644,24.007132291793823,62.67773622650497
HMC,0.30000000000000004,autograd,gp_regression,SynchronousLeapfrog,0.05,[-0.00012654 -0.00093279 -0.00147211 -0.00137487 -0.00098525 -0.00103509],4.2707257e-10,59.735130071640015,3024.964224812868
NNgHMC,0.30000000000000004,autograd,gp_regression,SynchronousLeapfrog,0.05,[-0.00012654 -0.00140853 -0.00556413 -0.00828122 -0.01015014 -0.01287528],3.446988e-15,41.530277252197266,487.43543020719875
NNODEgHMC,0.30000000000000004,autograd,gp_regression,SynchronousLeapfrog,0.05,[-0.00012654 -0.00135744 -0.00533486 -0.00767674 -0.00882482 -0.01029025],7.939943e-14,27.770850658416748,393.4360069173122
Explicit NNODEgHMC,0.30000000000000004,autograd,gp_regression,SynchronousLeapfrog,0.05,"[-1.2654012e-04 -2.5599569e-03 -1.4066679e-02 -4.1312225e-02
 -1.0249126e-01 -2.2254430e-01]",1.3911134e-13,39.61588525772095,54.59920574105814
SymplecticNNgHMC,0.30000000000000004,autograd,gp_regression,SynchronousLeapfrog,0.05,"[-1.2654012e-04 -9.4655818e-01 -1.8781664e+00 -1.1165965e+00
 -8.7462984e-02 -5.0498772e-01]",0.021400938,42.55053400993347,126.1229307405722
GSymplecticNNgHMC,0.30000000000000004,autograd,gp_regression,SynchronousLeapfrog,0.05,[-0.00012654 -0.00888733 -0.01928486 -0.01379183 -0.01248523 -0.01623569],0.019415354,21.003879070281982,9.13960465699465
GradSymplecticNNgHMC,0.30000000000000004,autograd,gp_regression,SynchronousLeapfrog,0.05,"[-1.2654012e-04 -9.1046467e-02 -9.3133205e-01 -1.8014235e+00
 -2.1631687e+00 -2.1311142e+00]",0.036284897,47.145768880844116,18.767745686182526
GradGSymplecticNNgHMC,0.30000000000000004,autograd,gp_regression,SynchronousLeapfrog,0.05,[-0.00012654 -0.00694929 -0.01274193 -0.01094184 -0.01191645 -0.01383223],0.0008810318,22.780656814575195,418.43381729638276
HMC,0.4,autograd,gp_regression,SynchronousLeapfrog,0.05,"[-1.2683355e-04 -3.6180316e-04 -4.9286231e-04 -6.9247122e-05
 -6.4145518e-04 -7.5880445e-05]",5.18118e-11,50.0927414894104,2828.6413965501665
NNgHMC,0.4,autograd,gp_regression,SynchronousLeapfrog,0.05,[-0.00012683 -0.00041977 -0.00204611 -0.00472775 -0.00853755 -0.01033799],2.1085911e-15,39.905781507492065,526.1461634318813
NNODEgHMC,0.4,autograd,gp_regression,SynchronousLeapfrog,0.05,[-0.00012683 -0.00044212 -0.00217281 -0.00509147 -0.0092885  -0.01195014],8.271109e-14,27.657633304595947,282.47539706560144
Explicit NNODEgHMC,0.4,autograd,gp_regression,SynchronousLeapfrog,0.05,"[-1.26833547e-04 -3.35987937e-03 -1.58453770e-02 -4.65501696e-02
 -1.19190566e-01 -2.66406089e-01]",1.5790667e-13,39.48752307891846,81.3964311340996
SymplecticNNgHMC,0.4,autograd,gp_regression,SynchronousLeapfrog,0.05,"[-1.2683355e-04 -4.1097122e-01 -1.2045782e+00 -6.7575890e-01
 -4.6769459e-02 -3.3657393e-01]",0.014359935,42.36450529098511,144.17291018924138
GSymplecticNNgHMC,0.4,autograd,gp_regression,SynchronousLeapfrog,0.05,[-0.00012683 -0.00854592 -0.01370481 -0.01445075 -0.020225   -0.02450864],0.034787953,23.97806406021118,362.1869456870663
