model,training_size,distribution,reversibility_error,hamiltonian_error,time,ess
HMC,0.1,banana,3.783798e-13,"[0.9315841  0.97505283 0.9895402  0.88189495 0.9145527  0.95317006
 0.88885784 0.9277111  0.93437946 0.8675902  0.922449   0.73181057
 0.94769394 0.7256314  0.94378424 0.942289   0.95050704 0.9175948
 0.90937585 0.95226574 0.9857851  0.96298444 0.90701187 0.9011582
 0.94877446 0.971753   0.9518914  0.86306703 0.9212159  0.9241593
 0.9693564  0.92591393 0.87739086 0.95191336 0.8977663  0.9352948
 0.9281346  0.925249   0.96053666 0.9676199  0.9721936  0.9700273
 0.9834647  0.85175145 0.8980441  0.8603572  0.8226694  0.9410335
 0.8845817  0.9604908  0.90224075 0.9031088  0.98338526 0.83377516
 0.9325588  0.9491247  0.9188387  0.8764872  0.93491477 0.9032328
 0.9192444  0.92650336 0.9121436  0.95884025 0.9479832  0.9451167
 0.97579545 0.9724616  0.9596882  0.8499643  0.8900142  0.9613123
 0.95666015 0.8656142  0.9090959  0.8990178  0.9454934  0.98877734
 0.89140546 0.86229897 0.9620111  0.9490273  0.91794765 0.9584629
 0.97280616 0.96417797 0.7731897  0.83827245 0.9985547  0.9474861
 0.92945164 0.93996966 0.9261141  0.84026307 0.8851347  0.9899394
 0.94073075 0.9476875  0.9355185  0.8314795 ]",20.62142038345337,1.4962419769826643
SymplecticNNgHMC,0.1,banana,0.016116323,"[0.9339244  0.8275937  0.8267925  0.46793365 0.5029423  0.7095279
 0.8790285  0.89599943 0.8048467  0.34128994 0.91335094 0.41668972
 0.11461212 2.623631   0.8412994  0.95268905 0.6320795  0.81841755
 0.617766   0.79337215 0.9205448  0.20020938 0.88462305 0.847881
 0.9610454  0.9684938  0.88630456 0.83104014 0.88141    0.7975296
 0.9545614  0.4120615  0.8942921  0.05043507 0.89474857 0.65961707
 0.9049686  0.4047764  0.9088912  0.94515467 0.9525372  0.9686195
 0.98513985 0.9659478  0.88999546 0.19855788 0.2926925  0.93144053
 0.8359207  0.17673624 0.48496458 0.570536   0.9827548  0.42749536
 0.91704035 0.8361789  0.4631841  2.526446   0.4532016  0.8593551
 0.6419176  0.90521526 0.8507411  0.4622675  0.9116675  0.9529035
 0.9639596  0.9562533  0.92979956 1.3953586  0.88170624 0.80528164
 0.9502899  0.849029   0.5240688  0.788376   0.93810666 0.9895281
 0.8805236  0.5049362  0.9628219  0.94520736 0.90952075 0.29590988
 0.9724498  0.9671258  0.42008433 0.81631535 0.9961325  0.90465546
 0.5198431  0.22624159 0.48846048 0.5652634  0.7429983  0.9966385
 0.96362007 0.2021687  0.9502605  0.65858006]",48.53739547729492,1.3406480405594179
GSymplecticNNgHMC,0.1,banana,0.0041898806,"[0.9353172  0.9774646  0.97471017 0.58910275 0.877608   0.8847015
 0.46231326 0.5575647  0.9306774  0.40945587 0.91163635 0.22583626
 0.9414136  1.4216967  0.96386456 0.93952936 0.82320994 0.8995926
 0.7772541  0.947282   0.9829297  0.94777954 0.895087   0.94396967
 0.63958603 0.96891373 0.7284287  0.82559144 0.8082954  0.44426054
 0.95526016 0.76920295 0.15690118 0.8746759  0.87370014 0.7409663
 0.47034073 0.7171792  0.9215099  0.97138774 0.9735843  0.9685974
 0.9802443  0.03258813 0.88313055 0.24457012 0.3369655  0.61524814
 0.918712   0.85826075 0.6793661  0.7092714  0.9838786  0.7256216
 0.8792984  0.87054175 0.69477534 0.44650504 0.82978094 0.53729403
 0.5308756  0.69358635 0.7982248  0.8020775  0.40179014 0.63311285
 0.97057104 0.7581188  0.675282   0.37353522 0.8874315  0.96636456
 0.93832797 0.8517534  0.5901586  0.92289037 0.618655   0.9870216
 0.8792194  0.149039   0.8717642  0.9425049  0.9084524  0.94788206
 0.9744009  0.96300936 0.8599455  0.91089475 0.99740905 0.7740552
 0.36487943 0.88512087 0.6071811  0.63775206 0.20553416 0.9838687
 0.86135054 0.72982156 0.8299757  0.80527794]",12.981600999832153,11.906575018995118
GradSymplecticNNgHMC,0.1,banana,0.020732211,"[0.9355046  0.85086715 0.8393606  0.4698807  0.54876757 0.76778936
 0.82971835 0.8746923  0.8458459  0.34594536 0.91281354 0.39364713
 0.19471072 2.8176627  0.8513595  0.9530484  0.6396526  0.8231785
 0.627951   0.7967059  0.9293301  0.28138813 0.8817233  0.85008633
 0.94509387 0.97024345 0.870351   0.82868737 0.87391585 0.7654873
 0.95397925 0.43970823 0.860302   0.1246413  0.89669836 0.65985847
 0.87413406 0.38518915 0.90712833 0.94604635 0.95832366 0.96875066
 0.9853401  1.0413083  0.8926252  0.20587145 0.2945785  0.9088514
 0.8442657  0.103641   0.4584707  0.51556754 0.9833471  0.45371485
 0.91468716 0.83458036 0.45230603 2.52768    0.39329588 0.8408944
 0.6367587  0.8916229  0.8459088  0.47301587 0.9195305  0.8792383
 0.9637343  0.94681877 0.91214794 1.4282408  0.8851094  0.82590425
 0.94868773 0.8533634  0.44975823 0.8041061  0.9292261  0.9904303
 0.88258684 0.51106834 0.9718884  0.94508904 0.9106231  0.3461542
 0.97311294 0.96773076 0.48795518 0.8395088  0.9963848  0.9094461
 0.5275573  0.1293227  0.41928023 0.60674804 0.697307   0.99608934
 0.96877164 0.13826814 0.9619748  0.5798408 ]",60.77169632911682,1.3188743265274563
GradGSymplecticNNgHMC,0.1,banana,0.0015088245,"[0.93576306 0.96370065 0.96197295 0.65263855 0.8191147  0.93741196
 0.11884032 0.743066   0.95858544 0.56432354 0.91197056 0.3640203
 0.93114376 0.97917145 0.96579665 0.9503212  0.80782366 0.9241668
 0.7525444  0.9471058  0.9858586  0.91652954 0.89703524 0.9423913
 0.8019514  0.9693231  0.8218354  0.8402872  0.84758776 0.61238146
 0.96128273 0.72049135 0.3852236  0.8321144  0.8984024  0.8185417
 0.71082133 0.752687   0.9350454  0.9703015  0.9711441  0.9697439
 0.98455393 0.15266661 0.8960599  0.2489489  0.47672123 0.7911147
 0.92797124 0.8132536  0.7211604  0.67176425 0.9832423  0.68591976
 0.89450264 0.90462303 0.7137209  0.38915896 0.8505192  0.6668829
 0.5827711  0.80901545 0.83032465 0.782607   0.6369324  0.643239
 0.96664417 0.85115325 0.79033077 0.29028532 0.8826679  0.9636413
 0.94710267 0.85486114 0.52631116 0.92466116 0.80324876 0.98454684
 0.8845749  0.13873167 0.9383499  0.94505376 0.9119191  0.9277465
 0.9700038  0.9660742  0.8404619  0.89577025 0.9985892  0.860062
 0.410009   0.8225988  0.52514    0.6944253  0.45731515 0.9919144
 0.93477005 0.6744466  0.92115974 0.14480326]",13.838269233703613,28.719646059779
RevGSymplecticNNgHMC,0.1,banana,2.9533708e-13,"[0.93435526 0.9662399  0.96068734 0.617942   0.8022356  0.9179959
 0.1421946  0.69892645 0.9524085  0.51107085 0.913731   0.30232084
 0.93425506 1.2964706  0.9660704  0.94361895 0.7990469  0.92426074
 0.7481286  0.94576216 0.9851281  0.9192761  0.8918833  0.9428868
 0.7356347  0.96638525 0.7833586  0.83818436 0.83969086 0.5415164
 0.96287984 0.7008454  0.21237276 0.8290979  0.8813491  0.80657995
 0.6263839  0.7136072  0.93591    0.9706666  0.97249573 0.97021246
 0.9820808  0.01741437 0.8860159  0.16947585 0.425749   0.72605574
 0.9299941  0.78637284 0.6876168  0.6027663  0.98285574 0.69104373
 0.87456644 0.89225245 0.6932504  0.6257688  0.8337542  0.6204292
 0.5089396  0.78461236 0.815355   0.75159097 0.531379   0.60423744
 0.9682261  0.8149333  0.7322067  0.44982585 0.8824959  0.9626726
 0.9459366  0.84933126 0.49129075 0.9229144  0.75811875 0.9830343
 0.87914515 0.012775   0.91519165 0.94557637 0.90894353 0.9189293
 0.97063303 0.9635154  0.8529336  0.9052245  0.99837685 0.84121406
 0.3245545  0.79417825 0.46465898 0.6743307  0.3647014  0.98921704
 0.9158303  0.6457111  0.89457893 0.34184283]",20.91719698905945,1.322624653871376
RevGradGSymplecticNNgHMC,0.1,banana,8.799117e-13,"[0.93410033 0.96707094 0.9608134  0.6199683  0.8103508  0.9192109
 0.15733634 0.6892953  0.95213413 0.505185   0.91371125 0.29859522
 0.93157786 1.3361156  0.9661347  0.9439306  0.79812133 0.92372453
 0.74820065 0.94397116 0.9853543  0.91945636 0.89213103 0.9430264
 0.73214185 0.9661662  0.7811769  0.8376242  0.8383314  0.5386826
 0.96284    0.70518726 0.18508884 0.82907933 0.88214636 0.8037127
 0.6162286  0.70768327 0.93582225 0.9705471  0.97287166 0.9701165
 0.98216105 0.0065321  0.8865969  0.17162097 0.4207116  0.7197115
 0.92978716 0.7897813  0.68030924 0.6086704  0.98287475 0.6898562
 0.8719715  0.8918497  0.686769   0.6204832  0.82413995 0.6195655
 0.49961966 0.7790612  0.8157774  0.75366783 0.5307095  0.59504235
 0.9681349  0.8143679  0.73326826 0.45438847 0.88294804 0.96335053
 0.94550484 0.84953725 0.49421525 0.9236328  0.7490028  0.9827868
 0.879457   0.02184963 0.9143564  0.9453876  0.9090191  0.9195673
 0.97074115 0.9639034  0.85128826 0.9053804  0.99838185 0.83893156
 0.31810087 0.8020241  0.47461396 0.6814891  0.35674894 0.98916376
 0.9130001  0.6487447  0.8916299  0.3759992 ]",22.808194160461426,26.439122075475026
HMC,0.1,gaussian,4.61529e-15,"[0.9295777  0.9480586  0.90053487 0.93221253 0.9545288  0.94226754
 0.8826067  0.95544976 0.9377103  0.9430876  0.9418678  0.947579
 0.93138826 0.9405047  0.9514595  0.93400353 0.9454624  0.92316425
 0.95363176 0.940684   0.959943   0.8467283  0.949753   0.9248292
 0.9091935  0.95776147 0.91827    0.953067   0.94338584 0.93946093
 0.94311017 0.9546461  0.94478273 0.89734185 0.9426106  0.96149063
 0.91903365 0.93462294 0.90937823 0.94596577 0.94409007 0.9288943
 0.9398154  0.9121455  0.93738985 0.9468918  0.9271323  0.9583293
 0.9506954  0.94980997 0.9340304  0.9467532  0.9403877  0.9439618
 0.9565557  0.94238544 0.9306842  0.922086   0.9557309  0.9609653
 0.9504077  0.94316596 0.938924   0.961709   0.93522406 0.94644994
 0.92578    0.93640155 0.9462621  0.9336506  0.9294679  0.9579896
 0.93810767 0.93891066 0.9537193  0.9586641  0.94882905 0.9229078
 0.9026828  0.9450201  0.9350831  0.94388247 0.93987644 0.95585936
 0.9270012  0.9239828  0.9230856  0.9419149  0.95777607 0.91753507
 0.9380516  0.9463259  0.94406265 0.957963   0.9375652  0.958835
 0.9149911  0.9436691  0.93987364 0.96229213]",17.179279565811157,2722.399408710577
SymplecticNNgHMC,0.1,gaussian,7.724161e-05,"[0.92961204 0.9481114  0.9003644  0.9315993  0.95448554 0.94197226
 0.8820723  0.9554689  0.9378543  0.942784   0.94192743 0.94745916
 0.9318837  0.94079036 0.9515395  0.93418616 0.94529676 0.92288506
 0.95374507 0.94080245 0.95986176 0.84615874 0.94953936 0.92507446
 0.9092533  0.9576622  0.91861457 0.9532608  0.94343936 0.939583
 0.9432063  0.95485353 0.94468296 0.8972521  0.9425844  0.96157163
 0.9191371  0.93477744 0.9101559  0.94606054 0.9439506  0.9289428
 0.93977493 0.9120687  0.9373581  0.94699115 0.9273995  0.95815027
 0.9505969  0.9499191  0.93394536 0.9465933  0.94038033 0.9439975
 0.9566349  0.9425099  0.93112653 0.9222864  0.95563406 0.96088266
 0.9503176  0.94298047 0.93902385 0.9617745  0.9352627  0.9466118
 0.92574537 0.9361881  0.9463441  0.9338846  0.9295714  0.9579851
 0.93802613 0.9390503  0.953685   0.9587201  0.9487208  0.9225607
 0.90281343 0.9450461  0.93524575 0.9440004  0.93984    0.9559232
 0.9269063  0.9243262  0.92292756 0.9419322  0.9579371  0.9177201
 0.9379673  0.94630706 0.94409245 0.9580163  0.93757856 0.95869446
 0.91454935 0.94360495 0.93972296 0.96235055]",25.257848024368286,2694.527530677258
GSymplecticNNgHMC,0.1,gaussian,5.6603596e-05,"[0.9298207  0.948032   0.9007219  0.93191755 0.95445937 0.94240415
 0.88279766 0.95540065 0.93772215 0.9430909  0.94159544 0.9475488
 0.93165874 0.94037473 0.95137537 0.9340658  0.94560546 0.9231695
 0.95349884 0.9405718  0.95997953 0.8467342  0.94979334 0.92476535
 0.90891635 0.9577875  0.9185058  0.95281976 0.9432254  0.9394126
 0.94307816 0.9545125  0.94473946 0.897624   0.9425386  0.9614598
 0.9188293  0.9347035  0.9092724  0.9457989  0.94403684 0.92887324
 0.93992376 0.9121938  0.9377011  0.9469554  0.92702764 0.9583246
 0.9508245  0.94984674 0.9341451  0.9467265  0.9402537  0.943686
 0.9565232  0.94241834 0.93098134 0.92197484 0.9558033  0.96101284
 0.9503977  0.94316125 0.938885   0.961637   0.93517256 0.9462771
 0.9260535  0.93676245 0.94626844 0.93343484 0.9293803  0.95795286
 0.9380555  0.93876046 0.9538007  0.95866174 0.94896644 0.9227613
 0.9026202  0.94491976 0.93530387 0.9436976  0.9401158  0.9558171
 0.92692435 0.92394006 0.9231491  0.94179916 0.95765543 0.9172251
 0.93780965 0.9463066  0.94411314 0.95791805 0.9375987  0.9589515
 0.91548675 0.94375753 0.9399471  0.9622201 ]",8.779786586761475,42.377533068573136
