model,training_size,distribution,step_size,reversibility_error,rm_hamiltonian_error,distribution_error,time,ess
RMHMC,0.25,banana,0.05,0.014654097,0.0032407776452600956,0.0,72.9132080078125,9.981748157083935
NNODEgRMHMC,0.25,banana,0.05,0.06338926,0.5696821212768555,3.7370884857567903,25.97599697113037,7.730030006113616
Explicit NNODEgRMHMC,0.25,banana,0.05,2.7813708e-11,0.09999208897352219,0.4470902170677072,35.34894108772278,36.09578924117422
GSymplecticNNgRMHMC,0.25,banana,0.05,0.44914094,0.17883996665477753,0.8470563384024973,23.103805780410767,5.9057242245982975
GradGSymplecticNNgRMHMC,0.25,banana,0.05,0.20986076,0.15675361454486847,0.6231858692881325,27.142147541046143,12.428450147842552
RMHMC,0.25,normal_normal,0.1,0.08076669,0.023694060742855072,0.0,232.9004499912262,20.987119293942165
NNODEgRMHMC,0.25,normal_normal,0.1,0.15220615,0.041918858885765076,4.121702055845966,69.90614581108093,5.465215615935154
Explicit NNODEgRMHMC,0.25,normal_normal,0.1,1.7403434e-07,0.042312007397413254,0.10723413395116428,79.23198699951172,21.19300127507945
GSymplecticNNgRMHMC,0.25,normal_normal,0.1,0.5296311,0.061349280178546906,3.7430772756712525,67.03966116905212,1.2961154909770993
GradGSymplecticNNgRMHMC,0.25,normal_normal,0.1,1.1809915,0.23550958931446075,2.302078598932519,70.9207854270935,4.886411754729415
RMHMC,0.25,funnel,0.05,2.185224,1.017573595046997,0.0,75.77455234527588,7.616375926942412
NNODEgRMHMC,0.25,funnel,0.05,42.632263,207.4538116455078,1.9946498606262635,28.029377460479736,4.9080804818046735
Explicit NNODEgRMHMC,0.25,funnel,0.05,0.79034054,3.5614514350891113,0.118612895288432,41.263530254364014,12.164698607273412
GSymplecticNNgRMHMC,0.25,funnel,0.05,2.0333142e+07,265655689412608.0,0.286779995208541,24.787348747253418,4.388701557843701
GradGSymplecticNNgRMHMC,0.25,funnel,0.05,59938.996,6.727028070478721e+34,0.46097934672706486,25.661210775375366,24.242648833770875
RMHMC,0.5,banana,0.05,0.0037584507,0.005105987656861544,0.0,73.36981749534607,23.986013632321765
NNODEgRMHMC,0.5,banana,0.05,0.1098032,0.25838157534599304,4.29563169478915,42.18216919898987,1.3609378304312616
Explicit NNODEgRMHMC,0.5,banana,0.05,2.9110353e-12,0.029396934434771538,1.1095978179721773,54.04136633872986,6.135082826501801
GSymplecticNNgRMHMC,0.5,banana,0.05,0.0327107,0.23531584441661835,1.0345230155910197,39.60601615905762,2.277369695325315
GradGSymplecticNNgRMHMC,0.5,banana,0.05,0.014254448,0.21409855782985687,0.3180302793901304,41.7907612323761,1.3838770337966637
RMHMC,0.5,normal_normal,0.1,0.0053337626,0.002546951174736023,0.0,228.06629824638367,25.36180780694378
NNODEgRMHMC,0.5,normal_normal,0.1,0.040265333,0.3074389100074768,7.903726949239689,122.11517095565796,3.076309760621189
Explicit NNODEgRMHMC,0.5,normal_normal,0.1,2800.7698,0.024153975769877434,3.4468057217009385,133.98951530456543,8.396722080356952
GSymplecticNNgRMHMC,0.5,normal_normal,0.1,7.8474336,0.053839314728975296,7.603674553406675,119.88550162315369,5.622926320774869
GradGSymplecticNNgRMHMC,0.5,normal_normal,0.1,19.425087,8.762348175048828,0.568712377316724,123.90211510658264,13.60706633601966
RMHMC,0.5,funnel,0.05,1.8406557,1.4563528299331665,0.0,72.88592314720154,41.11472362328915
NNODEgRMHMC,0.5,funnel,0.05,7.1788254,267.7644958496094,6.587052072739821,44.89947056770325,1.311404283131882
Explicit NNODEgRMHMC,0.5,funnel,0.05,7.49176e+06,406.1042175292969,0.19098787782374324,53.63089847564697,22.109962605803165
GSymplecticNNgRMHMC,0.5,funnel,0.05,47331.81,58686.80078125,0.5077395703391153,42.31395173072815,450.0
GradGSymplecticNNgRMHMC,0.5,funnel,0.05,742487.06,110925.8125,0.5077395703391153,43.683600664138794,450.0
RMHMC,0.75,banana,0.05,0.0011570776,0.003584808437153697,0.0,73.45143270492554,8.45481561747511
NNODEgRMHMC,0.75,banana,0.05,0.019485278,0.09080308675765991,1.885307876283092,58.99276041984558,1.380435754666376
Explicit NNODEgRMHMC,0.75,banana,0.05,5.824788e-12,0.00937903393059969,1.9673886276547434,66.1302969455719,7.03519840101019
GSymplecticNNgRMHMC,0.75,banana,0.05,0.08834848,0.09108255058526993,7.108577176324078,57.35499930381775,1.321803241646382
GradGSymplecticNNgRMHMC,0.75,banana,0.05,0.010360847,0.14012567698955536,1.0960712149045049,60.87617874145508,2.2025898456472826
RMHMC,0.75,normal_normal,0.1,2.2957282e-05,0.0007907755789346993,0.0,229.0666069984436,26.7116583782895
NNODEgRMHMC,0.75,normal_normal,0.1,0.28896323,0.05601820349693298,2.563675037582968,173.75362420082092,1.7424307660655622
Explicit NNODEgRMHMC,0.75,normal_normal,0.1,2.3582234e-07,0.08760040998458862,0.18995612105936263,180.66365385055542,1.9116861652737933
GSymplecticNNgRMHMC,0.75,normal_normal,0.1,0.36570054,0.04336155578494072,0.883512882222539,172.0113663673401,2.3757266762806126
GradGSymplecticNNgRMHMC,0.75,normal_normal,0.1,6.3532166,0.06645037233829498,1.109063604870012,172.38221192359924,5.9145726367969855
RMHMC,0.75,funnel,0.05,19.349224,9.399243354797363,0.0,78.32785630226135,11.329348639272574
NNODEgRMHMC,0.75,funnel,0.05,11.396364,150.8768310546875,0.3075964984130069,62.521509408950806,7.384100596358424
Explicit NNODEgRMHMC,0.75,funnel,0.05,9.908447e-10,0.05934920534491539,1.7218801698500328,69.190664768219,1.9159090549554998
GSymplecticNNgRMHMC,0.75,funnel,0.05,7729.9307,6361.7119140625,1.5483147549794085,64.55531024932861,374.0
GradGSymplecticNNgRMHMC,0.75,funnel,0.05,49662.832,262691248.0,1.5483147549794085,64.83801460266113,374.0
RMHMC,1.0,banana,0.05,0.0014770142,0.0112895667552948,0.0,77.16996908187866,2.002503241563002
