model,training_size,distribution,step_size,reversibility_error,rm_hamiltonian_error,time,ess
RMHMC,1.0,banana,0.05,0.13489555,0.03697032853960991,1.6339335441589355,8.932279533931649
NNODEgRMHMC,1.0,banana,0.05,0.068053074,0.09313740581274033,1.0283682346343994,3.3286025822106104
Explicit NNODEgRMHMC,1.0,banana,0.05,2.7546158e-11,0.13417209684848785,1.3469078540802002,9.747599604412512
GSymplecticNNgRMHMC,1.0,banana,0.05,0.040057622,0.35167744755744934,0.9466383457183838,3.6001642497455073
GradGSymplecticNNgRMHMC,1.0,banana,0.05,0.04218975,0.3488931357860565,1.3369858264923096,3.6001642497455073
RMHMC,1.0,normal_normal,0.1,1.8319101,0.39269065856933594,5.34091591835022,11.910877167661564
NNODEgRMHMC,1.0,normal_normal,0.1,0.04406518,0.17638224363327026,2.939951181411743,6.037839564154657
Explicit NNODEgRMHMC,1.0,normal_normal,0.1,0.0012830414,0.6647020578384399,3.2246510982513428,12.9501749525715
GSymplecticNNgRMHMC,1.0,normal_normal,0.1,0.14159243,0.2602444589138031,2.5035667419433594,3.2960212879967976
GradGSymplecticNNgRMHMC,1.0,normal_normal,0.1,0.030068437,0.18611787259578705,2.9012393951416016,3.393353816170852
RMHMC,1.0,funnel,0.05,4.612824,0.17964892089366913,1.6977152824401855,4.034757690841813
NNODEgRMHMC,1.0,funnel,0.05,0.0749416,0.6548609137535095,1.0597145557403564,3.5332934599398507
Explicit NNODEgRMHMC,1.0,funnel,0.05,55.89349,20574.642578125,1.3733129501342773,12.0
GSymplecticNNgRMHMC,1.0,funnel,0.05,0.07569564,0.33848169445991516,0.98482346534729,5.869565217391305
GradGSymplecticNNgRMHMC,1.0,funnel,0.05,0.22558503,0.6893133521080017,1.2476451396942139,5.869565217391305
