model,training_size,distribution,step_size,reversibility_error,rm_hamiltonian_error,time,ess
RMHMC,0.25,banana,0.05,8.021412e-05,0.001568826730363071,68.02814221382141,4.851040976343266
NNODEgRMHMC,0.25,banana,0.05,0.01309063,0.046849191188812256,17.270566701889038,1.3942302238868547
Explicit NNODEgRMHMC,0.25,banana,0.05,1.4562308e-11,0.04619040712714195,30.23046326637268,11.35583572291295
GSymplecticNNgRMHMC,0.25,banana,0.05,0.5902087,0.18981046974658966,14.429120540618896,17.560639566053148
GradGSymplecticNNgRMHMC,0.25,banana,0.05,0.69578284,0.26081177592277527,18.554868936538696,15.743246592832898
RMHMC,0.25,normal_normal,0.1,0.0027303481,0.0027314075268805027,217.36465978622437,71.82340260000603
NNODEgRMHMC,0.25,normal_normal,0.1,0.075642556,0.0885990783572197,43.49206757545471,1.336806491207387
Explicit NNODEgRMHMC,0.25,normal_normal,0.1,0.00017006804,0.12239670008420944,56.4960081577301,31.878434905012433
GSymplecticNNgRMHMC,0.25,normal_normal,0.1,3.5209215,0.07099293172359467,40.52437162399292,19.881060105695425
GradGSymplecticNNgRMHMC,0.25,normal_normal,0.1,0.9608551,0.038260266184806824,44.36042928695679,15.232140190676393
RMHMC,0.25,funnel,0.05,1.3498201,266.1282043457031,69.72088527679443,16.132771668194014
NNODEgRMHMC,0.25,funnel,0.05,0.013537857,0.9077163934707642,18.415761947631836,1.3324109258010566
Explicit NNODEgRMHMC,0.25,funnel,0.05,1.8630301e+09,73987.34375,28.586543560028076,7.145170682349874
GSymplecticNNgRMHMC,0.25,funnel,0.05,272633.1,1.4096550941467285,14.638861179351807,2.7763639151075656
GradGSymplecticNNgRMHMC,0.25,funnel,0.05,3.4356558e+06,0.6052868962287903,14.614334344863892,1.2555926123249408
RMHMC,0.5,banana,0.05,0.043704774,0.026868585497140884,68.1354489326477,6.61866797515983
NNODEgRMHMC,0.5,banana,0.05,0.0048896046,0.053573645651340485,24.878244638442993,5.156003215852012
Explicit NNODEgRMHMC,0.5,banana,0.05,1.0922048e-10,0.45252346992492676,32.74937629699707,35.64365631854677
GSymplecticNNgRMHMC,0.5,banana,0.05,0.0055369227,0.06524191796779633,22.484797954559326,17.67016648360425
GradGSymplecticNNgRMHMC,0.5,banana,0.05,0.014632324,0.10716252774000168,26.598188161849976,1.8229804441815256
RMHMC,0.5,normal_normal,0.1,0.06433314,0.02289067767560482,217.0506865978241,63.186723989267826
NNODEgRMHMC,0.5,normal_normal,0.1,0.009862377,0.025254642590880394,68.334632396698,21.75255358775856
Explicit NNODEgRMHMC,0.5,normal_normal,0.1,3.3997517e-06,0.03687277063727379,80.20381450653076,12.767382265689948
GSymplecticNNgRMHMC,0.5,normal_normal,0.1,0.054227214,0.02873319387435913,65.93153047561646,6.785325230384712
GradGSymplecticNNgRMHMC,0.5,normal_normal,0.1,0.04205152,0.022816089913249016,69.91149067878723,17.25312822109555
RMHMC,0.5,funnel,0.05,9.634279,20062.458984375,69.93412446975708,11.891056502415358
NNODEgRMHMC,0.5,funnel,0.05,7.398642,271.561279296875,25.907103776931763,6.719692683717763
Explicit NNODEgRMHMC,0.5,funnel,0.05,0.8580872,479.9467468261719,37.887598276138306,7.96474001641621
GSymplecticNNgRMHMC,0.5,funnel,0.05,0.03892609,0.377243310213089,22.183011770248413,1.6692454090596334
GradGSymplecticNNgRMHMC,0.5,funnel,0.05,1.9180622,2.681439161300659,27.364641904830933,6.59035752338796
RMHMC,0.75,banana,0.05,0.026901124,0.01953255571424961,68.35056900978088,5.522834045545753
NNODEgRMHMC,0.75,banana,0.05,0.0058357394,0.08572535216808319,32.377907276153564,2.47567034535966
Explicit NNODEgRMHMC,0.75,banana,0.05,2.9110648e-11,0.05261242017149925,42.81460642814636,11.378329124951684
GSymplecticNNgRMHMC,0.75,banana,0.05,0.04746195,0.09951869398355484,30.42583203315735,1.528479336331991
GradGSymplecticNNgRMHMC,0.75,banana,0.05,0.019656146,0.11613564938306808,34.320626974105835,1.3265877010660687
RMHMC,0.75,normal_normal,0.1,0.00041345475,0.0014285559300333261,217.77278590202332,60.923401855114236
NNODEgRMHMC,0.75,normal_normal,0.1,0.008107584,0.034574612975120544,93.60001516342163,18.071139703448367
Explicit NNODEgRMHMC,0.75,normal_normal,0.1,2.7753582e-05,0.037061478942632675,103.91860580444336,54.215688919732585
GSymplecticNNgRMHMC,0.75,normal_normal,0.1,0.062892295,0.02199852280318737,91.63124895095825,31.320906122262706
GradGSymplecticNNgRMHMC,0.75,normal_normal,0.1,0.080937564,0.02702145092189312,95.57213068008423,27.64355451446489
RMHMC,0.75,funnel,0.05,69.39333,41.0869255065918,71.07769584655762,9.417827933452152
NNODEgRMHMC,0.75,funnel,0.05,2.90367,6.552829742431641,33.238632917404175,1.348360966288865
Explicit NNODEgRMHMC,0.75,funnel,0.05,nan,,42.61983680725098,374.0
GSymplecticNNgRMHMC,0.75,funnel,0.05,1.2816446,0.8955044150352478,29.926220655441284,19.51789070515838
GradGSymplecticNNgRMHMC,0.75,funnel,0.05,0.70211995,1.270582675933838,35.22579503059387,1.272360907108768
RMHMC,1.0,banana,0.05,0.01148324,0.007695877458900213,68.39329695701599,4.911361959559037
NNODEgRMHMC,1.0,banana,0.05,0.006274517,0.09469039738178253,39.95715379714966,1.5805123708816702
Explicit NNODEgRMHMC,1.0,banana,0.05,2.9111102e-11,0.043418314307928085,48.923689126968384,7.364710667602301
GSymplecticNNgRMHMC,1.0,banana,0.05,0.002139935,0.09886657446622849,37.22633385658264,8.15263832677951
GradGSymplecticNNgRMHMC,1.0,banana,0.05,0.0034895209,0.09552828967571259,38.44213914871216,15.866829401681848
RMHMC,1.0,normal_normal,0.1,2.2825214e-05,0.000770288344938308,216.72780466079712,44.28061488360083
NNODEgRMHMC,1.0,normal_normal,0.1,0.0062835324,0.016720807179808617,118.48003196716309,5.52868236514259
Explicit NNODEgRMHMC,1.0,normal_normal,0.1,1.0275507e-05,0.028521303087472916,127.23154282569885,31.56826107510166
GSymplecticNNgRMHMC,1.0,normal_normal,0.1,0.050450046,0.047704290598630905,115.98292899131775,13.050232039181996
GradGSymplecticNNgRMHMC,1.0,normal_normal,0.1,0.050035298,0.04498640447854996,120.7945613861084,2.4141996600193822
RMHMC,1.0,funnel,0.05,4.090893,0.06866905838251114,71.01450967788696,34.87982880674679
NNODEgRMHMC,1.0,funnel,0.05,1.4653524,3.6710572242736816,40.95601749420166,7.602258463810425
Explicit NNODEgRMHMC,1.0,funnel,0.05,nan,,49.409127950668335,300.0
GSymplecticNNgRMHMC,1.0,funnel,0.05,0.003333995,0.1692781299352646,38.17275261878967,8.65532342879723
GradGSymplecticNNgRMHMC,1.0,funnel,0.05,1.3883761,9.498031616210938,48.68742871284485,300.0
