model,training_size,distribution,step_size,reversibility_error,rm_hamiltonian_error,distribution_error,time,ess
RMHMC,0.25,banana,0.05,0.014654097,0.0032407776452600956,0.0,75.78165340423584,9.981748157083935
NNODEgRMHMC,0.25,banana,0.05,0.22737241,0.15073582530021667,0.5491947462329793,17.910704851150513,7.185842315404412
Explicit NNODEgRMHMC,0.25,banana,0.05,2.3980818e-15,0.03379042074084282,0.42991304218331,27.911789655685425,6.505851029242128
GSymplecticNNgRMHMC,0.25,banana,0.05,1.9778652,0.20221081376075745,0.33480338349716,16.653470277786255,7.43947416257209
GradGSymplecticNNgRMHMC,0.25,banana,0.05,5.9632983,0.254570335149765,0.14110921914011357,21.19421410560608,14.102554414787011
RMHMC,0.25,normal_normal,0.1,0.06790219,0.010107704438269138,0.0,236.40411114692688,21.113001399955074
NNODEgRMHMC,0.25,normal_normal,0.1,0.11961543,0.04634266719222069,0.7520822082861652,45.18101263046265,4.324849938887489
Explicit NNODEgRMHMC,0.25,normal_normal,0.1,3.6797806e-07,0.07723607122898102,0.16354089774405997,54.60553455352783,17.27069881910083
GSymplecticNNgRMHMC,0.25,normal_normal,0.1,1.1589001,0.11880581825971603,0.01859998745875616,45.55583333969116,24.612350183595993
GradGSymplecticNNgRMHMC,0.25,normal_normal,0.1,0.34240928,0.031084716320037842,3.2813118457717176,50.27595257759094,7.323241719852391
RMHMC,0.25,funnel,0.05,2.185224,1.017573595046997,0.0,78.04199457168579,7.616375926942412
NNODEgRMHMC,0.25,funnel,0.05,2.8114445,66.38078308105469,0.23461698056326238,19.453126668930054,22.799816783210108
Explicit NNODEgRMHMC,0.25,funnel,0.05,5.4774733,7.700541019439697,0.2669874723187991,32.72327637672424,2.281919523511638
GSymplecticNNgRMHMC,0.25,funnel,0.05,9873.351,418.6358642578125,0.5216619267863434,16.14729642868042,2.0545207816795825
GradGSymplecticNNgRMHMC,0.25,funnel,0.05,107.6538,410.1764831542969,2.7507771598741018,20.420034170150757,2.051731606540549
RMHMC,0.5,banana,0.05,0.0037584507,0.005105987656861544,0.0,72.7673122882843,23.986013632321765
NNODEgRMHMC,0.5,banana,0.05,0.018843962,0.18206743896007538,3.6408120690069032,26.038630485534668,1.3488822147758142
Explicit NNODEgRMHMC,0.5,banana,0.05,5.8222763e-12,0.04796247556805611,1.2195737517368808,37.93873167037964,6.722702348845035
GSymplecticNNgRMHMC,0.5,banana,0.05,0.0058205123,0.2651853859424591,1.7722114054395561,23.003796100616455,1.377740970455442
GradGSymplecticNNgRMHMC,0.5,banana,0.05,0.008583698,0.249420166015625,0.8842573738793841,25.04856538772583,1.3653693946625514
RMHMC,0.5,normal_normal,0.1,0.0053337626,0.002546951174736023,0.0,228.25676560401917,25.36180780694378
NNODEgRMHMC,0.5,normal_normal,0.1,0.09725207,0.2137714922428131,7.867851803030006,71.41777467727661,3.1094910447063975
Explicit NNODEgRMHMC,0.5,normal_normal,0.1,20026.629,0.020688218995928764,3.3966886858570926,83.23509407043457,15.35306639482088
GSymplecticNNgRMHMC,0.5,normal_normal,0.1,8.692599,0.18537777662277222,4.168128628704445,68.95477080345154,3.7044955326611064
GradGSymplecticNNgRMHMC,0.5,normal_normal,0.1,3.9375782,2.1685869693756104,0.28611206223419744,72.75341963768005,8.931102498175362
RMHMC,0.5,funnel,0.05,1.8406557,1.4563528299331665,0.0,73.04059290885925,41.11472362328915
NNODEgRMHMC,0.5,funnel,0.05,0.023107467,0.09055721014738083,0.3053776357314447,27.89057230949402,13.041814635377303
Explicit NNODEgRMHMC,0.5,funnel,0.05,1.3838487e+11,4.9467477379224546e+33,0.239050052036034,36.7637722492218,18.766034171720563
GSymplecticNNgRMHMC,0.5,funnel,0.05,6.0041197e+08,648034.5,0.5240022209598154,25.713725328445435,450.0
GradGSymplecticNNgRMHMC,0.5,funnel,0.05,0.006236009,0.45313334465026855,1.354298689474849,24.351012706756592,4.871940690294767
RMHMC,0.75,banana,0.05,0.0011570776,0.003584808437153697,0.0,78.25304198265076,8.45481561747511
NNODEgRMHMC,0.75,banana,0.05,0.025018066,0.12435629218816757,0.6604574251661689,34.25184750556946,4.711926946419623
Explicit NNODEgRMHMC,0.75,banana,0.05,5.8264795e-12,0.009185331873595715,1.8578218302497667,40.921021699905396,5.463024402128001
GSymplecticNNgRMHMC,0.75,banana,0.05,0.020441154,0.0977289229631424,1.0502820126698,32.02149939537048,11.069966806194214
GradGSymplecticNNgRMHMC,0.75,banana,0.05,0.02070347,0.11607201397418976,1.2415444984783321,35.8744912147522,10.871530796298444
RMHMC,0.75,normal_normal,0.1,2.2957282e-05,0.0007907755789346993,0.0,228.582603931427,26.7116583782895
NNODEgRMHMC,0.75,normal_normal,0.1,0.29984045,0.05886339768767357,2.386198398434208,97.91860127449036,2.1741884071173336
Explicit NNODEgRMHMC,0.75,normal_normal,0.1,7.787409e-07,0.08075520396232605,0.1500298635936834,104.55566716194153,18.974719348000008
GSymplecticNNgRMHMC,0.75,normal_normal,0.1,0.980186,0.06604575365781784,0.6646624955373449,96.04021763801575,16.420455593718543
GradGSymplecticNNgRMHMC,0.75,normal_normal,0.1,13.145713,0.08773988485336304,0.871795288564668,95.89165472984314,1.4066213961080911
RMHMC,0.75,funnel,0.05,19.349224,9.399243354797363,0.0,81.78378534317017,11.329348639272574
NNODEgRMHMC,0.75,funnel,0.05,0.020402381,0.059458788484334946,1.571147211199607,36.75749683380127,1.48036467272781
Explicit NNODEgRMHMC,0.75,funnel,0.05,5.6971985e+06,13635082.0,2.1500631743644587,44.01897883415222,8.695004274200151
GSymplecticNNgRMHMC,0.75,funnel,0.05,8.792844e+08,245546.03125,2.570015244068988,34.72041392326355,374.0
GradGSymplecticNNgRMHMC,0.75,funnel,0.05,0.90790415,10.144691467285156,2.570015244068988,36.828850984573364,374.0
RMHMC,1.0,banana,0.05,0.0014770142,0.0112895667552948,0.0,72.6075611114502,2.002503241563002
