model,training_size,distribution,step_size,reversibility_error,rm_hamiltonian_error,distribution_error,time,ess
RMHMC,1.0,banana,0.05,0.13489555,0.03697032853960991,0.0,1.6092398166656494,8.932279533931649
NNODEgRMHMC,1.0,banana,0.05,0.0209885,0.06527511030435562,0.8946942732183851,1.7323193550109863,4.245085413253042
Explicit NNODEgRMHMC,1.0,banana,0.05,4.3268222e-11,0.11757805943489075,1.385826325627328,2.014270544052124,8.995787355858228
GSymplecticNNgRMHMC,1.0,banana,0.05,0.20648994,0.13437385857105255,3.3888892257225534,1.6529176235198975,3.393440540570904
GradGSymplecticNNgRMHMC,1.0,banana,0.05,0.23821546,0.14553143084049225,3.6797757980371535,2.0617451667785645,3.393440540570904
RMHMC,1.0,normal_normal,0.1,1.8319101,0.39269065856933594,0.0,4.38451623916626,11.910877167661564
NNODEgRMHMC,1.0,normal_normal,0.1,0.042538274,0.20916640758514404,3.411917369983043,4.750669002532959,12.0
Explicit NNODEgRMHMC,1.0,normal_normal,0.1,0.0008385932,0.57444828748703,3.3842368676260413,5.27573823928833,12.9501749525715
GSymplecticNNgRMHMC,1.0,normal_normal,0.1,0.050479013,0.21616311371326447,4.263301571881343,4.573728322982788,3.483901182831037
GradGSymplecticNNgRMHMC,1.0,normal_normal,0.1,0.016816802,0.1688227653503418,4.015130156776709,4.579737186431885,3.463699113139749
RMHMC,1.0,funnel,0.05,4.612824,0.17964892089366913,0.0,1.6492750644683838,4.034757690841813
NNODEgRMHMC,1.0,funnel,0.05,0.018329011,0.22268931567668915,101.27504081440239,1.8132696151733398,3.54635229327571
Explicit NNODEgRMHMC,1.0,funnel,0.05,8.067065e-08,1.7060790061950684,102.82728481311389,2.0995471477508545,12.0
GSymplecticNNgRMHMC,1.0,funnel,0.05,0.016533576,0.021817177534103394,126.88545238519723,1.749643087387085,7.299842744708884
GradGSymplecticNNgRMHMC,1.0,funnel,0.05,0.16649733,0.19865863025188446,107.79017747268867,1.98372483253479,12.705882352941174
