model,training_size,distribution,reversibility_error,hamiltonian_error,distribution_error,time,ess
HMC,1.0,banana,9.769963e-16,"[0.49833488 0.6842451  0.85503393 0.38416776 0.8451013  0.88820076
 0.6195251  0.8333912  0.39964366 0.79047066 0.90877    0.47219595
 0.33782637 0.4080802  0.4431374  0.56727177 0.4189297  0.7617738
 0.8269152  0.9197642 ]",0.0,0.0725851058959961,9.793343019358653
SymplecticNNgHMC,1.0,banana,2.04141,"[11.612758  11.703629  12.262272  11.692132  11.500058  12.113828
  8.17893   10.873695  12.469121  10.367217   9.906049  10.698621
 11.466069   7.6687303 12.709851   9.296763   6.6376204  9.055123
  9.627055  12.106027 ]",1.710122905124217,0.602546215057373,20.0
GSymplecticNNgHMC,1.0,banana,0.004546803,"[0.7107944  0.748929   0.7528717  0.59595007 0.76454186 0.8796386
 0.5892506  0.7164448  0.45252597 0.8969004  0.91095424 0.24177353
 0.03231597 0.785186   0.5827779  0.47083727 0.30004942 0.8595565
 0.8215695  0.89465666]",1.8948548531913578,0.15224218368530273,9.448657903610325
GradSymplecticNNgHMC,1.0,banana,2.0452263,"[11.649662  11.720311  12.269562  11.723308  11.524184  12.135457
  8.150641  10.88895   12.540966  10.383157   9.931239  10.74075
 11.574414   7.672993  12.929767   9.180521   6.6440377  9.0444355
  9.630959  12.12463  ]",1.710122905124217,1.4355318546295166,20.0
GradGSymplecticNNgHMC,1.0,banana,0.00012799012,"[0.7167216  0.7457938  0.7375025  0.61230093 0.7504118  0.87231153
 0.55802625 0.7276599  0.47756985 0.8885582  0.9114236  0.21203882
 0.03386888 0.7847347  0.5662879  0.4970173  0.2805939  0.8463102
 0.8125792  0.898346  ]",1.1888566628061552,0.45032262802124023,2.803290085942944
RevGSymplecticNNgHMC,1.0,banana,4.440892e-16,"[0.70388883 0.74910164 0.7465241  0.595734   0.76488954 0.8802586
 0.57208246 0.7280693  0.4547428  0.8840119  0.91310686 0.23894894
 0.03964839 0.78080386 0.58510274 0.50900704 0.22349572 0.8452544
 0.8211053  0.8985204 ]",1.2018989296180702,0.24519014358520508,2.353166087101255
RevGradGSymplecticNNgHMC,1.0,banana,7.1054275e-16,"[0.7002762  0.748102   0.7475791  0.5907751  0.7647955  0.8796818
 0.570108   0.7280948  0.4493301  0.8845417  0.91400665 0.23888712
 0.04498321 0.78234434 0.5885169  0.51142836 0.22266285 0.84468275
 0.8202071  0.89766103]",1.210944165326747,0.8562848567962646,2.2689497677571184
HMC,1.0,gaussian,3.1983674e-15,"[0.59730864 0.68724746 0.68831533 0.7474873  0.52091897 0.6925876
 0.66719913 0.7472406  0.63493395 0.64382195 0.7173373  0.7550941
 0.7151931  0.757456   0.72119665 0.7130917  0.71941847 0.6532965
 0.58688575 0.6322331 ]",0.0,0.21517276763916016,14.376657122831617
SymplecticNNgHMC,1.0,gaussian,0.85864,"[0.5360563  0.7027312  0.69766265 0.73675376 0.55617374 0.67317104
 0.6979684  0.7456608  0.605982   0.63650495 0.58983666 0.7265244
 0.6926654  0.7000081  0.72020537 0.71341187 0.69385964 0.6070628
 0.5771439  0.6235033 ]",1.5067633420746003,0.7049400806427002,8.427524223819391
GSymplecticNNgHMC,1.0,gaussian,0.20695622,"[0.6427314  0.7240935  0.71357846 0.72405934 0.53604966 0.6570553
 0.66560286 0.7356124  0.6488456  0.63680714 0.7147499  0.7528251
 0.6578814  0.7561652  0.6944968  0.738713   0.7181049  0.6983934
 0.68755645 0.5745439 ]",0.8874194242421736,0.2518162727355957,2.0996228281454647
GradSymplecticNNgHMC,1.0,gaussian,0.44238856,"[0.13880982 0.47685227 0.65557355 0.7303018  0.41619292 0.6068119
 0.6662337  0.73458475 0.6302091  0.37823927 0.6427634  0.7345367
 0.66211176 0.700088   0.71517926 0.6680146  0.7101833  0.6549685
 0.47559664 0.6315643 ]",0.305968757576197,1.4910054206848145,10.224592618339413
GradGSymplecticNNgHMC,1.0,gaussian,0.20636064,"[0.64052963 0.7280717  0.711417   0.7174425  0.54419947 0.65999395
 0.65420955 0.7253707  0.6406316  0.6406747  0.7173644  0.75332445
 0.65375566 0.7559028  0.6919279  0.7383025  0.7184805  0.6985225
 0.6726443  0.57139117]",0.8736801138679291,0.5686299800872803,4.925652141792959
RevGSymplecticNNgHMC,1.0,gaussian,1.9058828e-15,"[0.5928021  0.733203   0.71978384 0.7452534  0.51845336 0.66644174
 0.6752255  0.7554891  0.6321816  0.59525347 0.63079077 0.7527533
 0.6825573  0.7415195  0.7082688  0.72054607 0.7126048  0.6259198
 0.64154744 0.59743255]",0.2407897112165179,0.3507530689239502,10.562643916973206
RevGradGSymplecticNNgHMC,1.0,gaussian,3.6942673e-15,"[0.5752785  0.71314293 0.72628325 0.7349116  0.5250235  0.66935426
 0.65704286 0.744462   0.62241113 0.5830675  0.6632475  0.75088674
 0.6807572  0.7429218  0.7105494  0.72993904 0.718921   0.6237815
 0.5432117  0.5979884 ]",0.3080145214389849,1.009977102279663,6.474155181389739
HMC,1.0,high_dimensional_gaussian,1.7650407e-15,"[0.697793   0.6774388  0.69175714 0.6718121  0.6987024  0.6806336
 0.6744339  0.6481604  0.71820873 0.6345753  0.6865366  0.7138602
 0.6842     0.68929356 0.6671539  0.6848826  0.6505663  0.7112976
 0.7026486  0.69847995]",0.0,0.23548388481140137,6.862725285401335
SymplecticNNgHMC,1.0,high_dimensional_gaussian,0.38671362,"[0.6606651  0.6207527  0.6709395  0.6012551  0.5862037  0.64849687
 0.63890725 0.60372764 0.6548043  0.60126734 0.5905703  0.7039632
 0.6574194  0.63682705 0.6353989  0.67095727 0.56765336 0.6547583
 0.6697069  0.64653593]",1.4219317334734034,0.7256405353546143,20.0
GSymplecticNNgHMC,1.0,high_dimensional_gaussian,10.0918,"[0.5523577  0.5543645  0.5459884  0.57978463 0.53990227 0.5434007
 0.5598991  0.54445946 0.5763263  0.52966547 0.49707243 0.61238134
 0.5203747  0.50642896 0.5643092  0.5854998  0.57407886 0.5372085
 0.5948334  0.5786125 ]",1.4219317334734034,0.6127843856811523,20.0
GradSymplecticNNgHMC,1.0,high_dimensional_gaussian,0.38527417,"[0.6671429  0.6202603  0.67323035 0.5961472  0.5859837  0.64767987
 0.64291614 0.60896045 0.6628596  0.60186    0.5902953  0.7054438
 0.66740996 0.64232117 0.6449914  0.67478657 0.5776596  0.6585879
 0.679342   0.6507237 ]",1.4219317334734034,1.5922820568084717,20.0
GradGSymplecticNNgHMC,1.0,high_dimensional_gaussian,10.184695,"[0.550124   0.55355364 0.54341924 0.5798894  0.5342352  0.5444861
 0.56025386 0.5450049  0.5810669  0.5288879  0.4998891  0.61276156
 0.51851344 0.5108265  0.5601735  0.5895021  0.5755193  0.54091513
 0.5966611  0.5812252 ]",1.4219317334734034,1.4417603015899658,20.0
RevGSymplecticNNgHMC,1.0,high_dimensional_gaussian,3.6299394e-15,"[0.6952033  0.6605707  0.6883614  0.66009665 0.68152946 0.6783374
 0.67415404 0.65634537 0.7193367  0.6179846  0.6826563  0.7139275
 0.6803169  0.6837919  0.67242604 0.68607396 0.64317757 0.7000885
 0.6971803  0.7004952 ]",1.240710992573802,0.8676061630249023,3.4730789989718263
RevGradGSymplecticNNgHMC,1.0,high_dimensional_gaussian,2.5661475e-15,"[0.6948688  0.65962285 0.688463   0.6601494  0.68161654 0.67787284
 0.6726211  0.65618056 0.7183469  0.617189   0.68176293 0.71353453
 0.67979765 0.68280524 0.6728242  0.6860364  0.6429321  0.70040303
 0.6969562  0.70086235]",1.2078054048511606,2.741426706314087,3.9238480706835066
HMC,1.0,normal_normal,9.769963e-16,"[0.71977884 0.7110843  0.7126327  0.64870715 0.71515965 0.7236584
 0.70203704 0.70606893 0.636388   0.7148726  0.74448395 0.7219558
 0.61331785 0.69328475 0.44313017 0.71900296 0.69280237 0.7079654
 0.71325326 0.73741287]",0.0,0.25682973861694336,17.278086197211472
SymplecticNNgHMC,1.0,normal_normal,0.032942273,"[0.71882516 0.7109008  0.7000306  0.635856   0.7034325  0.71168655
 0.7004843  0.69354683 0.5897813  0.69913    0.7444251  0.72059315
 0.55939394 0.69235706 0.1442339  0.7294324  0.67568356 0.7126462
 0.70508194 0.72446465]",0.859161878293339,0.6349310874938965,3.1731520145175933
GSymplecticNNgHMC,1.0,normal_normal,0.00031714622,"[0.7199788  0.72089523 0.68948793 0.6823981  0.7121646  0.7097896
 0.7356078  0.6707261  0.6318392  0.71283627 0.7451679  0.723032
 0.6141103  0.69766515 0.29082742 0.7036047  0.71431756 0.72556335
 0.7314408  0.73076075]",1.6161085761397813,0.23828125,7.455774594830959
GradSymplecticNNgHMC,1.0,normal_normal,0.036159568,"[0.70738536 0.68534374 0.707092   0.5187666  0.7096114  0.71869344
 0.69350487 0.699943   0.51140696 0.6997509  0.7433133  0.72443104
 0.3557761  0.6815327  0.09494478 0.73317593 0.66648626 0.70704985
 0.7065222  0.7243571 ]",0.4327510496102225,1.2064626216888428,6.216567366752581
GradGSymplecticNNgHMC,1.0,normal_normal,0.010951745,"[0.72221404 0.7210315  0.6927109  0.67788076 0.71591824 0.7131393
 0.7378045  0.6623873  0.6240228  0.7105226  0.7446889  0.7227122
 0.60137194 0.699389   0.2731686  0.69790393 0.71442705 0.7256786
 0.7342629  0.73086506]",1.7454894215849732,0.4695162773132324,2.9256505569748743
RevGSymplecticNNgHMC,1.0,normal_normal,1.0173286e-15,"[0.7219154  0.7196927  0.69267493 0.66976374 0.71214104 0.71162766
 0.73223454 0.67276764 0.617261   0.71132916 0.7450936  0.7232518
 0.59913105 0.69787604 0.25185737 0.7094366  0.7126293  0.72406644
 0.7292159  0.7303343 ]",1.6617579423659978,0.3193185329437256,6.271803997741489
RevGradGSymplecticNNgHMC,1.0,normal_normal,1.5792923e-15,"[0.722394   0.7200639  0.6929152  0.6690598  0.7123782  0.71201324
 0.7319582  0.6731682  0.6166864  0.71145654 0.7451032  0.7231953
 0.59650105 0.6971809  0.25167477 0.7100127  0.7122102  0.7237106
 0.7292218  0.73065376]",1.652626531398098,0.8123605251312256,5.912861664389456
