arm,effective_depth,params,distribution,training_size,reversibility_error,ess,time
HMC,0,0,gaussian,0.325,3.242175e-15,2359.9613936004384,17.02454376220703
plain-4,4,6000,gaussian,0.325,0.060311817,595.5745829798235,7.89516806602478
plain-8,8,12000,gaussian,0.325,0.0003930539,14.750179718876273,9.671760559082031
plain-16,16,24000,gaussian,0.325,0.00011207233,1905.5975118478127,13.105846405029297
Rev-4,8,6000,gaussian,0.325,7.218577e-15,2353.1912332123175,10.432381629943848
Rev-8,16,12000,gaussian,0.325,8.818663e-15,2346.982835089125,13.779090642929077
HMC,0,0,normal_normal,0.325,1.0534282e-15,408.63140323767874,76.6239025592804
plain-4,4,3200,normal_normal,0.325,0.0018416458,533.7317360106194,32.890726804733276
plain-8,8,6400,normal_normal,0.325,0.0005771081,479.8707202051704,37.83640122413635
plain-16,16,12800,normal_normal,0.325,0.00027187538,439.8966806804147,49.812026500701904
Rev-4,8,3200,normal_normal,0.325,4.7912368e-15,463.8535563493938,38.623154401779175
Rev-8,16,6400,normal_normal,0.325,9.008002e-15,443.7578223422737,49.35151147842407
HMC,0,0,high_dimensional_gaussian,0.325,1.5856961e-15,303.64125925194963,47.568236112594604
plain-4,4,384000,high_dimensional_gaussian,0.325,4.7528196e-05,328.31216644494083,28.036001205444336
plain-8,8,768000,high_dimensional_gaussian,0.325,7.260512e-05,323.3165211574672,37.39051961898804
plain-16,16,1536000,high_dimensional_gaussian,0.325,8.829332e-05,327.73706664965465,56.58821773529053
Rev-4,8,384000,high_dimensional_gaussian,0.325,2.8293414e-15,329.7681189758426,37.48285484313965
Rev-8,16,768000,high_dimensional_gaussian,0.325,4.0692483e-15,331.72779827651124,56.429709911346436
HMC,0,0,gaussian,0.55,7.339777e-15,1963.2494166319627,16.661200761795044
plain-4,4,6000,gaussian,0.55,0.06930819,468.5118373756524,9.176844835281372
plain-8,8,12000,gaussian,0.55,0.0004213614,150.20126111352167,11.506799459457397
plain-16,16,24000,gaussian,0.55,9.417239e-05,2026.4070639708705,15.024557828903198
Rev-4,8,6000,gaussian,0.55,6.878618e-15,1914.4795819479104,11.343039989471436
Rev-8,16,12000,gaussian,0.55,8.217501e-15,2021.8112159384102,14.714674234390259
HMC,0,0,normal_normal,0.55,1.9841073e-15,433.06511169906923,76.29733324050903
plain-4,4,3200,normal_normal,0.55,0.00090037106,402.3124673176309,40.16666078567505
plain-8,8,6400,normal_normal,0.55,0.0003092543,462.2130443668529,47.174325942993164
plain-16,16,12800,normal_normal,0.55,0.00025634308,411.9587646142462,58.944490909576416
Rev-4,8,3200,normal_normal,0.55,3.2360225e-15,362.5693810672311,44.24802899360657
Rev-8,16,6400,normal_normal,0.55,5.0460328e-15,489.0904006250511,59.93343257904053
HMC,0,0,high_dimensional_gaussian,0.55,1.5061817e-15,264.28861908260654,48.274832248687744
plain-4,4,384000,high_dimensional_gaussian,0.55,2.5986292e-05,272.6644480751122,36.75190019607544
plain-8,8,768000,high_dimensional_gaussian,0.55,5.9515347e-05,269.9412168115061,45.43589544296265
plain-16,16,1536000,high_dimensional_gaussian,0.55,5.090747e-05,274.13220345451003,78.17354893684387
Rev-4,8,384000,high_dimensional_gaussian,0.55,2.7393043e-15,285.9718387891637,43.923487424850464
Rev-8,16,768000,high_dimensional_gaussian,0.55,3.8993585e-15,275.7757641761517,62.17889142036438
HMC,0,0,gaussian,1.0,6.959248e-15,1309.4776876471112,16.721232652664185
plain-4,4,6000,gaussian,1.0,0.050625842,483.15669971972426,12.123038053512573
plain-8,8,12000,gaussian,1.0,0.00016776193,1282.461314833443,15.902497291564941
plain-16,16,24000,gaussian,1.0,2.9074818e-05,1299.3701446053926,24.35916519165039
Rev-4,8,6000,gaussian,1.0,8.425853e-15,1256.2860198102467,14.726228475570679
Rev-8,16,12000,gaussian,1.0,1.19588135e-14,1310.5784719392807,23.730102062225342
HMC,0,0,normal_normal,1.0,1.079345e-15,325.6714531592125,76.55891537666321
plain-4,4,3200,normal_normal,1.0,0.0010787356,223.69569736899354,58.092612743377686
plain-8,8,6400,normal_normal,1.0,0.00038177866,227.91510043394868,66.97862887382507
plain-16,16,12800,normal_normal,1.0,0.0001797266,203.5879419812038,85.67827725410461
Rev-4,8,3200,normal_normal,1.0,2.0537737e-15,218.13358360967544,66.3892035484314
Rev-8,16,6400,normal_normal,1.0,5.3825e-15,210.77912795415324,84.04087495803833
HMC,0,0,high_dimensional_gaussian,1.0,1.4246292e-15,186.00469243945815,48.34596085548401
plain-4,4,384000,high_dimensional_gaussian,1.0,1.184102e-05,196.3499006504565,51.98886847496033
plain-8,8,768000,high_dimensional_gaussian,1.0,9.553949e-06,198.4326747799527,72.75969648361206
plain-16,16,1536000,high_dimensional_gaussian,1.0,3.103757e-05,196.57153242789263,115.15043044090271
Rev-4,8,384000,high_dimensional_gaussian,1.0,3.0348617e-15,197.76081143062922,72.46680879592896
Rev-8,16,768000,high_dimensional_gaussian,1.0,3.47952e-15,198.2790776404039,113.78253555297852
