arm,distribution_error,effective_depth,params,distribution,training_size,reversibility_error,ess,time
HMC,0.0,0,0,gaussian,1.0,3.1983674e-15,14.376657122831617,0.21749424934387207
plain-4,0.6518814315948632,4,6000,gaussian,1.0,0.03499731,5.387236054455599,0.18420076370239258
plain-8,0.8874194242421736,8,12000,gaussian,1.0,0.20695622,2.0996228281454647,0.23996424674987793
plain-16,0.5383872058679232,16,24000,gaussian,1.0,0.4622214,1.9812365590683765,0.3557093143463135
Rev-4,0.28535461583174276,8,6000,gaussian,1.0,1.9290125e-15,9.025659600624145,0.23713898658752441
Rev-8,0.2407897112165179,16,12000,gaussian,1.0,1.9058828e-15,10.562643916973206,0.3492741584777832
HMC,0.0,0,0,normal_normal,1.0,9.769963e-16,17.278086197211472,0.23756194114685059
plain-4,2.0207759437668127,4,3200,normal_normal,1.0,0.022601465,2.713167188727862,0.2006053924560547
plain-8,1.6161085761397813,8,6400,normal_normal,1.0,0.00031714622,7.455774594830959,0.24673795700073242
plain-16,0.7873590134994212,16,12800,normal_normal,1.0,0.0044461144,2.0066630186270884,0.34343385696411133
Rev-4,1.3203959012479163,8,3200,normal_normal,1.0,3.2335245e-16,5.9093710077329495,0.241943359375
Rev-8,1.6617579423659978,16,6400,normal_normal,1.0,1.0173286e-15,6.271803997741489,0.33660006523132324
HMC,0.0,0,0,high_dimensional_gaussian,1.0,1.7650407e-15,6.862725285401335,0.22395563125610352
plain-4,1.409937397492025,4,384000,high_dimensional_gaussian,1.0,0.38532832,5.3151272652824835,0.3613615036010742
plain-8,1.4219317334734034,8,768000,high_dimensional_gaussian,1.0,10.0918,20.0,0.5605528354644775
plain-16,1.4219317334734034,16,1536000,high_dimensional_gaussian,1.0,41.603233,20.0,0.9197635650634766
Rev-4,1.1351011477015374,8,384000,high_dimensional_gaussian,1.0,1.1083553e-15,4.4128385269286365,0.5243585109710693
Rev-8,1.240710992573802,16,768000,high_dimensional_gaussian,1.0,3.6299394e-15,3.4730789989718263,0.8797895908355713
