L,model,pair_mode,ess,time,ess_per_sec
5,HMC,all,1309.4776876471112,17.1825430393219,76.20977201397943
5,NNODEgHMC,all,1297.1578510696777,15.056406736373901,86.15321529113245
5,RevSympNet[all],all,1310.5784719392807,23.88827657699585,54.86283063221704
5,RevSympNet[endpoint],endpoint,1341.396826570908,15.809442043304443,84.84782846204313
25,HMC,all,2155.9643409110827,63.24768257141113,34.08764168516128
25,NNODEgHMC,all,1965.5608287364432,56.492064237594604,34.79357419954912
25,RevSympNet[all],all,542.1558150472779,59.373875856399536,9.131218186909763
25,RevSympNet[endpoint],endpoint,2170.9254026640733,40.207398414611816,53.9931825550577
50,HMC,all,1211.7913128031807,125.41940498352051,9.661912468508396
50,NNODEgHMC,all,20.493699941983113,102.18915796279907,0.20054671503843527
50,RevSympNet[all],all,228.43708949573337,163.9825038909912,1.3930576986895438
50,RevSympNet[endpoint],endpoint,1259.8177111526882,63.46386742591858,19.85094451773325
100,HMC,all,1677.4323851756271,219.89263248443604,7.628415587295111
100,NNODEgHMC,all,59.90713875262906,180.66111254692078,0.33159952304107587
100,RevSympNet[all],all,1000.0,527.2816829681396,1.8965195118686187
100,RevSympNet[endpoint],endpoint,1617.6569589857365,120.22715997695923,13.455004337586866
