L,model,ess,time,ess_per_sec
5,HMC,1309.4776876471112,16.88386631011963,77.5579280003096
5,NNODEgHMC,1297.1578510696777,14.828392505645752,87.47798189020143
5,RevGSymplecticNNgHMC,1310.5784719392807,23.927290439605713,54.77337583406193
25,HMC,2155.9643409110827,58.455615282058716,36.88207421148802
25,NNODEgHMC,1965.5608287364432,54.287392139434814,36.20658040983044
25,RevGSymplecticNNgHMC,542.1558150472779,58.82683849334717,9.216130408038012
50,HMC,1211.7913128031807,119.15487790107727,10.169884222526026
50,NNODEgHMC,20.493699941983113,91.23575067520142,0.22462356905398334
50,RevGSymplecticNNgHMC,228.43708949573337,146.150053024292,1.5630311776743882
100,HMC,1677.4323851756271,219.951979637146,7.626357298274294
100,NNODEgHMC,59.90713875262906,177.21607971191406,0.33804572841254177
100,RevGSymplecticNNgHMC,1000.0,551.2213487625122,1.814153247592809
